word,SM,IS/E,SC,VA
ability,0.3267,0.4433,0.04,0.19
accusation,0.1852,0.5,0.1296,0.1852
achievement,0.29,0.445,0.045,0.22
activity,0.6133,0.175,0.0458,0.1658
addiction,0.7231,0.2391,0,0.0379
admiration,0.4167,0.25,0.0667,0.2667
advantage,0.1583,0.3417,0.06,0.44
adventure,0.4367,0.3717,0,0.1917
advice,0.2314,0.1124,0.5206,0.1356
agony,0.2938,0.4183,0.081,0.2069
agreement,0.1983,0.5317,0.0867,0.1833
amazement,0.3833,0.3667,0,0.25
ambition,0.1983,0.4533,0.0917,0.2567
ambush,0.4217,0.295,0.0833,0.2
amusement,0.38,0.45,0.0617,0.1083
anger,0.3167,0.3417,0.1625,0.1792
anxiety,0.49,0.3117,0.02,0.1783
apology,0.2217,0.5383,0.195,0.045
appearance,0.1786,0.3095,0,0.5119
appetite,0.6125,0.2375,0,0.15
application,0.6667,0.1583,0,0.175
aptitude,0.41,0.35,0.0367,0.2033
argument,0.2964,0.3393,0.2476,0.1167
art,0.4048,0.2536,0,0.3417
aspect,0.3333,0.2333,0,0.4333
assassination,0.4344,0.0811,0.0167,0.4678
assumption,0,0.49,0.02,0.49
astonishment,0.225,0.5083,0,0.2667
attack,0.5883,0.12,0.08,0.2117
attention,0.3833,0.3,0.075,0.2417
attraction,0.5483,0.365,0.02,0.0667
beauty,0.2845,0.256,0.0952,0.3643
being,0.2019,0.3648,0,0.4333
betrayal,0.2417,0.3667,0.15,0.2417
blackmail,0.4292,0.1458,0.2692,0.1558
boredom,0.2233,0.3733,0.025,0.3783
boycott,0.7033,0.1367,0.07,0.09
bravery,0.4808,0.3233,0,0.1958
career,0.305,0.3317,0.0367,0.3267
carefulness,0.4733,0.4767,0,0.05
catastrophe,0.7083,0.0611,0.0111,0.2194
caution,0.3333,0.4817,0.02,0.165
challenge,0.2417,0.4417,0.0667,0.25
chaos,0.5233,0.2167,0,0.26
character,0.1619,0.5095,0.0476,0.281
charm,0.2917,0.3229,0.1146,0.2708
comfort,0.425,0.3083,0,0.2667
commitment,0.4233,0.1567,0.26,0.16
comparison,0.445,0.25,0.07,0.235
compassion,0.1964,0.5214,0.2095,0.0726
competence,0.3202,0.3976,0.0333,0.2488
compromise,0.1,0.4417,0.3433,0.115
compulsion,0.2167,0.53,0,0.2533
confession,0.4717,0.3474,0.0333,0.1476
conflict,0.1583,0.245,0.1117,0.485
consideration,0.231,0.2452,0.231,0.2929
consolation,0.2083,0.25,0.2333,0.3083
contempt,0.1667,0.6867,0.0733,0.0733
convention,0.1944,0.0833,0.037,0.6852
cooperation,0.2058,0.2242,0.495,0.075
courage,0.4514,0.4426,0.0333,0.0726
creativity,0.8133,0.1,0,0.0867
crime,0.4631,0.1643,0.05,0.3226
criticism,0.1583,0.4417,0.0667,0.3333
cruelty,0.6083,0.2383,0.0333,0.12
culture,0.2808,0.1575,0.0575,0.5042
curiosity,0.2783,0.4183,0.02,0.2833
custom,0.3117,0.05,0.0333,0.605
danger,0.5167,0.285,0,0.1983
death,0.2317,0.3467,0.0533,0.3683
decision,0.0983,0.3868,0.0912,0.4238
demand,0.4329,0.2962,0.045,0.226
desire,0.285,0.64,0.0417,0.0333
desperation,0.24,0.5883,0.02,0.1517
destruction,0.4795,0.2019,0,0.3186
detection,0.3875,0.2813,0.0313,0.3
dictatorship,0.1033,0.1617,0.15,0.585
difference,0.3037,0.037,0.1481,0.5111
difficulty,0.29,0.395,0,0.315
dignity,0.1067,0.2517,0.0533,0.5883
diligence,0.335,0.3071,0,0.3579
disadvantage,0.14,0.3817,0.0867,0.3917
disappointment,0.1817,0.6183,0.05,0.15
discovery,0.225,0.175,0.0333,0.5667
disgust,0.9157,0.0393,0,0.045
dismay,0.2741,0.5648,0,0.1611
dispute,0.235,0.2883,0.285,0.1917
distance,0.5954,0.254,0.0373,0.1133
distraction,0.3583,0.525,0.025,0.0917
diversity,0.4417,0.15,0,0.4083
doubt,0.2262,0.5179,0.0583,0.1976
downfall,0.305,0.2417,0.0833,0.37
dream,0.1139,0.5611,0,0.325
duty,0.3005,0.351,0.0643,0.2843
eagerness,0.3233,0.4617,0.0333,0.1817
effort,0.5421,0.3652,0.02,0.0726
elegance,0.68,0.11,0.02,0.19
emotion,0.1917,0.7833,0.025,0
enchantment,0.295,0.2333,0.025,0.4467
enthusiasm,0.4421,0.4069,0.0333,0.1176
envy,0.175,0.3583,0.1667,0.3
error,0.2517,0.445,0.0583,0.245
event,0.5402,0.3577,0.0143,0.0879
excitement,0.3,0.6208,0.025,0.0542
expectation,0.0278,0.7778,0.0926,0.1019
experience,0.1517,0.4879,0.0393,0.3212
explanation,0.3667,0.125,0.1333,0.375
exploitation,0.2917,0.1083,0.125,0.475
faithfulness,0.1792,0.255,0.3158,0.25
fantasy,0.3425,0.3783,0.0125,0.2667
fate,0.1162,0.295,0,0.5888
