word,emotion,polarity,social,moral,motion_self,thought,color,taste_smell,tactile,visual_form,auditory,space,quantity,time
ability,4.52,4.85,4.24,4.65,5.1,5.19,1.9,1.64,2.0,2.1,1.9,3.25,4.64,3.16
abundance,3.66,4.03,3.3,3.29,2.7,3.53,2.4,1.64,1.7,2.7,1.5,3.19,5.91,3.4
accident,3.09,3.6,2.62,2.62,3.5,3.15,2.6,1.64,1.9,2.2,3.7,3.22,3.1,2.9
accomplishment,5.41,5.52,3.97,4.74,4.2,4.72,1.9,1.64,1.4,1.7,1.8,3.59,4.52,3.68
accumulation,2.9,3.33,3.3,2.84,3.2,3.53,2.0,1.64,1.5,3.7,1.9,2.94,5.15,3.68
acquisition,2.9,3.64,3.76,2.94,3.4,3.28,2.0,1.64,1.6,2.1,1.7,3.06,3.94,3.76
acre,1.69,2.14,1.63,2.05,1.3,1.75,2.3,2.64,2.4,3.0,1.8,4.0,5.93,3.33
addition,2.59,3.33,2.79,2.13,2.0,3.88,1.7,1.64,2.0,3.1,1.3,2.75,4.76,3.88
admiration,4.97,4.76,5.03,4.16,4.1,4.91,2.0,1.64,1.4,1.7,2.0,3.19,3.85,2.56
advantage,3.59,3.61,3.73,3.45,2.9,3.72,2.1,1.64,1.6,1.8,1.7,3.0,4.12,3.2
adventurer,2.68,4.56,3.86,2.58,4.5,4.6,2.7,2.09,3.3,3.3,3.8,3.98,3.47,2.88
adversity,4.0,3.5,3.5,4.57,2.3,4.33,1.9,1.64,1.8,1.7,1.7,4.14,2.2,3.6
advice,3.27,5.2,5.31,3.54,3.7,5.71,2.0,1.91,1.4,1.6,4.1,4.64,2.6,3.5
affection,5.82,6.6,4.77,4.46,6.1,5.93,2.4,2.0,1.6,2.1,2.0,4.43,2.4,4.1
alley,1.45,2.7,2.0,1.77,1.4,1.79,2.0,2.91,2.4,5.0,2.7,3.93,3.4,2.6
alligator,1.93,3.12,1.55,1.58,1.2,1.5,4.9,3.55,4.2,6.0,4.0,2.38,2.58,1.64
ally,2.36,4.4,4.23,3.23,2.8,2.5,2.5,2.45,1.9,2.6,2.1,4.43,2.6,3.0
alphabet,1.91,3.6,2.0,2.39,1.8,3.57,2.1,1.64,2.1,4.2,3.5,4.43,2.7,4.3
ambition,5.41,4.76,4.0,4.48,4.3,4.84,2.6,2.0,1.8,1.9,1.9,3.22,4.91,3.92
ambulance,2.93,3.97,2.39,2.03,1.4,1.94,3.6,2.73,3.2,5.7,6.9,3.13,2.12,2.76
amount,1.54,3.1,1.69,2.15,1.6,2.79,1.8,1.64,1.9,3.1,1.7,4.36,6.3,4.4
amplitude,2.38,2.94,2.15,1.97,1.9,3.38,2.0,1.64,1.8,2.1,2.5,3.16,4.76,4.04
anger,5.91,4.5,4.3,3.85,4.7,5.0,3.4,1.64,2.3,2.4,4.1,3.15,1.9,3.8
animal,2.63,3.9,2.08,3.46,2.2,3.07,3.2,4.64,4.5,5.1,5.4,4.71,3.4,2.2
ankle,2.24,2.82,2.12,1.71,3.1,1.78,2.1,2.82,3.3,5.9,1.6,3.09,2.06,1.76
announcement,3.07,3.48,4.03,2.45,2.5,3.25,2.0,1.73,1.5,1.8,5.7,2.69,3.0,3.64
annoyance,5.55,4.3,3.39,3.53,3.5,4.86,2.2,2.0,2.5,1.8,3.1,2.72,2.9,3.0
anxiety,5.63,4.2,2.62,3.85,5.2,5.64,1.9,2.0,2.0,2.0,2.2,3.14,2.2,3.2
