word,rating
lake,5
ambition,2
chance,2
individual,1
apology,2
opponent,2
boredom,2
cowardice,1
beetle,4
silence,6
bet,2
animal,2
coupon,2
faith,1
liar,2
lip,3
tongue,4
originality,1
ankle,2
potato,3
accumulation,1
outfit,1
chair,2
cognition,1
station,2
disaster,2
real,1
dilemma,1
scene,2
ally,2
ownership,1
theory,1
reinforcement,1
puppy,4
guide,2
damage,2
circumstance,1
state,1
response,2
key,3
boat,4
degree,1
crown,3
myth,2
blood,3
deduction,1
forest,4
latch,4
tune,7
show,2
interior,1
starch,3
mankind,1
infection,2
fabric,2
wood,3
tragedy,2
germ,2
iron,3
spider,3
calendar,2
affection,2
photograph,2
territory,1
incident,2
vapor,4
dentist,2
sword,3
flavor,4
clean,2
consistency,1
appeal,2
identification,1
fact,1
route,2
linen,3
macaroni,4
skin,2
stride,3
writing,2
roof,2
menu,2
division,1
value,1
suit,2
lamp,2
personality,1
contract,1
cloth,2
amount,1
intention,1
magic,2
confidence,1
duration,1
sandal,2
thing,1
mattress,2
addition,1
newspaper,2
opposition,1
leopard,3
pigeon,4
clearance,1
opinion,1
play,3
heart,3
irrigation,2
clothing,1
distance,1
fate,2
calculation,1
number,1
wisdom,1
vocabulary,1
talent,1
character,1
nose,3
salad,3
tree,3
risk,2
definition,1
ditch,3
hobby,2
adversity,1
inn,2
butter,3
pyramid,2
tomato,3
riot,4
independence,1
itch,4
temple,2
teacher,2
brain,2
occupation,1
ignition,3
suspect,2
costume,2
door,3
necessity,1
equality,1
orchid,3
bag,2
dove,4
chlorine,3
reflex,2
conference,2
result,1
helmet,2
beauty,2
shortness,2
verse,3
exception,1
bird,4
circuit,2
queen,3
charter,2
principle,1
music,7
want,2
relief,2
moral,1
jerk,4
metaphor,1
scent,4
girl,2
tradition,1
development,1
crisis,2
bubble,5
camera,2
pond,4
decision,1
job,2
frustration,2
error,1
student,2
reputation,1
fear,2
tool,2
shrimp,4
refrigerator,3
empty,2
kindness,1
impairment,1
wish,2
alligator,4
moment,2
injury,2
master,2
file,2
factory,2
body,2
weight,2
tide,4
lemon,4
television,2
coffin,2
admiration,1
tip,3
complication,1
shock,3
past,2
park,3
line,2
nerve,2
income,1
specialist,1
lesson,2
cause,2
squeak,6
insight,1
hotel,2
peacemaker,2
law,2
conscience,1
misery,2
dimension,1
pill,2
alley,3
banana,4
pest,3
debt,2
march,4
justice,1
sanctuary,2
meeting,2
cucumber,4
expression,2
opera,6
significance,1
intelligence,1
object,1
tallness,2
grasshopper,5
purpose,1
mosquito,4
assault,2
pillow,2
anxiety,2
hope,2
fountain,4
benefactor,1
love,2
drum,7
stimulus,1
beverage,2
mountain,3
capacity,1
awareness,1
danger,2
raspberry,4
reality,1
acquisition,1
snow,4
appointment,2
ocean,5
wave,4
composer,2
guilt,2
payment,1
jacket,2
city,2
lamb,4
retention,1
requirement,1
miracle,2
segment,1
oven,2
kitten,4
trust,2
flask,2
preparation,1
imagination,1
bridge,2
towel,2
coincidence,1
context,1
hospital,2
article,1
mercy,2
rabbit,4
spirit,2
rebel,2
interruption,3
design,1
criticism,1
duty,1
fog,4
peach,4
professor,2
friendship,1
cup,3
length,1
form,1
lunch,3
square,2
empire,1
pimple,3
shirt,2
pile,2
abundance,1
visitor,2
responsibility,1
location,1
corporation,1
literature,1
laundry,2
landscape,3
eagle,4
presence,2
tendency,1
construction,2
regulation,1
rocket,4
church,2
doctor,2
topic,1
midnight,3
conclusion,1
neck,2
car,3
fat,2
volume,2
story,2
physics,1
security,1
hog,4
name,2
lens,2
cow,3
chipmunk,5
christmas,2
possibility,1
suggestion,1
fallacy,1
robbery,2
assistance,1
distribution,1
skill,1
stranger,2
record,2
instructor,1
mold,2
occasion,2
hurricane,4
medicine,2
cocktail,3
institute,1
pig,3
guess,2
uncle,2
owner,1
hazard,2
desk,2
apple,3
pie,3
convergence,1
ability,1
democracy,1
grief,2
bed,2
fantasy,2
bolt,3
material,1
issue,1
rent,2
belief,1
rhyme,5
hat,2
variety,1
consideration,1
wage,2
arrow,3
identity,1
advice,2
corpse,2
contempt,1
message,2
math,1
paradigm,1
lightning,4
necklace,2
idea,1
assumption,1
future,1
bracelet,2
despair,2
stupidity,1
skunk,4
cat,3
size,1
method,1
pawn,2
laughter,6
cottage,3
ambulance,5
puddle,4
industry,1
effect,1
crocodile,4
proof,1
waste,2
immortality,1
economy,1
property,1
chocolate,3
scholar,1
incentive,1
coffee,3
tension,2
consequence,1
lobster,3
opportunity,1
uncertainty,1
volt,3
cake,3
justification,1
self,1
safety,1
fireplace,3
grammar,1
leader,1
establishment,1
irony,1
poll,2
fisherman,2
season,2
lane,2
odor,4
event,2
thief,2
saloon,3
extent,1
introduction,1
caterpillar,4
grandmother,2
entree,2
category,1
idiom,1
arc,2
winter,3
explanation,1
moonlight,4
figure,1
shark,3
hurt,2
member,1
riddle,2
adventurer,2
worry,2
accident,2
rainbow,4
emergence,1
mud,3
comprehension,1
lily,3
edge,2
behavior,1
stick,2
mustard,3
helplessness,1
zoo,2
loafer,2
perception,1
protection,1
hatred,2
typewriter,5
effort,1
soul,2
boulder,3
candidate,1
window,2
snake,3
art,1
promotion,1
cliff,3
