word,rating
line,3
skill,2
nose,2
knowledge,2
information,2
rainbow,7
ownership,1
faith,2
affection,2
zoo,2
correspondent,1
rebel,2
moonlight,6
photo,4
opportunity,2
anger,5
coupon,1
adventurer,2
fabric,4
itch,2
character,2
cat,3
crisis,2
danger,3
sneeze,2
identification,1
writing,2
behavior,2
tendency,2
burner,3
baby,2
variety,2
mansion,2
uncle,1
macaroni,5
prediction,2
mud,4
engagement,2
square,2
odor,2
window,3
route,2
tide,4
location,2
resort,2
destiny,2
preference,2
helmet,3
occasion,2
outcome,2
unity,2
deduction,2
fate,2
safety,2
cottage,2
irony,2
fear,2
horse,3
onion,4
peace,3
cake,4
opinion,2
bandit,2
imagination,3
tradition,2
belief,2
method,2
menu,2
measure,2
importance,2
propeller,2
park,2
development,2
escape,2
kitten,3
volcano,4
consistency,2
diamond,5
promotion,2
pillow,3
confidence,2
literature,2
incentive,2
ally,2
donor,2
magic,3
arrangement,2
boulder,3
produce,3
independence,2
autumn,5
honesty,2
island,3
love,2
poll,2
entrance,2
pest,2
shortness,2
suspect,2
example,2
cowardice,2
alley,2
opera,3
thief,2
factory,2
charter,2
lobster,4
peacemaker,2
combination,2
liar,2
degree,2
size,2
duck,3
fisherman,2
heresy,2
significance,2
vocabulary,2
guess,2
murder,2
bridge,2
boy,2
microscope,2
lisp,2
university,2
lily,5
fight,2
opposition,2
ditch,2
preparation,2
chicken,3
sow,2
salad,3
betrayal,2
mercy,2
street,2
dimension,2
calendar,2
income,2
fog,4
originality,2
curfew,2
weather,3
music,2
willingness,2
rent,2
bed,2
underworld,2
wish,2
starch,2
wallet,2
volume,2
grief,2
elephant,3
explanation,2
miracle,2
idiom,2
episode,2
announcement,2
past,2
station,2
riot,2
soul,2
effect,2
selection,2
bullet,2
stick,2
proportion,2
property,2
memory,2
contract,2
intention,2
lens,2
assumption,2
recognition,2
youth,2
silence,2
cloth,3
performance,2
recital,2
master,2
salary,2
ankle,2
mother,2
foundation,2
story,2
cucumber,4
availability,2
nurse,2
metaphor,2
grass,5
brother,2
handkerchief,3
comprehension,2
banana,5
television,2
snow,6
amount,2
suit,3
neck,2
clearance,2
standard,2
legality,2
convergence,2
art,3
trumpet,3
diet,2
institute,2
appeal,2
costume,3
prop,2
proof,2
oven,3
candy,4
contempt,2
ceremony,2
eyeball,2
dentist,2
suggestion,2
beauty,3
waste,2
chocolate,4
shirt,3
cause,2
integrity,2
hog,2
nation,2
lamb,3
conscience,2
chlorine,3
extent,2
drama,2
anxiety,2
design,2
record,2
cranberry,5
money,2
mustard,5
calculation,2
protection,2
leadership,2
adversity,2
skin,2
snake,3
mold,3
effort,2
increase,2
subtraction,2
duration,2
description,2
member,2
dynasty,2
revenge,2
production,2
skull,2
mile,2
necessity,2
ambition,2
branch,3
child,2
enemy,2
identity,2
potato,3
professor,2
mosquito,2
doctor,2
artist,2
girl,2
crocodile,3
job,2
debt,2
missile,2
palace,2
tension,2
food,3
issue,2
church,2
assistance,2
supply,2
mankind,2
stranger,2
composer,2
idea,2
appointment,2
decision,2
drum,3
chance,2
hierarchy,2
manner,2
spirit,2
bolt,2
hatred,2
show,2
conclusion,2
pig,3
lion,3
retention,2
interaction,2
tax,2
midnight,4
bracelet,3
specialist,2
risk,2
physics,2
roof,2
frog,3
grandmother,2
body,2
circuit,2
dad,2
bet,2
camera,2
impairment,2
site,2
animal,2
equality,2
poetry,2
boredom,2
response,2
coffee,3
want,2
nerve,2
corn,4
play,2
trust,2
orchestra,2
wisdom,2
inch,2
duty,2
industry,2
limitation,2
hurt,2
capacity,2
car,2
ocean,5
injury,2
radio,2
misery,2
butter,4
chipmunk,3
reflex,2
incident,2
father,2
hospital,2
unit,2
origin,2
translation,2
envy,2
mystery,2
entree,2
reality,2
principle,2
holiday,2
logic,2
arrow,2
sedative,2
kite,3
guide,2
arc,2
boundary,2
forest,4
uniform,3
blood,5
paradigm,2
alligator,3
clothing,3
message,2
mileage,2
rule,2
insight,2
medicine,2
dove,3
aspect,2
hope,2
moral,2
acquisition,2
hat,3
object,2
sadness,2
sofa,2
quality,2
leader,2
tragedy,2
corporation,2
disaster,2
state,2
second,2
rhyme,2
uncertainty,2
time,2
brute,2
gender,2
assault,2
door,2
requirement,2
beverage,2
majority,2
circumstance,2
policeman,2
beetle,3
accumulation,2
bell,2
stride,2
lizard,3
addition,2
fallacy,2
summer,5
city,2
group,2
bubble,3
exception,2
puddle,3
lock,2
presence,2
jacket,3
lake,4
introduction,2
water,4
payment,2
diversity,2
regret,2
distraction,2
football,2
figure,2
eagle,3
stupidity,2
vapor,3
psalm,2
accident,2
pyramid,4
consideration,2
distance,2
refrigerator,2
brawl,2
orchid,5
ball,3
topic,2
situation,2
peach,5
flavor,2
genuine,2
hurricane,3
bird,3
ballot,2
reinforcement,2
duel,2
parish,2
edge,2
sole,2
malice,2
winter,5
caterpillar,3
tip,2
teacher,2
scent,2
towel,3
sky,6
obstruction,2
dagger,2
wave,4
satisfaction,2
irrigation,2
reputation,2
division,2
crime,2
fact,2
electricity,3
verse,2
pie,3
complication,2
coffin,2
hobby,2
loan,2
pretense,2
territory,2
knife,2
desk,2
economy,2
saloon,2
ambulance,3
benefactor,2
event,2
dozen,2
replacement,2
photograph,3
pawn,2
woman,2
pond,3
owner,2
tree,3
determination,2
context,2
grasshopper,3
guilt,2
attempt,2
month,2
traveler,2
marriage,2
dilemma,2
bedroom,2
jerk,2
math,2
freedom,2
inn,2
three,2
acre,2
band,2
eight,2
lane,2
