word,rating
coffin,4
month,1
leader,2
duty,3
incident,2
pill,1
pawn,2
mosquito,1
orchid,3
parish,1
lettuce,1
wallet,1
example,1
payment,1
separation,6
ocean,4
perception,2
key,1
contempt,7
road,1
bell,2
competence,2
hog,1
principle,2
philosophy,2
regret,7
moonlight,4
butter,1
accident,4
bandit,3
guilt,7
specimen,1
flask,1
subtraction,1
zoo,2
nerve,3
adventurer,3
fantasy,4
object,1
contract,1
art,3
personality,3
grandmother,5
behavior,2
helmet,1
midnight,3
helplessness,6
fountain,2
loan,1
permission,1
worry,6
mountain,2
calculation,1
laughter,7
play,4
inn,2
costume,2
heart,6
theory,1
visitor,2
idea,2
announcement,2
income,1
arrow,2
irrigation,1
abundance,3
wage,1
uncertainty,5
horse,2
cat,2
guide,2
distribution,1
drum,2
fate,4
tongue,2
moment,2
opportunity,3
itch,3
difference,2
cause,2
leopard,2
infection,2
territory,1
dimension,1
fog,3
fireplace,3
time,1
teacher,2
occasion,2
occupation,1
core,1
silence,3
vocabulary,1
ankle,1
riot,4
skull,3
bed,2
variety,1
file,1
consideration,3
rainbow,4
measure,1
sugar,1
envy,7
baby,5
linen,1
enemy,4
three,1
mile,1
opinion,2
food,2
impairment,3
beauty,5
performance,3
ambulance,3
punishment,5
starch,1
salary,1
selection,1
significance,2
corpse,4
metaphor,1
cup,1
job,2
response,2
description,1
tradition,3
rule,1
hurricane,4
assumption,1
economy,1
degree,1
appeal,3
lion,2
skunk,1
stranger,2
march,2
proof,1
member,1
eagle,2
suit,1
shape,1
disaster,5
clothing,1
uncle,2
produce,1
unit,1
importance,2
accomplishment,4
empty,4
awareness,2
capacity,1
neck,1
standard,1
ambition,4
propeller,1
cake,2
evidence,1
tennis,2
physics,1
honesty,5
odor,2
landscape,3
lamp,2
circuit,1
injury,4
gorilla,2
master,2
university,2
pigeon,2
hospital,3
shirt,1
bank,1
camera,1
sanctuary,4
pest,2
comparison,1
kindness,6
category,1
recognition,4
obstruction,3
rocket,2
ball,2
circumstance,1
mold,1
writing,2
banana,1
idiom,1
marriage,5
cloth,1
pile,1
comprehension,1
branch,1
edge,2
incentive,2
expression,4
combination,1
jewel,3
rabbit,2
origin,1
requirement,1
mankind,2
microscope,1
view,2
professor,2
typewriter,1
ceiling,1
purpose,2
ditch,1
wave,2
policeman,2
season,2
guess,2
summer,3
margin,1
complication,3
establishment,1
betrayal,6
towel,1
math,1
hat,1
fabric,1
name,1
refrigerator,1
segment,1
conference,2
tendency,1
specialist,1
drama,4
boulder,1
property,1
division,1
site,1
fallacy,2
meeting,2
coupon,1
television,2
mastery,3
identification,1
promotion,3
moral,3
correspondent,1
individual,2
brawl,4
soul,5
retention,1
dagger,3
instance,1
impossibility,3
lightning,3
pig,1
quality,1
corn,1
bullet,3
truth,3
state,1
assault,5
entrance,2
amount,1
friendship,6
macaroni,1
topic,1
border,1
clearance,1
determination,4
route,1
puddle,2
thing,1
arc,1
sky,3
tree,2
student,2
tip,1
presence,2
self,3
autumn,3
love,7
peace,6
episode,2
conscience,5
sight,2
length,1
caterpillar,1
tool,1
body,2
latch,1
cow,1
spirit,4
roof,1
charter,1
reputation,3
lesson,2
fisherman,2
tallness,1
dozen,1
boredom,5
salad,1
magic,4
acre,1
palace,2
ring,2
stride,2
money,2
butterfly,3
equality,3
anger,7
pretense,4
justice,4
unity,3
engagement,4
industry,1
sister,4
calendar,1
attempt,2
mystery,3
criticism,4
phenomenon,1
beast,2
river,3
alley,2
chance,3
atrocity,6
laundry,1
uniform,1
translation,1
entree,1
riddle,2
father,4
outfit,1
blood,3
danger,5
fifteen,1
beverage,1
heap,1
liar,4
mind,2
pond,2
shortness,1
tune,2
boundary,1
thorn,3
mileage,1
vapor,1
toilet,1
sneeze,2
synagogue,2
rhyme,2
gesture,3
island,3
leadership,2
disgust,7
democracy,2
shrimp,1
woman,2
sword,2
majority,1
shock,5
ability,2
lane,1
responsibility,3
alligator,2
supply,1
child,4
crown,2
anxiety,6
intelligence,2
kitten,3
holiday,4
waste,2
mud,1
factory,1
opposition,3
winter,3
grammar,1
peacemaker,5
hatred,7
reduction,1
stupidity,4
