word,rating
line,2
skill,3
nose,1
knowledge,4
information,3
rainbow,1
ownership,5
faith,7
affection,3
zoo,1
correspondent,2
rebel,5
moonlight,1
photo,1
opportunity,4
anger,4
coupon,1
adventurer,2
fabric,1
itch,1
character,6
cat,1
crisis,4
danger,5
sneeze,1
identification,3
writing,3
behavior,6
tendency,5
burner,1
baby,2
variety,2
mansion,1
uncle,1
macaroni,1
prediction,2
mud,1
engagement,4
square,1
odor,1
window,1
route,2
tide,1
location,1
resort,1
destiny,4
preference,3
helmet,2
occasion,2
outcome,3
unity,5
deduction,3
fate,4
safety,6
cottage,1
irony,2
fear,4
horse,1
onion,1
peace,6
cake,1
opinion,3
bandit,5
imagination,2
tradition,5
belief,6
method,3
menu,1
measure,2
importance,4
propeller,1
park,1
development,3
escape,3
kitten,1
volcano,1
consistency,5
diamond,1
promotion,2
pillow,1
confidence,4
literature,2
incentive,3
ally,4
donor,4
magic,1
arrangement,2
boulder,1
produce,1
independence,5
autumn,1
honesty,7
island,1
love,5
poll,2
entrance,1
pest,1
shortness,1
suspect,3
example,3
cowardice,6
alley,1
opera,1
thief,5
factory,1
charter,4
lobster,1
peacemaker,6
combination,2
liar,5
degree,2
size,1
duck,1
fisherman,1
heresy,5
significance,3
vocabulary,2
guess,2
murder,6
bridge,1
boy,1
microscope,1
lisp,1
university,2
lily,1
fight,4
opposition,4
ditch,1
preparation,3
chicken,1
sow,1
salad,1
betrayal,6
mercy,6
street,1
dimension,1
calendar,1
income,2
fog,1
originality,3
curfew,5
weather,1
music,1
willingness,5
rent,2
bed,1
underworld,4
wish,2
starch,1
wallet,1
volume,1
grief,2
elephant,1
explanation,2
miracle,2
idiom,1
episode,1
announcement,2
past,1
station,1
riot,5
soul,4
effect,2
selection,2
bullet,3
stick,1
proportion,2
property,3
memory,2
contract,4
intention,5
lens,1
assumption,2
recognition,2
youth,1
silence,2
cloth,1
performance,2
recital,1
master,3
salary,2
ankle,1
mother,2
foundation,3
story,1
cucumber,1
availability,2
nurse,2
metaphor,1
grass,1
brother,2
handkerchief,1
comprehension,2
banana,1
television,1
snow,1
amount,1
suit,1
neck,1
clearance,2
standard,5
legality,6
convergence,2
art,2
trumpet,1
diet,3
institute,2
appeal,3
costume,1
prop,1
proof,3
oven,1
candy,1
contempt,5
ceremony,3
eyeball,1
dentist,1
suggestion,2
beauty,2
waste,3
chocolate,1
shirt,1
cause,4
integrity,7
hog,1
nation,3
lamb,1
conscience,7
chlorine,1
extent,1
drama,2
anxiety,2
design,2
record,2
cranberry,1
money,2
mustard,1
calculation,2
protection,5
leadership,5
adversity,3
skin,1
snake,1
mold,1
effort,4
increase,2
subtraction,1
duration,1
description,1
member,2
dynasty,2
revenge,5
production,2
skull,1
mile,1
necessity,4
ambition,4
branch,1
child,2
enemy,4
identity,3
potato,1
professor,2
mosquito,1
doctor,2
artist,2
girl,1
crocodile,1
job,2
debt,4
missile,2
palace,1
tension,2
food,1
issue,3
church,5
assistance,4
supply,2
mankind,3
stranger,2
composer,1
idea,2
appointment,2
decision,4
drum,1
chance,2
hierarchy,4
manner,4
spirit,4
bolt,1
hatred,5
show,1
conclusion,2
pig,1
lion,1
retention,2
interaction,2
tax,3
midnight,1
bracelet,1
specialist,2
risk,3
physics,1
roof,1
frog,1
grandmother,2
body,1
circuit,1
dad,1
bet,2
camera,1
impairment,2
site,1
animal,1
equality,6
poetry,2
boredom,2
response,2
coffee,1
want,2
nerve,2
corn,1
play,1
trust,6
orchestra,1
wisdom,6
inch,1
duty,6
industry,2
limitation,3
hurt,2
capacity,2
car,1
ocean,1
injury,2
radio,1
misery,2
butter,1
chipmunk,1
reflex,1
incident,2
father,2
hospital,2
unit,1
origin,1
translation,1
envy,5
mystery,1
entree,1
