word,rating
line,5
skill,6
nose,4
knowledge,2
information,2
rainbow,2
ownership,2
faith,2
affection,3
zoo,2
correspondent,2
rebel,4
moonlight,2
photo,2
opportunity,3
anger,5
coupon,1
adventurer,5
fabric,2
itch,4
character,2
cat,3
crisis,2
danger,4
sneeze,6
identification,2
writing,6
behavior,4
tendency,2
burner,2
baby,3
variety,2
mansion,2
uncle,2
macaroni,2
prediction,2
mud,4
engagement,3
square,2
odor,3
window,2
route,4
tide,3
location,2
resort,2
destiny,2
preference,2
helmet,3
occasion,2
outcome,2
unity,2
deduction,2
fate,2
safety,3
cottage,2
irony,2
fear,4
horse,4
onion,2
peace,3
cake,2
opinion,2
bandit,4
imagination,5
tradition,2
belief,2
method,2
menu,2
measure,2
importance,2
propeller,3
park,3
development,2
escape,5
kitten,3
volcano,3
consistency,2
diamond,2
promotion,2
pillow,2
confidence,3
literature,2
incentive,2
ally,3
donor,2
magic,3
arrangement,2
boulder,3
produce,3
independence,4
autumn,2
honesty,2
island,2
love,3
poll,2
entrance,3
pest,2
shortness,2
suspect,2
example,2
cowardice,3
alley,3
opera,2
thief,3
factory,2
charter,2
lobster,2
peacemaker,3
combination,2
liar,3
degree,2
size,2
duck,3
fisherman,4
heresy,2
significance,2
vocabulary,2
guess,2
murder,3
bridge,3
boy,3
microscope,2
lisp,2
university,2
lily,2
fight,6
opposition,3
ditch,3
preparation,3
chicken,2
sow,4
salad,2
betrayal,3
mercy,2
street,3
dimension,2
calendar,2
income,2
fog,2
originality,3
curfew,2
weather,2
music,2
willingness,3
rent,2
bed,2
underworld,2
wish,3
starch,2
wallet,2
volume,2
grief,2
elephant,3
explanation,2
miracle,2
idiom,2
episode,2
announcement,2
past,2
station,2
riot,5
soul,2
effect,2
selection,2
bullet,3
stick,4
proportion,2
property,2
memory,2
contract,2
intention,3
lens,2
assumption,2
recognition,2
youth,3
silence,2
cloth,2
performance,4
recital,2
master,3
salary,2
ankle,3
mother,2
foundation,2
story,2
cucumber,2
availability,2
nurse,2
metaphor,2
grass,3
brother,2
handkerchief,2
comprehension,2
banana,2
television,2
snow,3
amount,2
suit,2
neck,3
clearance,2
standard,2
legality,2
convergence,2
art,3
trumpet,2
diet,2
institute,2
appeal,2
costume,2
prop,2
proof,2
oven,2
candy,2
contempt,3
ceremony,2
eyeball,3
dentist,2
suggestion,2
beauty,2
waste,2
chocolate,2
shirt,2
cause,2
integrity,2
hog,3
nation,2
lamb,2
conscience,2
chlorine,2
extent,2
drama,2
anxiety,3
design,2
record,2
cranberry,2
money,2
mustard,2
calculation,2
protection,2
leadership,3
adversity,3
skin,3
snake,4
mold,2
effort,5
increase,2
subtraction,2
duration,2
description,2
member,2
dynasty,2
revenge,4
production,2
skull,2
mile,3
necessity,2
ambition,3
branch,3
child,3
enemy,3
identity,2
potato,2
professor,2
mosquito,3
doctor,2
artist,3
girl,3
crocodile,3
job,2
debt,2
missile,3
palace,2
tension,3
food,2
issue,2
church,2
assistance,2
supply,2
mankind,2
stranger,2
composer,2
idea,2
appointment,2
decision,2
drum,4
chance,2
hierarchy,2
manner,3
spirit,2
bolt,4
hatred,3
show,3
conclusion,2
pig,3
lion,4
retention,2
interaction,3
tax,2
midnight,2
bracelet,2
specialist,2
risk,3
physics,2
roof,2
frog,3
grandmother,2
body,4
circuit,2
dad,2
bet,2
camera,2
impairment,2
site,2
animal,3
equality,2
poetry,2
boredom,2
response,2
coffee,2
want,3
nerve,3
corn,2
play,5
trust,2
orchestra,2
wisdom,2
inch,2
duty,2
industry,2
limitation,2
hurt,4
capacity,2
car,3
ocean,3
injury,4
radio,2
misery,2
butter,2
chipmunk,3
reflex,5
incident,2
father,2
hospital,2
unit,2
origin,2
translation,2
envy,3
mystery,2
entree,2
reality,2
principle,2
holiday,2
logic,2
arrow,4
sedative,2
kite,4
guide,3
arc,3
boundary,2
forest,2
uniform,2
blood,3
paradigm,2
alligator,3
clothing,2
message,2
mileage,2
rule,2
insight,2
medicine,2
dove,3
aspect,2
hope,2
moral,2
acquisition,2
hat,2
object,2
sadness,2
sofa,2
quality,2
leader,3
tragedy,2
corporation,2
disaster,3
state,2
second,2
rhyme,2
uncertainty,2
time,2
brute,4
gender,2
assault,5
door,3
requirement,2
beverage,2
majority,2
circumstance,2
policeman,3
beetle,3
accumulation,2
bell,2
stride,6
lizard,3
addition,2
fallacy,2
summer,2
city,2
group,2
bubble,3
exception,2
puddle,3
lock,3
presence,2
jacket,2
lake,2
introduction,2
water,3
payment,2
diversity,2
regret,2
distraction,2
football,5
figure,2
eagle,4
stupidity,2
vapor,2
psalm,2
accident,3
pyramid,2
consideration,2
distance,3
refrigerator,2
brawl,5
orchid,2
ball,5
topic,2
situation,2
peach,2
flavor,2
genuine,2
hurricane,3
bird,4
ballot,2
reinforcement,2
duel,5
parish,2
edge,3
sole,3
malice,3
winter,2
caterpillar,3
tip,3
teacher,2
scent,2
towel,2
sky,2
obstruction,2
dagger,4
wave,4
satisfaction,2
irrigation,2
reputation,2
division,2
crime,3
fact,2
electricity,2
verse,2
pie,2
complication,2
coffin,2
hobby,2
loan,2
pretense,2
territory,2
knife,3
desk,2
economy,2
saloon,2
ambulance,2
benefactor,2
event,2
dozen,2
replacement,2
photograph,2
pawn,2
woman,2
pond,2
owner,2
tree,3
determination,4
context,2
grasshopper,3
guilt,2
attempt,4
month,2
traveler,4
marriage,2
dilemma,2
bedroom,2
jerk,4
math,2
freedom,4
inn,2
three,2
acre,2
band,3
eight,2
lane,3
butterfly,3
iron,3
cognition,2
democracy,2
annoyance,3
victim,3
heart,3
twig,3
disappointment,2
spelling,2
admiration,2
fifteen,2
leopard,4
punishment,3
instance,2
coincidence,2
hotel,2
latch,3
heap,2
toilet,2
abundance,2
myth,2
charity,2
difference,2
specimen,2
instinct,3
cup,2
stimulus,3
rabbit,3
necklace,2
meeting,2
clean,3
frustration,3
pimple,3
sister,2
advantage,2
atom,2
deputy,2
smell,3
phenomenon,2
lip,3
form,2
establishment,2
mastery,3
jewel,2
despair,2
relief,2
tomato,2
tool,4
blade,4
loafer,2
accomplishment,3
future,2
ring,3
tennis,5
chair,2
beast,4
responsibility,2
attitude,2
student,2
skunk,3
exclusion,2
intelligence,2
christmas,2
margin,2
lemon,2
infection,2
construction,3
scholar,2
lightning,4
claim,2
item,2
apple,2
spider,3
value,2
rocket,3
consequence,2
helplessness,2
personality,2
view,2
separation,2
criticism,2
lettuce,2
deceit,2
sword,4
individual,2
river,3
lesson,2
squeak,3
number,2
conference,2
reduction,2
article,2
philosophy,2
permission,2
brevity,2
laughter,4
newspaper,2
empty,2
security,2
ceiling,2
visitor,2
immortality,2
sandal,2
weight,2
competence,2
file,2
brain,2
opponent,4
self,3
tongue,3
wolf,4
scene,2
distribution,2
empire,2
fat,2
ignition,2
chief,2
candidate,2
corpse,2
fantasy,3
volt,2
outfit,2
shrimp,2
vision,2
shock,4
length,2
disgust,3
speech,3
lamp,2
atrocity,3
bank,2
truck,3
queen,2
shame,3
core,2
steam,2
tallness,2
evidence,2
apology,2
wage,2
friendship,2
occupation,2
fireplace,2
typewriter,2
tune,2
riddle,2
grammar,2
real,2
road,3
temple,2
cocktail,2
wood,2
landscape,2
beaver,3
raspberry,2
pool,3
