word,rating
scholar,6
deputy,4
produce,5
woman,5
scent,6
ambulance,3
doctor,6
obstruction,2
three,4
flavor,6
volcano,4
cow,5
ankle,4
clearance,5
nerve,3
helmet,4
chief,5
cake,7
manner,5
pill,3
robbery,2
marriage,6
spirit,6
speech,5
scene,5
math,4
freedom,7
atom,4
kindness,7
cat,6
ballot,4
abundance,6
incentive,6
guess,4
effort,5
pond,6
impairment,2
grass,6
belief,6
door,4
conclusion,5
photograph,5
photo,5
explanation,5
chocolate,7
candy,6
sword,3
presence,5
admiration,7
lobster,5
jerk,2
knife,3
crime,2
betrayal,2
microscope,5
bracelet,6
emergence,5
mansion,6
escape,6
heresy,2
stimulus,4
deduction,5
reduction,5
pig,4
sugar,6
lamb,6
loan,3
frog,5
lane,4
gorilla,4
flask,4
music,7
willingness,7
hurt,2
combination,5
lightning,4
foundation,6
confidence,7
contempt,2
contract,4
skin,4
magic,7
conscience,6
evidence,5
response,5
addition,5
ceiling,4
brawl,2
pimple,2
temple,6
saloon,4
integrity,7
suit,4
industry,5
fountain,6
occasion,6
file,4
comparison,4
border,4
sandal,5
future,5
money,5
accomplishment,7
composer,6
correspondent,5
month,4
pie,6
conference,5
burner,3
fog,4
disappointment,2
forest,6
linen,5
student,5
kitten,7
thorn,3
zoo,6
enemy,2
hurricane,2
route,4
fabric,5
boredom,2
ignorance,2
sow,4
character,6
cranberry,5
cup,5
episode,5
assistance,6
duration,4
squeak,3
paradigm,4
circuit,4
disagreement,2
hazard,2
arc,4
toilet,3
bottle,4
tool,5
snow,6
permission,5
awareness,6
heart,7
poetry,7
importance,6
pool,6
stick,4
beauty,7
subtraction,4
translation,5
pile,3
performance,6
hospital,3
criticism,3
apology,5
park,6
medicine,4
mile,4
inn,5
grandmother,7
circumstance,4
trust,7
engagement,6
location,4
lettuce,5
tradition,6
cloth,4
alphabet,5
diamond,7
moment,6
child,7
arrangement,5
island,6
variety,6
information,5
latch,3
chicken,5
artist,6
beaver,5
refrigerator,4
destiny,6
tip,5
grammar,4
hotel,5
brevity,5
shortness,4
capacity,5
worry,2
owner,4
view,5
denial,2
issue,3
personality,6
boy,5
entrance,5
orchid,6
radio,5
hatred,2
opera,6
steam,4
phenomenon,5
lizard,4
visitor,5
ambition,6
mankind,5
brother,6
crocodile,3
error,2
miracle,7
bell,5
germ,2
property,4
bet,3
hog,3
bed,5
deceit,2
member,4
intention,5
hope,7
specialist,5
attitude,5
poll,4
salary,4
fireplace,6
rocket,5
past,4
misery,2
thought,5
entree,5
want,4
skull,3
margin,4
ceremony,6
extent,4
potato,5
reputation,5
determination,6
increase,5
independence,7
genuine,7
story,6
rule,4
eyeball,3
landscape,6
factory,4
injury,2
dad,6
advantage,6
electricity,5
bedroom,5
gesture,5
bridge,6
fact,5
unity,6
lisp,3
coupon,4
stranger,4
dove,6
material,4
prop,4
event,5
result,5
handkerchief,4
institute,5
announcement,5
assault,2
helplessness,2
robin,6
grasshopper,4
justification,5
thing,4
duel,3
adventurer,6
mosquito,2
revenge,2
elephant,6
segment,4
suspect,3
degree,5
anxiety,2
record,5
reflex,4
dilemma,3
replacement,4
tree,6
clean,6
lock,4
stride,5
wish,6
apple,6
reality,5
self,5
consequence,4
form,5
laughter,7
opponent,3
lily,6
lunch,6
sedative,4
menu,5
benefactor,6
duty,5
drama,5
equality,6
trumpet,5
art,7
alligator,3
lake,6
idiom,4
vocabulary,5
instance,4
cucumber,5
chance,5
nose,4
charter,4
branch,5
interruption,3
logic,5
comprehension,5
boundary,4
camera,5
tomato,5
volt,4
nation,5
volume,4
waste,2
key,6
significance,6
hat,5
figure,5
football,5
fear,2
separation,3
measure,5
puddle,5
sight,5
philosophy,6
irony,5
charity,7
advice,6
beast,3
moonlight,7
appeal,6
instructor,5
paragraph,4
economy,4
traveler,6
disaster,2
butter,6
law,4
convergence,5
state,4
instinct,5
season,6
vapor,4
diversity,6
definition,5
lesson,5
spider,3
impossibility,2
window,5
cliff,4
mountain,6
disgust,2
onion,5
republic,5
chipmunk,6
pest,2
safety,6
skunk,3
shame,2
beetle,4
possibility,6
crown,6
retention,4
immortality,5
proportion,5
raspberry,6
beverage,5
metaphor,5
effect,5
weight,4
physics,5
curfew,3
teacher,6
salad,5
bullet,2
lemon,5
second,4
fisherman,5
uncertainty,3
shock,2
leadership,6
winter,5
ring,6
food,6
payment,4
recital,5
bag,4
sadness,2
behavior,5
lip,4
guilt,2
incident,3
annoyance,2
wood,5
mastery,6
victim,2
autumn,6
gender,4
leader,6
peacemaker,7
ownership,4
distance,4
cowardice,2
ally,6
jewel,7
truck,4
intelligence,6
palace,6
job,5
situation,4
summer,6
mileage,4
shrimp,5
parish,4
perception,5
ditch,3
fantasy,6
uncle,6
regret,2
bank,4
midnight,5
policeman,4
calculation,4
outfit,5
witness,4
verse,5
dentist,3
satisfaction,7
preference,5
originality,6
resort,6
fat,3
attention,5
writing,6
legality,4
size,4
smell,5
thief,2
heap,3
dagger,2
underworld,2
fifteen,4
mold,2
frustration,2
shirt,4
brain,5
expression,5
edge,4
ignition,4
name,5
darkness,2
message,5
square,4
site,4
snake,3
consideration,6
occupation,5
claim,4
pretense,2
silence,5
mystery,5
wallet,4
corn,5
caterpillar,4
calendar,4
opposition,3
chlorine,2
candidate,4
road,5
method,5
leopard,4
shark,3
neighborhood,5
cognition,5
promotion,6
holiday,6
necklace,6
