word,rating
corporation,4
deputy,2
brawl,2
church,2
uncle,1
moral,1
faith,1
mountain,6
shirt,2
duel,2
hospital,2
lip,2
love,1
material,3
ambulance,2
enemy,1
event,2
honesty,1
tennis,2
missile,5
origin,1
waste,4
route,3
university,4
limitation,5
poetry,1
artist,1
instructor,1
salary,4
arrangement,2
personality,1
opposition,2
pretense,1
rent,4
possibility,3
ignition,1
circumstance,2
justification,2
gesture,2
lobster,2
insight,1
selection,3
accumulation,6
student,1
topic,2
philosophy,1
gorilla,2
myth,1
misery,1
truth,1
member,1
purpose,1
temperature,4
station,2
marriage,1
outcome,2
cliff,5
puddle,3
lens,2
skin,2
complication,3
peace,1
mustard,2
beverage,2
beaver,2
consistency,2
television,2
logic,1
chief,2
brain,2
cocktail,2
danger,2
pest,2
truck,3
mercy,1
metaphor,1
intelligence,1
damage,3
explanation,2
banana,2
beast,2
oven,2
body,2
holiday,2
theory,1
rocket,3
addition,5
integrity,1
pawn,1
form,2
supply,4
attention,1
hope,1
circuit,2
annoyance,1
memory,1
stimulus,1
proof,1
empty,5
rainbow,2
charter,2
mystery,1
desk,2
music,1
hat,2
length,6
stupidity,1
donor,1
thorn,2
cottage,2
mud,2
crocodile,2
atrocity,1
teacher,1
group,4
establishment,3
zoo,3
meeting,2
site,2
horse,2
interruption,2
dentist,1
originality,1
orchestra,2
christmas,2
ceiling,3
denial,1
want,3
expression,2
shock,2
idiom,1
toilet,2
animal,2
typewriter,2
legality,1
fountain,2
subtraction,5
victim,1
unit,4
requirement,3
car,2
security,1
preparation,2
season,2
sword,2
brevity,5
future,2
menu,3
helplessness,1
woman,1
rhyme,1
cow,2
duration,5
ballot,2
cat,2
hierarchy,4
incident,2
capacity,5
blade,2
grass,2
miracle,1
autumn,2
introduction,2
chlorine,2
jerk,2
outfit,2
frog,2
attempt,2
assault,2
ceremony,2
leader,1
fisherman,1
willingness,1
grammar,1
talent,1
criticism,1
appointment,2
river,4
clearance,3
ditch,3
phenomenon,2
island,3
permission,2
flask,2
tax,3
loafer,2
calculation,2
identity,1
starch,2
fat,4
ankle,2
development,3
tool,2
ownership,1
abundance,6
visitor,1
doctor,1
laundry,2
importance,3
inch,6
cranberry,2
arc,2
girl,1
chair,2
destiny,1
magic,1
square,3
saloon,2
jewel,2
eight,4
cake,2
lily,2
second,4
wave,4
ignorance,1
laughter,1
engagement,2
boat,2
debt,3
impossibility,1
conference,2
speech,2
blood,2
opponent,1
caterpillar,2
revenge,1
wood,2
grasshopper,2
definition,2
mattress,2
ocean,5
leadership,1
bell,2
grief,1
result,2
tendency,2
combination,3
measure,5
policeman,1
anxiety,1
shape,3
sneeze,2
raspberry,2
dagger,2
linen,2
factory,3
irrigation,3
volt,2
comparison,2
paradigm,2
odor,2
lock,2
dilemma,1
lightning,3
bet,2
acquisition,4
rabbit,2
potato,2
summer,2
ring,2
skill,1
construction,3
determination,1
volcano,5
episode,2
key,2
skull,2
stapler,2
witness,1
appeal,2
vocabulary,3
protection,2
reality,1
cloth,2
money,4
friendship,1
context,2
crime,1
writing,1
frustration,1
hog,2
window,2
mankind,4
suggestion,2
reflex,1
cowardice,1
behavior,1
scholar,1
wisdom,1
separation,3
disgust,1
leopard,2
pyramid,4
punishment,2
view,2
despair,1
football,2
hatred,1
segment,4
bank,2
professor,1
queen,1
robin,2
entrance,2
silence,1
alley,3
palace,3
lamp,2
recital,2
loan,3
chicken,2
vapor,3
fallacy,1
physics,1
hazard,2
dynasty,3
uncertainty,1
chance,2
snake,2
salad,2
design,2
bullet,2
snow,2
nose,2
clothing,2
guide,1
rule,2
stranger,1
fantasy,1
instance,2
exclusion,3
street,3
forest,3
occupation,1
neighborhood,3
scent,2
thought,1
refrigerator,2
hurricane,5
responsibility,1
intention,1
benefactor,1
shrimp,2
stick,2
burner,2
peacemaker,1
cause,1
bed,2
corn,2
economy,3
deduction,2
fact,1
equality,3
line,4
sight,2
tragedy,1
specimen,2
majority,5
bracelet,2
identification,2
three,4
bedroom,2
distraction,1
germ,2
medicine,2
value,3
cognition,1
volume,6
skunk,2
coincidence,1
nation,4
division,4
peach,2
shame,1
month,2
adversity,1
character,1
play,2
clean,1
coffin,2
alligator,2
jacket,2
atom,2
information,3
satisfaction,1
produce,4
youth,2
spelling,1
translation,2
pimple,2
difference,3
sadness,1
consequence,2
conscience,1
pie,2
ball,2
squeak,2
dozen,4
affection,1
contract,2
duty,1
door,2
paragraph,2
diamond,2
instinct,1
mile,6
democracy,3
safety,1
freedom,1
fog,3
curfew,2
past,2
onion,2
corpse,1
mastery,1
law,1
evidence,1
dimension,6
adventurer,1
moonlight,2
alphabet,3
sow,2
category,3
interaction,2
uniform,2
city,4
