word,rating
suit,2
performance,3
cognition,2
hat,1
disappointment,4
city,2
independence,3
hotel,1
guilt,5
bubble,1
marriage,7
neighborhood,4
adversity,4
crown,2
fisherman,1
peach,1
lion,1
vapor,1
fantasy,2
advice,5
metaphor,2
blade,1
arc,1
lamp,1
square,1
accident,2
attitude,4
material,1
outcome,3
error,2
puddle,1
comparison,2
regulation,2
cowardice,4
engagement,6
site,1
professor,2
mosquito,1
mold,1
irony,2
contempt,5
purpose,2
knife,1
opportunity,3
curfew,2
despair,4
anxiety,4
cloth,1
truck,1
stride,2
three,1
mind,2
sword,1
spider,1
baby,3
inn,1
bullet,1
trumpet,1
costume,1
leopard,1
diversity,3
river,1
duty,3
math,1
bell,1
ceiling,1
blood,2
landscape,1
photograph,1
consideration,4
chief,2
witness,2
insight,3
fear,3
bird,1
butter,1
equality,3
perception,2
availability,2
weather,1
hierarchy,2
toilet,1
principle,2
propeller,1
future,2
riddle,1
promotion,3
annoyance,4
advantage,2
spelling,1
key,1
typewriter,1
sight,1
occasion,3
gun,1
odor,1
ambulance,1
past,2
lane,1
decision,3
volt,1
band,2
ocean,1
sedative,1
rabbit,1
opposition,4
clean,1
boy,2
riot,3
nerve,3
confidence,4
frustration,4
specialist,2
recognition,4
kitten,1
pawn,2
selection,2
mile,1
genuine,3
beetle,1
job,2
towel,1
issue,3
dynasty,2
sandal,1
establishment,2
dagger,1
neck,1
stapler,1
fight,4
lightning,1
lunch,1
second,1
child,3
exclusion,4
description,1
art,1
suggestion,3
development,2
magnitude,1
institute,2
sow,1
alley,1
time,1
honesty,3
produce,1
arrangement,2
bag,1
intention,3
group,4
body,2
rebel,3
midnight,1
drama,4
distraction,2
bracelet,1
proportion,1
horse,1
crime,2
core,2
personality,4
park,1
disaster,2
cocktail,1
suspect,2
philosophy,2
literature,2
limitation,2
magic,1
conscience,3
teacher,2
destiny,2
murder,2
assistance,4
escape,2
affection,6
ability,2
cake,1
football,2
brain,2
psalm,1
fountain,1
imagination,2
state,1
majority,2
tool,1
incentive,3
stranger,3
interaction,6
enemy,4
stick,1
leader,3
competence,3
bedroom,1
cottage,1
pest,1
subtraction,1
lake,1
jacket,1
volume,1
spirit,2
orchestra,1
improvement,2
darkness,1
chicken,1
mileage,1
steam,1
thought,2
criticism,3
reality,1
segment,1
robin,1
student,2
dozen,1
diet,1
rent,1
charity,4
security,2
helplessness,4
sadness,4
sole,1
apple,1
file,1
proof,1
island,1
reflex,1
intelligence,2
accomplishment,3
lettuce,1
physics,1
vocabulary,1
saloon,1
disagreement,5
revenge,4
protection,3
visitor,2
alphabet,1
brevity,1
synagogue,1
wolf,1
shrimp,1
duration,1
lamb,1
circuit,1
cup,1
conclusion,2
want,2
preference,3
grammar,1
reinforcement,3
idiom,1
forest,1
worry,3
branch,1
orchid,1
oven,1
effect,2
salary,1
atom,1
variety,2
beauty,1
assumption,2
republic,1
