word,rating
suit,6
performance,2
cognition,1
hat,7
disappointment,1
city,2
independence,1
hotel,3
guilt,1
bubble,6
marriage,1
neighborhood,2
adversity,1
crown,6
fisherman,3
peach,7
lion,4
vapor,5
fantasy,2
advice,1
metaphor,1
blade,6
arc,2
lamp,4
square,3
accident,2
attitude,1
material,5
outcome,1
error,1
puddle,5
comparison,1
regulation,1
cowardice,1
engagement,2
site,2
professor,2
mosquito,4
mold,5
irony,1
contempt,1
purpose,1
knife,6
opportunity,1
curfew,2
despair,1
anxiety,2
cloth,6
truck,4
stride,4
three,1
mind,1
sword,6
spider,4
baby,3
inn,3
bullet,5
trumpet,4
costume,6
leopard,4
diversity,1
river,4
duty,1
math,1
bell,4
ceiling,3
blood,4
landscape,3
photograph,2
consideration,1
chief,2
witness,2
insight,1
fear,2
bird,3
butter,6
equality,1
perception,1
availability,1
weather,3
hierarchy,1
toilet,4
principle,1
propeller,4
future,1
riddle,2
promotion,1
annoyance,2
advantage,1
spelling,1
key,4
typewriter,5
sight,2
occasion,2
gun,5
odor,3
ambulance,3
past,1
lane,3
decision,1
volt,2
band,3
ocean,4
sedative,2
rabbit,4
opposition,1
clean,3
boy,2
riot,2
nerve,2
confidence,1
frustration,2
specialist,1
recognition,1
kitten,4
pawn,3
selection,1
mile,2
genuine,1
beetle,4
job,1
towel,6
issue,1
dynasty,1
sandal,6
establishment,1
dagger,6
neck,5
stapler,4
fight,3
lightning,3
lunch,3
second,1
child,2
exclusion,1
description,1
art,2
suggestion,1
development,1
magnitude,2
institute,2
sow,4
alley,3
time,1
honesty,1
produce,4
arrangement,2
bag,5
intention,1
group,1
body,5
rebel,2
midnight,2
drama,2
distraction,1
bracelet,6
proportion,1
horse,4
crime,2
core,3
personality,1
park,3
disaster,2
cocktail,4
suspect,2
philosophy,1
literature,1
limitation,1
magic,2
conscience,1
teacher,2
destiny,1
murder,2
assistance,1
escape,2
affection,2
ability,1
cake,6
football,4
brain,3
psalm,1
fountain,4
imagination,1
state,1
majority,1
tool,5
incentive,1
stranger,2
interaction,1
enemy,2
stick,5
leader,1
competence,1
bedroom,3
cottage,3
pest,3
subtraction,1
lake,4
jacket,6
volume,2
spirit,1
orchestra,2
improvement,1
darkness,2
chicken,4
mileage,1
steam,5
thought,1
criticism,1
reality,1
segment,2
robin,3
student,2
dozen,1
diet,2
rent,1
charity,1
security,1
helplessness,1
sadness,1
sole,5
apple,7
file,4
proof,1
island,3
reflex,2
intelligence,1
accomplishment,1
lettuce,6
physics,1
vocabulary,1
saloon,3
disagreement,1
revenge,2
protection,1
visitor,2
alphabet,1
brevity,1
synagogue,2
wolf,4
shrimp,5
duration,1
lamb,4
circuit,2
cup,5
conclusion,1
want,1
preference,1
grammar,1
reinforcement,1
idiom,1
forest,3
worry,1
branch,4
orchid,5
oven,5
effect,1
salary,1
atom,2
variety,1
beauty,2
assumption,1
republic,1
object,2
belief,1
combination,1
guide,1
factory,3
real,1
effort,2
chocolate,6
flavor,4
composer,1
cucumber,6
hobby,2
empire,1
topic,1
pool,4
ally,1
mercy,1
scent,3
beaver,4
theory,1
drum,4
opinion,1
border,2
nose,5
safety,1
appeal,1
correspondent,1
number,1
tree,3
traveler,2
television,3
refrigerator,4
disgust,2
crisis,1
cause,1
lobster,5
shark,4
temperature,3
satisfaction,1
ditch,3
shame,1
flask,5
supply,2
menu,3
calculation,1
outfit,6
deputy,1
miracle,1
increase,1
lemon,7
attention,1
month,1
rule,2
snow,5
coupon,2
tension,2
phenomenon,1
truth,1
station,2
diamond,5
property,1
aspect,1
kite,4
construction,3
distribution,1
photo,2
paradigm,1
reduction,1
myth,1
punishment,2
brute,3
industry,2
necessity,1
faith,1
loan,1
income,1
summer,3
bed,5
ignorance,1
bolt,4
helmet,6
ceremony,2
paragraph,1
music,2
reason,1
heap,3
addition,1
adventurer,2
hazard,2
justification,1
rhyme,1
betrayal,1
chipmunk,4
sky,3
hurt,2
animal,3
corn,5
mud,6
candy,6
street,3
desk,4
rocket,4
gender,1
possibility,1
foundation,2
woman,2
entrance,2
attempt,1
idea,1
verse,1
grief,1
entree,4
wave,4
permission,1
fallacy,1
wisdom,1
expression,1
territory,2
abundance,2
infection,2
method,1
charter,1
volcano,3
deceit,1
grass,4
moment,1
ignition,3
thief,2
holiday,2
peace,1
introduction,1
fat,4
economy,1
roof,3
palace,3
scene,2
hurricane,3
camera,3
regret,1
boat,4
identification,1
preparation,2
starch,4
definition,1
evidence,1
distance,1
tennis,3
benefactor,1
nation,1
grandmother,2
resort,3
occupation,1
immortality,1
bridge,3
burner,4
claim,1
friendship,1
announcement,1
payment,1
form,2
mankind,1
soul,1
butterfly,4
boredom,1
youth,2
pillow,5
memory,1
weight,3
injury,2
legality,1
owner,1
uncle,2
member,1
hatred,1
category,1
shock,2
amplitude,2
march,2
frog,4
skill,1
uniform,4
design,2
anger,2
information,1
speech,2
tune,2
boundary,2
silence,2
girl,2
calendar,2
margin,2
temple,3
envy,1
snake,4
jerk,2
clothing,5
shape,3
wallet,5
ballot,2
fog,4
talent,1
underworld,2
originality,1
sneeze,3
peacemaker,1
dilemma,1
convergence,1
heresy,1
retention,1
impossibility,1
route,2
chlorine,4
damage,2
lizard,4
ball,5
drug,2
explanation,1
dove,3
context,1
church,3
trust,1
vision,1
sugar,6
pile,3
law,1
salad,6
skunk,4
danger,2
manner,1
laundry,4
character,1
accumulation,2
identity,1
misery,1
pimple,4
tallness,2
requirement,1
jewel,5
arrow,4
