word,rating
line,2
skill,1
nose,6
knowledge,1
information,1
rainbow,2
ownership,1
faith,1
affection,2
zoo,2
correspondent,1
rebel,1
moonlight,2
photo,1
opportunity,1
anger,2
coupon,1
adventurer,1
fabric,1
itch,2
character,1
cat,3
crisis,1
danger,1
sneeze,4
identification,1
writing,1
behavior,1
tendency,1
burner,3
baby,2
variety,2
mansion,1
uncle,1
macaroni,6
prediction,1
mud,4
engagement,1
square,1
odor,7
window,1
route,1
tide,2
location,1
resort,2
destiny,1
preference,2
helmet,1
occasion,1
outcome,1
unity,1
deduction,1
fate,1
safety,1
cottage,2
irony,1
fear,1
horse,2
onion,7
peace,1
cake,6
opinion,1
bandit,1
imagination,1
tradition,1
belief,1
method,1
menu,5
measure,1
importance,1
propeller,1
park,2
development,1
escape,1
kitten,2
volcano,2
consistency,1
diamond,1
promotion,1
pillow,2
confidence,1
literature,1
incentive,1
ally,1
donor,1
magic,1
arrangement,1
boulder,1
produce,4
independence,1
autumn,2
honesty,1
island,2
love,2
poll,1
entrance,1
pest,2
shortness,1
suspect,1
example,1
cowardice,1
alley,1
opera,2
thief,1
factory,1
charter,1
lobster,6
peacemaker,1
combination,1
liar,1
degree,1
size,1
duck,3
fisherman,2
heresy,1
significance,1
vocabulary,1
guess,1
murder,1
bridge,1
boy,1
microscope,1
lisp,1
university,1
lily,3
fight,1
opposition,1
ditch,1
preparation,2
chicken,5
sow,2
salad,5
betrayal,1
mercy,1
street,1
dimension,1
calendar,1
income,1
fog,3
originality,1
curfew,1
weather,1
music,1
willingness,1
rent,1
bed,2
underworld,1
wish,1
starch,3
wallet,1
volume,1
grief,1
elephant,2
explanation,1
miracle,1
idiom,1
episode,1
announcement,1
past,1
station,1
riot,1
soul,1
effect,1
selection,1
bullet,1
stick,2
proportion,1
property,1
memory,1
contract,1
intention,1
lens,1
assumption,1
recognition,1
youth,1
silence,1
cloth,1
performance,1
recital,1
master,1
salary,1
ankle,1
mother,1
foundation,1
story,1
cucumber,5
availability,1
nurse,1
metaphor,1
grass,3
brother,1
handkerchief,1
comprehension,1
banana,6
television,1
snow,2
amount,1
suit,1
neck,1
clearance,1
standard,1
legality,1
convergence,1
art,1
trumpet,1
diet,3
institute,1
appeal,1
costume,1
prop,1
proof,1
oven,4
candy,6
contempt,1
ceremony,1
eyeball,2
dentist,2
suggestion,1
beauty,1
waste,1
chocolate,7
shirt,1
cause,1
integrity,1
hog,3
nation,1
lamb,4
conscience,1
chlorine,5
extent,1
drama,1
anxiety,1
design,1
record,1
cranberry,6
money,1
mustard,7
calculation,1
protection,1
leadership,1
adversity,1
skin,2
snake,2
mold,4
effort,1
increase,1
subtraction,1
duration,1
description,1
member,1
dynasty,1
revenge,1
production,1
skull,1
mile,1
necessity,1
ambition,1
branch,2
child,1
enemy,1
identity,1
potato,5
professor,1
mosquito,2
doctor,1
artist,1
girl,1
crocodile,2
job,1
debt,1
missile,1
palace,1
tension,1
food,6
issue,1
church,1
assistance,1
supply,1
mankind,1
stranger,1
composer,1
idea,1
appointment,1
decision,1
drum,1
chance,1
hierarchy,1
manner,1
spirit,2
bolt,1
hatred,1
show,1
conclusion,1
pig,3
lion,2
retention,1
interaction,1
tax,1
midnight,1
bracelet,1
specialist,1
risk,1
physics,1
roof,1
frog,3
grandmother,1
body,1
circuit,1
dad,1
bet,1
camera,1
impairment,1
site,1
animal,2
equality,1
poetry,1
boredom,1
response,1
coffee,6
want,1
nerve,1
corn,5
play,1
trust,1
orchestra,1
wisdom,1
inch,1
duty,1
industry,1
limitation,1
hurt,1
capacity,1
car,1
ocean,2
injury,1
radio,1
misery,1
butter,5
chipmunk,2
reflex,1
incident,1
father,1
hospital,1
unit,1
origin,1
translation,1
envy,1
mystery,1
entree,5
reality,1
principle,1
holiday,2
logic,1
arrow,1
sedative,2
kite,1
guide,1
arc,1
boundary,1
forest,2
uniform,1
blood,2
paradigm,1
alligator,2
clothing,1
message,1
mileage,1
rule,1
insight,1
medicine,3
dove,2
aspect,1
hope,1
moral,1
acquisition,1
hat,1
object,1
sadness,1
sofa,1
quality,1
leader,1
tragedy,1
corporation,1
disaster,1
state,1
second,1
rhyme,1
uncertainty,1
time,1
brute,1
gender,1
assault,1
door,1
requirement,1
beverage,4
majority,1
circumstance,1
policeman,1
beetle,2
accumulation,1
bell,1
stride,1
lizard,2
addition,1
fallacy,1
summer,2
city,1
group,1
bubble,2
exception,1
puddle,2
lock,1
presence,1
jacket,1
