word,rating
candidate,5
irrigation,2
democracy,6
snow,2
announcement,4
neighborhood,2
music,3
crown,2
identity,6
midnight,2
hurt,3
adventurer,3
comparison,6
arrow,2
method,6
segment,4
disappointment,4
specialist,4
majority,5
lily,1
rainbow,2
iron,2
relief,3
bolt,2
riot,3
stride,2
hope,4
shortness,4
ally,3
economy,5
ditch,1
stimulus,5
justification,7
pie,1
clearance,4
sight,3
ambulance,2
blood,2
pile,1
limitation,5
abundance,3
outcome,5
regulation,6
cake,1
macaroni,1
twig,1
cognition,7
beast,2
grammar,6
duty,5
standard,5
talent,4
roof,1
lens,4
student,3
worry,4
instinct,5
guess,5
second,3
nation,4
uniform,3
cranberry,1
route,2
ignition,2
occupation,4
separation,4
linen,1
view,5
speech,5
obstruction,3
soul,5
grandmother,2
dove,2
sofa,1
regret,4
suit,2
frustration,4
disaster,3
skin,1
football,2
appeal,4
integrity,6
adversity,4
memory,5
skull,1
station,2
fate,4
consequence,5
attempt,4
raspberry,1
university,3
cloth,1
cup,1
context,6
poetry,5
candy,1
mileage,2
liar,4
trust,5
oven,1
key,4
traveler,2
mustard,1
admiration,4
sadness,4
accumulation,3
conscience,6
rabbit,1
fireplace,1
bridge,2
measure,5
costume,2
intention,6
menu,2
deduction,7
window,1
loafer,1
butter,1
convergence,5
fight,3
winter,2
verse,5
advice,6
form,4
immortality,5
engagement,4
mind,7
trumpet,2
margin,3
puddle,1
amplitude,4
orchid,1
scene,3
reflex,4
interior,2
empire,3
insight,7
aspect,5
denial,5
grasshopper,1
stapler,1
tallness,3
cause,5
article,4
opposition,5
introduction,4
retention,5
pretense,5
capacity,5
pigeon,1
silence,3
boy,2
mastery,5
definition,6
grief,4
replacement,4
quality,5
skill,4
affection,4
thorn,2
reality,5
banana,1
leader,4
danger,3
self,6
edge,2
lunch,1
laughter,3
myth,5
pawn,2
reputation,5
dozen,2
dagger,2
donor,3
duel,3
arc,2
temple,2
shame,4
victim,3
deceit,5
dad,2
paradigm,6
proof,6
charity,4
vocabulary,6
brother,2
pillow,1
propeller,2
significance,6
rule,5
friendship,4
weight,2
suspect,4
marriage,3
episode,3
determination,5
photo,2
landscape,2
shape,3
rhyme,5
situation,4
love,4
synagogue,2
moral,6
object,3
opinion,7
miracle,4
beaver,1
march,2
fat,2
income,3
requirement,5
sanctuary,3
lobster,1
palace,2
bank,2
pig,1
moonlight,2
coffee,1
core,4
competence,5
wood,1
