word,rating
coffin,1
month,7
leader,2
duty,3
incident,4
pill,1
pawn,2
mosquito,1
orchid,1
parish,1
lettuce,1
wallet,1
example,2
payment,3
separation,3
ocean,1
perception,2
key,2
contempt,1
road,2
bell,2
competence,2
hog,1
principle,2
philosophy,2
regret,2
moonlight,2
butter,1
accident,3
bandit,1
guilt,1
specimen,1
flask,1
subtraction,3
zoo,1
nerve,1
adventurer,2
fantasy,2
object,1
contract,4
art,1
personality,1
grandmother,1
behavior,2
helmet,1
midnight,7
helplessness,1
fountain,1
loan,3
permission,2
worry,1
mountain,1
calculation,3
laughter,1
play,3
inn,1
costume,1
heart,1
theory,2
visitor,2
idea,2
announcement,2
income,2
arrow,2
irrigation,2
abundance,1
wage,3
uncertainty,2
horse,1
cat,1
guide,2
distribution,2
drum,1
fate,4
tongue,1
moment,7
opportunity,3
itch,1
difference,2
cause,2
leopard,1
infection,1
territory,1
dimension,2
fog,1
fireplace,1
time,7
teacher,2
occasion,6
occupation,2
core,1
silence,1
vocabulary,2
ankle,1
riot,1
skull,1
bed,1
variety,2
file,2
consideration,2
rainbow,1
measure,3
sugar,1
envy,1
baby,1
linen,1
enemy,1
three,3
mile,3
opinion,2
food,1
impairment,1
beauty,1
performance,3
ambulance,1
punishment,3
starch,1
salary,3
selection,2
significance,2
corpse,1
metaphor,2
cup,1
job,2
response,2
description,2
tradition,5
rule,2
hurricane,1
assumption,2
economy,2
degree,3
appeal,2
lion,1
skunk,1
stranger,1
march,6
proof,2
member,1
eagle,1
suit,1
shape,1
disaster,2
clothing,1
uncle,1
produce,1
unit,3
importance,2
accomplishment,3
empty,1
awareness,2
capacity,2
neck,1
standard,2
ambition,2
propeller,1
cake,1
evidence,2
tennis,1
physics,2
honesty,1
odor,1
landscape,1
lamp,1
circuit,2
injury,1
gorilla,1
master,2
university,1
pigeon,1
hospital,1
shirt,1
bank,1
camera,1
sanctuary,1
pest,1
comparison,2
kindness,1
category,2
recognition,2
obstruction,1
rocket,1
ball,1
circumstance,2
mold,1
writing,2
banana,1
idiom,2
marriage,3
cloth,1
pile,1
comprehension,2
branch,1
edge,2
incentive,2
expression,2
combination,2
jewel,1
rabbit,1
origin,3
requirement,2
mankind,1
microscope,1
view,2
professor,1
typewriter,1
ceiling,1
purpose,2
ditch,1
wave,2
policeman,1
season,7
guess,2
summer,7
margin,2
complication,2
establishment,2
betrayal,2
towel,1
math,2
hat,1
fabric,1
name,1
refrigerator,1
segment,3
conference,2
tendency,2
specialist,1
drama,2
boulder,1
property,1
division,3
site,1
fallacy,2
meeting,3
coupon,2
television,1
mastery,2
identification,2
promotion,2
moral,1
correspondent,1
individual,1
brawl,1
soul,1
retention,3
dagger,1
instance,4
impossibility,1
lightning,1
pig,1
quality,1
corn,1
bullet,1
truth,1
state,2
assault,1
entrance,2
amount,2
friendship,1
macaroni,1
topic,2
border,2
clearance,2
determination,2
route,2
puddle,1
thing,1
arc,2
sky,1
tree,1
student,1
tip,2
presence,2
self,1
autumn,7
love,1
peace,1
episode,5
conscience,1
sight,1
length,3
caterpillar,1
tool,1
body,1
latch,1
cow,1
spirit,1
roof,1
charter,2
reputation,2
lesson,3
fisherman,1
tallness,2
dozen,3
boredom,1
salad,1
magic,2
acre,1
palace,1
ring,2
stride,2
money,1
butterfly,1
equality,1
anger,1
pretense,1
justice,1
unity,1
engagement,3
industry,1
sister,1
calendar,7
attempt,2
mystery,2
criticism,1
phenomenon,2
