word,rating
coffin,6
month,2
leader,2
duty,1
incident,2
pill,5
pawn,4
mosquito,5
orchid,6
parish,2
lettuce,6
wallet,5
example,2
payment,1
separation,2
ocean,6
perception,2
key,5
contempt,1
road,6
bell,5
competence,1
hog,5
principle,1
philosophy,1
regret,2
moonlight,6
butter,6
accident,3
bandit,3
guilt,1
specimen,4
flask,5
subtraction,1
zoo,4
nerve,2
adventurer,3
fantasy,4
object,3
contract,1
art,4
personality,1
grandmother,3
behavior,1
helmet,5
midnight,3
helplessness,1
fountain,6
loan,1
permission,1
worry,1
mountain,6
calculation,1
laughter,2
play,2
inn,4
costume,5
heart,4
theory,1
visitor,2
idea,1
announcement,1
income,1
arrow,5
irrigation,4
abundance,2
wage,1
uncertainty,1
horse,6
cat,6
guide,2
distribution,2
drum,5
fate,2
tongue,5
moment,2
opportunity,1
itch,2
difference,1
cause,1
leopard,6
infection,2
territory,3
dimension,2
fog,6
fireplace,6
time,1
teacher,2
occasion,2
occupation,2
core,3
silence,2
vocabulary,1
ankle,5
riot,3
skull,6
bed,5
variety,2
file,4
consideration,1
rainbow,7
measure,2
sugar,5
envy,1
baby,3
linen,5
enemy,2
three,1
mile,2
opinion,1
food,5
impairment,2
beauty,4
performance,2
ambulance,4
punishment,2
starch,3
salary,1
selection,1
significance,1
corpse,5
metaphor,1
cup,5
job,2
response,1
description,1
tradition,2
rule,1
hurricane,6
assumption,1
economy,1
degree,1
appeal,1
lion,6
skunk,6
stranger,2
march,3
proof,1
member,2
eagle,6
suit,5
shape,6
disaster,3
clothing,4
uncle,2
produce,4
unit,1
importance,1
accomplishment,2
empty,2
awareness,1
capacity,1
neck,4
standard,1
ambition,1
propeller,5
cake,6
evidence,1
tennis,4
physics,2
honesty,1
odor,2
landscape,6
lamp,5
circuit,3
injury,3
gorilla,6
master,2
university,3
pigeon,6
hospital,4
shirt,5
bank,4
camera,5
sanctuary,4
pest,4
comparison,1
kindness,1
category,1
recognition,2
obstruction,3
rocket,5
ball,6
circumstance,1
mold,5
writing,3
banana,6
idiom,1
marriage,2
cloth,5
pile,4
comprehension,1
branch,6
edge,4
incentive,1
expression,2
combination,2
jewel,6
rabbit,6
origin,1
requirement,1
mankind,2
microscope,5
view,3
professor,3
typewriter,5
ceiling,5
purpose,1
ditch,5
wave,6
policeman,3
season,3
guess,1
summer,3
margin,3
complication,1
establishment,2
betrayal,2
towel,5
math,1
hat,5
fabric,5
name,1
refrigerator,5
segment,2
conference,2
tendency,1
specialist,2
drama,3
boulder,6
property,2
division,1
site,3
fallacy,1
meeting,2
coupon,3
television,5
mastery,1
identification,2
promotion,2
moral,1
correspondent,2
individual,1
brawl,3
soul,2
retention,1
dagger,5
instance,1
impossibility,1
lightning,6
pig,6
quality,1
corn,6
bullet,5
truth,1
state,2
assault,3
entrance,3
amount,1
friendship,2
macaroni,6
topic,1
border,4
clearance,2
determination,1
route,3
puddle,6
thing,1
arc,4
sky,7
tree,7
student,2
tip,3
presence,2
self,1
autumn,4
love,2
peace,2
episode,2
conscience,1
sight,3
length,2
caterpillar,6
tool,4
body,4
latch,5
cow,6
spirit,2
roof,5
charter,1
reputation,1
lesson,2
fisherman,4
tallness,2
dozen,1
boredom,1
salad,6
magic,3
acre,3
palace,6
ring,5
stride,3
money,3
butterfly,7
equality,1
anger,2
pretense,1
justice,1
unity,1
engagement,2
industry,2
sister,2
calendar,3
attempt,1
mystery,2
criticism,1
phenomenon,2
beast,4
river,6
alley,5
chance,1
atrocity,2
laundry,3
uniform,4
translation,1
entree,4
riddle,2
father,2
outfit,4
blood,4
danger,2
fifteen,1
beverage,4
heap,4
liar,2
mind,1
pond,6
shortness,2
tune,2
boundary,3
thorn,5
mileage,2
vapor,5
toilet,5
sneeze,3
synagogue,5
rhyme,1
gesture,3
island,6
leadership,1
disgust,2
democracy,1
shrimp,6
woman,3
sword,5
majority,1
shock,2
ability,1
lane,4
responsibility,1
alligator,6
supply,2
child,2
crown,6
anxiety,1
intelligence,1
kitten,6
holiday,3
waste,3
mud,5
factory,4
opposition,1
winter,4
grammar,1
peacemaker,2
hatred,1
reduction,1
stupidity,1
belief,1
missile,5
instructor,2
assistance,1
jacket,5
park,5
genuine,1
law,1
republic,1
denial,1
puppy,6
story,2
consistency,1
acquisition,2
stapler,5
event,2
duel,3
claim,1
reality,1
hierarchy,1
victim,2
mustard,5
ceremony,3
character,1
skin,4
poll,2
nation,2
drug,3
spider,6
lily,6
bet,2
owner,2
manner,1
amplitude,2
cowardice,1
nose,5
darkness,4
ignition,3
inch,2
scholar,2
fat,2
empire,2
brother,2
beetle,6
reason,1
charity,1
bolt,5
definition,1
crime,2
flavor,3
pie,6
speech,2
lamb,6
miracle,2
decision,1
line,4
bird,6
opera,4
grief,2
bridge,6
despair,2
handkerchief,5
lobster,6
mother,2
limitation,1
traveler,2
underworld,3
disappointment,1
iron,4
fact,1
development,1
photograph,5
artist,3
explanation,1
freedom,2
preparation,2
raspberry,6
gender,1
want,1
lisp,2
loafer,5
intention,1
twig,6
photo,5
effort,1
tomato,6
record,3
bubble,6
future,2
instinct,2
necklace,5
hope,2
attitude,1
pimple,4
possibility,1
lock,5
music,3
window,5
sow,5
ignorance,1
regulation,1
knowledge,1
shame,1
apple,6
car,5
shark,6
lemon,6
steam,5
number,1
hotel,4
proportion,2
duration,1
diversity,2
safety,2
benefactor,2
band,3
dynasty,2
show,3
football,4
germ,4
reflex,2
brevity,1
heresy,1
weather,4
coffee,5
result,1
lens,4
atom,3
skill,1
method,1
desk,5
cottage,5
rebel,2
apology,1
witness,2
verse,2
boat,6
myth,2
wisdom,1
smell,2
jerk,2
eight,1
cranberry,6
medicine,3
diamond,6
corporation,2
emergence,2
church,5
disagreement,1
pool,6
snake,6
conclusion,1
robin,6
interruption,2
volume,2
introduction,1
dove,6
risk,2
affection,2
alphabet,2
construction,3
irony,1
duck,6
cliff,6
resort,4
hazard,2
murder,2
neighborhood,3
foundation,2
frog,6
recital,2
design,3
onion,6
beaver,6
newspaper,3
fight,3
independence,1
diet,3
protection,2
elephant,6
cognition,1
convergence,2
insight,1
error,1
deputy,2
volt,3
chipmunk,6
effect,2
context,1
stick,5
interior,3
burner,4
bag,4
opponent,2
tragedy,2
production,2
revenge,2
sedative,3
thief,2
potato,6
memory,2
animal,4
damage,2
boy,2
truck,5
reinforcement,2
literature,2
wish,1
material,3
donor,2
eyeball,5
originality,1
robbery,2
bottle,5
lunch,4
cucumber,6
queen,5
necessity,1
extent,2
group,2
immortality,1
street,5
distance,2
temperature,2
snow,6
doctor,2
chief,2
real,1
knife,5
electricity,3
size,2
appointment,2
interaction,1
aspect,2
trust,1
sandal,5
identity,1
logic,1
coincidence,1
attention,1
stimulus,2
malice,1
past,2
bedroom,5
talent,2
distraction,2
peach,6
addition,1
door,5
station,4
ally,2
scene,3
hurt,2
relief,2
saloon,5
water,6
consequence,1
frustration,1
ownership,1
grass,6
value,1
availability,1
temple,5
lip,5
message,2
confidence,1
paragraph,2
christmas,4
suggestion,1
dad,2
crisis,2
location,3
girl,2
chicken,6
hobby,2
dentist,3
preference,1
oven,5
prediction,1
second,1
brute,2
forest,6
wood,5
misery,1
radio,4
volcano,6
candidate,2
item,2
arrangement,2
escape,2
lizard,6
magnitude,2
wolf,6
satisfaction,1
thought,1
kite,5
imagination,2
paradigm,1
form,4
outcome,1
square,6
chair,5
ballot,2
orchestra,4
composer,2
menu,3
clean,2
