word,rating
admiration,2
robbery,3
peach,2
property,1
liar,2
figure,1
pie,1
lily,2
marriage,3
banana,2
tongue,3
steam,4
form,1
visitor,2
impossibility,1
situation,1
interaction,3
hog,3
vapor,2
acquisition,1
brawl,5
establishment,1
instructor,3
bird,6
opera,7
logic,1
fate,1
grammar,2
laughter,7
ignition,5
location,1
magnitude,1
soul,3
empty,2
rabbit,2
stimulus,2
rule,1
advice,3
queen,2
girl,2
decision,1
safety,2
hatred,2
confidence,2
boy,2
rent,1
crisis,3
extent,1
orchid,2
stranger,2
lock,4
betrayal,2
photo,3
macaroni,2
majority,1
electricity,4
fat,1
inn,1
road,2
capacity,1
view,2
personality,2
dove,4
brute,2
ambulance,6
pig,4
boundary,1
idea,1
baby,5
weather,4
vocabulary,2
flavor,2
toilet,4
show,4
murder,3
teacher,4
genuine,1
rainbow,2
foundation,1
fifteen,1
pond,3
acre,1
intention,1
skull,2
assistance,2
adversity,1
evidence,2
bag,3
square,1
menu,1
individual,1
punishment,3
reality,1
production,2
witness,3
dimension,1
advantage,1
hierarchy,1
crocodile,3
volume,5
degree,1
damage,3
rhyme,7
idiom,3
bottle,3
fisherman,2
mustard,1
behavior,2
body,2
faith,2
winter,3
purpose,1
determination,1
cloth,2
meeting,3
dagger,3
frustration,3
fog,2
philosophy,2
standard,1
eyeball,1
annoyance,3
democracy,2
cranberry,2
sword,3
loan,1
chicken,4
tide,4
law,2
cup,3
sofa,1
originality,1
weight,2
roof,2
candidate,2
job,1
subtraction,1
robin,5
necklace,3
ballot,2
memory,2
station,3
chair,2
refrigerator,4
result,1
thief,2
pimple,1
skunk,2
reputation,1
accident,5
method,1
parish,2
eight,1
justification,1
animal,4
sole,1
play,4
tendency,1
chipmunk,3
shirt,2
reinforcement,1
corporation,1
pawn,2
volt,3
money,3
cognition,1
talent,2
alligator,3
republic,1
orchestra,7
dad,3
door,4
beverage,2
suit,1
grief,3
misery,2
margin,1
response,2
site,1
ball,3
car,4
mile,1
season,2
disagreement,3
ability,1
tradition,2
speech,6
recital,7
requirement,1
theory,1
opinion,3
sadness,3
security,2
month,1
lake,3
band,6
stick,3
retention,1
revenge,2
atom,1
permission,2
frog,5
sneeze,6
ownership,1
trust,1
reduction,1
cow,5
character,2
accomplishment,1
policeman,3
increase,1
sandal,2
independence,1
window,3
wood,3
duel,4
christmas,5
bridge,2
deduction,1
territory,1
comprehension,1
equality,1
irrigation,3
bolt,4
moment,1
beast,3
bell,7
division,1
information,2
palace,2
crime,3
chlorine,2
river,5
paradigm,1
separation,1
state,1
cake,2
potato,1
lemon,2
mercy,2
suggestion,2
writing,3
bedroom,2
literature,2
heap,2
city,4
duration,1
fight,5
time,3
gun,6
smell,2
appeal,2
clean,2
perception,1
diet,1
stupidity,1
envy,1
owner,1
sky,2
ceremony,3
sow,2
helplessness,2
article,1
necessity,1
key,4
length,1
drug,1
belief,1
lamp,2
gorilla,4
onion,2
intelligence,1
bubble,4
effort,1
produce,2
rocket,5
lunch,2
topic,1
uncertainty,1
twig,4
puppy,5
ring,6
germ,1
file,2
conscience,1
economy,1
past,1
street,3
lettuce,2
translation,2
spirit,2
regret,2
story,3
mattress,2
preparation,1
traveler,2
gesture,2
comparison,1
newspaper,3
mileage,1
object,2
mosquito,5
heart,5
identity,1
nerve,1
consistency,1
sight,2
candy,2
radio,7
stride,3
protection,1
fallacy,1
linen,2
instinct,1
expression,3
raspberry,3
pretense,1
victim,2
father,3
opponent,2
beaver,3
lamb,3
arrangement,2
desk,2
ally,1
danger,3
message,3
preference,1
appointment,2
camera,3
music,7
brevity,1
destiny,2
propeller,5
anxiety,2
wolf,5
microscope,1
lobster,2
significance,1
improvement,1
occasion,2
freedom,2
kitten,4
shrimp,1
water,5
contempt,2
convergence,1
uniform,1
unity,1
hotel,2
peacemaker,2
wish,2
grandmother,3
possibility,1
episode,2
duty,1
horse,4
wave,5
metaphor,2
institute,1
contract,2
photograph,3
deputy,2
eagle,4
boulder,3
hurt,3
description,2
hurricane,6
reflex,2
flask,2
thorn,2
elephant,4
skin,2
doctor,3
specimen,1
professor,3
selection,1
bracelet,3
member,1
size,1
verse,5
core,1
friendship,2
honesty,2
proportion,1
correspondent,3
dozen,1
truck,5
fireplace,4
bank,2
autumn,3
iron,3
guilt,2
self,1
mansion,2
salad,2
nation,2
coupon,1
distribution,1
principle,1
mud,3
coffee,3
scholar,2
boredom,2
amount,1
cocktail,3
knife,4
injury,2
attitude,2
jewel,2
miracle,2
riddle,3
scene,3
puddle,3
mastery,1
skill,1
odor,2
truth,2
edge,2
woman,2
bullet,5
conclusion,1
name,2
abundance,1
entree,1
food,2
ambition,1
charity,2
sugar,2
fantasy,2
integrity,1
diversity,1
stapler,4
magic,3
announcement,5
wisdom,2
calculation,2
butter,2
ditch,2
coincidence,1
prop,2
tragedy,3
latch,4
artist,3
charter,1
diamond,2
drum,7
origin,1
material,2
crown,2
mold,2
mother,3
lizard,2
alphabet,3
apology,3
hat,1
cat,4
paragraph,1
instance,1
border,1
neighborhood,3
outfit,1
tallness,1
fact,1
introduction,3
anger,4
beetle,3
wallet,2
opposition,2
claim,2
complication,1
empire,2
pill,2
second,2
costume,1
relief,2
effect,2
poetry,5
construction,5
measure,2
competence,1
infection,1
emergence,1
handkerchief,2
hazard,3
hospital,3
duck,5
silence,5
darkness,2
master,2
cliff,2
corn,2
resort,2
error,2
grasshopper,4
lip,2
variety,1
incident,2
incentive,1
brain,1
number,2
summer,3
tool,3
supply,1
risk,1
consideration,1
disgust,2
branch,3
blood,2
tension,2
chocolate,2
corpse,2
unit,1
exception,1
guess,2
brother,2
moral,1
circumstance,1
quality,1
accumulation,1
lane,1
nose,3
assumption,1
snake,4
peace,3
ocean,6
blade,3
university,3
psalm,6
moonlight,3
route,1
interruption,4
thing,1
cucumber,1
pest,3
clothing,2
ceiling,1
future,1
shame,2
leopard,3
outcome,1
oven,3
three,1
satisfaction,2
kindness,2
laundry,3
neck,1
value,1
student,2
coffin,2
love,3
design,1
physics,1
group,2
shock,4
clearance,2
factory,4
tennis,4
lisp,5
midnight,3
cause,1
income,1
pyramid,1
volcano,5
tree,3
waste,2
medicine,1
chance,1
conference,3
entrance,2
combination,1
loafer,2
exclusion,1
television,5
jerk,3
example,1
attention,2
promotion,1
itch,3
definition,1
criticism,3
manner,1
caterpillar,2
recognition,1
insight,1
shape,1
obstruction,2
pigeon,4
willingness,1
park,3
curfew,3
boat,3
availability,1
line,1
ignorance,1
landscape,2
butterfly,3
saloon,3
snow,3
myth,2
alley,2
child,4
legality,1
kite,3
sedative,1
occupation,1
tip,2
bet,1
burner,3
missile,5
replacement,1
sister,2
awareness,1
temperature,1
chief,2
poll,1
record,5
industry,3
bandit,2
lesson,3
lightning,5
affection,2
malice,2
cottage,2
grass,3
drama,4
jacket,2
guide,2
deceit,1
item,1
phenomenon,1
despair,3
opportunity,1
distraction,3
uncle,2
typewriter,6
dentist,4
distance,1
context,1
enemy,2
squeak,7
calendar,1
explanation,2
immortality,1
irony,1
assault,4
real,1
zoo,5
pillow,2
presence,2
heresy,2
interior,1
want,2
mystery,2
apple,2
ankle,2
beauty,2
reason,1
holiday,3
underworld,2
disaster,4
adventurer,2
forest,4
regulation,1
specialist,1
shark,3
composer,6
consequence,1
church,5
vision,2
amplitude,4
justice,2
engagement,2
synagogue,4
performance,5
trumpet,7
riot,6
worry,2
sanctuary,2
math,1
imagination,2
mountain,3
issue,1
knowledge,1
fountain,5
circuit,3
mankind,2
debt,1
limitation,1
pile,1
tax,1
inch,1
lion,5
helmet,2
denial,2
scent,2
identification,1
impairment,1
cowardice,1
atrocity,2
starch,1
temple,3
island,3
spider,2
rebel,3
salary,1
march,5
dynasty,2
importance,1
prediction,2
lens,1
hope,2
leadership,2
difference,1
leader,2
tune,7
disappointment,2
proof,1
segment,1
development,1
towel,2
fear,3
tomato,1
category,1
football,5
event,3
pool,3
payment,1
dilemma,1
attempt,1
benefactor,1
suspect,2
hobby,1
art,2
thought,2
youth,2
addition,1
bed,2
gender,1
mind,2
arrow,3
donor,1
shortness,1
escape,3
arc,1
spelling,3
wage,1
responsibility,1
nurse,2
fabric,2
aspect,1
