word,rating
line,2
skill,1
nose,2
knowledge,1
information,1
rainbow,7
ownership,1
faith,2
affection,3
zoo,3
correspondent,1
rebel,3
moonlight,5
photo,4
opportunity,2
anger,5
coupon,2
adventurer,2
fabric,6
itch,2
character,2
cat,4
crisis,2
danger,5
sneeze,1
identification,1
writing,2
behavior,1
tendency,1
burner,3
baby,3
variety,3
mansion,3
uncle,1
macaroni,4
prediction,1
mud,5
engagement,2
square,3
odor,1
window,2
route,2
tide,4
location,1
resort,3
destiny,1
preference,1
helmet,3
occasion,2
outcome,1
unity,2
deduction,1
fate,1
safety,3
cottage,3
irony,1
fear,3
horse,4
onion,4
peace,3
cake,5
opinion,1
bandit,3
imagination,4
tradition,2
belief,1
method,1
menu,3
measure,1
importance,1
propeller,2
park,4
development,1
escape,2
kitten,4
volcano,5
consistency,1
diamond,5
promotion,2
pillow,3
confidence,2
literature,2
incentive,1
ally,1
donor,2
magic,4
arrangement,2
boulder,3
produce,4
independence,2
autumn,7
honesty,1
island,4
love,4
poll,1
entrance,2
pest,2
shortness,1
suspect,2
example,1
cowardice,2
alley,2
opera,4
thief,2
factory,2
charter,1
lobster,5
peacemaker,2
combination,2
liar,2
degree,1
size,1
duck,4
fisherman,3
heresy,2
significance,1
vocabulary,1
guess,1
murder,3
bridge,3
boy,2
microscope,2
lisp,1
university,2
lily,6
fight,2
opposition,1
ditch,3
preparation,1
chicken,4
sow,3
salad,5
betrayal,2
mercy,1
street,3
dimension,2
calendar,4
income,2
fog,4
originality,2
curfew,1
weather,4
music,3
willingness,1
rent,1
bed,3
underworld,3
wish,2
starch,2
wallet,3
volume,1
grief,3
elephant,4
explanation,1
miracle,2
idiom,1
episode,1
announcement,1
past,2
station,2
riot,3
soul,3
effect,1
selection,2
bullet,3
stick,3
proportion,1
property,1
memory,2
contract,1
intention,1
lens,3
assumption,1
recognition,1
youth,2
silence,2
cloth,5
performance,2
recital,2
master,2
salary,2
ankle,2
mother,2
foundation,2
story,2
cucumber,5
availability,1
nurse,3
metaphor,2
grass,6
brother,1
handkerchief,4
comprehension,1
banana,6
television,3
snow,6
amount,1
suit,4
neck,2
clearance,2
standard,1
legality,1
convergence,1
art,6
trumpet,4
diet,1
institute,1
appeal,1
costume,6
prop,2
proof,1
oven,2
candy,6
contempt,2
ceremony,3
eyeball,4
dentist,2
suggestion,1
beauty,3
waste,2
chocolate,6
shirt,5
cause,1
integrity,1
hog,3
nation,2
lamb,3
conscience,1
chlorine,4
extent,1
drama,2
anxiety,2
design,4
record,1
cranberry,6
money,4
mustard,6
calculation,1
protection,1
leadership,1
adversity,1
skin,5
snake,4
mold,4
effort,1
increase,1
subtraction,1
duration,1
description,1
member,1
dynasty,2
revenge,2
production,1
skull,3
mile,1
necessity,1
ambition,2
branch,4
child,2
enemy,2
identity,2
potato,4
professor,2
mosquito,2
doctor,3
artist,5
girl,2
crocodile,4
job,1
debt,2
missile,3
palace,4
tension,2
food,4
issue,1
church,3
assistance,1
supply,1
mankind,2
stranger,2
composer,2
idea,2
appointment,1
decision,1
drum,3
chance,1
hierarchy,2
manner,1
spirit,3
bolt,3
hatred,3
show,3
conclusion,1
pig,4
lion,5
retention,1
interaction,1
tax,1
midnight,4
bracelet,5
specialist,1
risk,2
physics,1
roof,3
frog,5
grandmother,2
body,3
circuit,3
dad,1
bet,1
camera,3
impairment,1
site,1
animal,3
equality,2
poetry,3
boredom,2
response,1
coffee,5
want,1
nerve,2
corn,5
play,2
trust,1
orchestra,3
wisdom,2
inch,1
duty,1
industry,2
limitation,1
hurt,3
capacity,1
car,4
ocean,6
injury,3
radio,2
misery,2
butter,5
chipmunk,4
reflex,1
incident,1
father,1
hospital,3
unit,1
origin,1
translation,1
envy,4
mystery,3
entree,3
reality,2
principle,1
holiday,4
logic,1
arrow,3
sedative,2
kite,5
guide,1
arc,2
boundary,2
forest,5
uniform,4
blood,6
paradigm,1
alligator,4
clothing,5
message,1
mileage,1
rule,1
insight,1
medicine,3
dove,4
aspect,1
hope,2
moral,1
acquisition,1
hat,4
object,2
sadness,3
sofa,4
quality,1
leader,1
tragedy,2
corporation,1
disaster,2
state,1
second,1
rhyme,1
uncertainty,1
time,1
brute,2
gender,2
assault,2
door,3
requirement,1
beverage,3
majority,1
circumstance,1
policeman,3
beetle,4
accumulation,1
bell,3
stride,1
lizard,5
addition,1
fallacy,1
summer,5
city,3
group,1
bubble,4
exception,1
puddle,3
lock,2
presence,1
jacket,4
