word,rating
candidate,3
irrigation,1
democracy,3
snow,3
announcement,3
neighborhood,3
music,6
crown,3
identity,5
midnight,3
hurt,7
adventurer,4
comparison,3
arrow,2
method,1
segment,1
disappointment,7
specialist,2
majority,2
lily,3
rainbow,5
iron,1
relief,7
bolt,2
riot,5
stride,3
hope,7
shortness,2
ally,4
economy,2
ditch,2
stimulus,3
justification,4
pie,3
clearance,2
sight,4
ambulance,4
blood,4
pile,1
limitation,3
abundance,4
outcome,3
regulation,2
cake,3
macaroni,2
twig,1
cognition,3
beast,3
grammar,1
duty,4
standard,2
talent,4
roof,1
lens,1
student,3
worry,7
instinct,5
guess,3
second,2
nation,3
uniform,2
cranberry,1
route,1
ignition,1
occupation,2
separation,6
linen,1
view,3
speech,4
obstruction,2
soul,6
grandmother,5
dove,4
sofa,2
regret,7
suit,2
frustration,7
disaster,6
skin,3
football,3
appeal,4
integrity,5
adversity,5
memory,6
skull,3
station,1
fate,5
consequence,4
attempt,3
raspberry,1
university,2
cloth,1
cup,1
context,2
poetry,5
candy,3
mileage,1
liar,6
trust,7
oven,1
key,2
traveler,3
mustard,1
admiration,7
sadness,7
accumulation,1
conscience,6
rabbit,2
fireplace,3
bridge,2
measure,2
costume,2
intention,5
menu,1
deduction,2
window,1
loafer,2
butter,1
convergence,1
fight,6
winter,3
verse,3
advice,4
form,1
immortality,4
engagement,5
mind,5
trumpet,2
margin,1
puddle,1
amplitude,1
orchid,2
scene,3
reflex,2
interior,1
empire,3
insight,4
aspect,1
denial,6
grasshopper,1
stapler,1
tallness,2
cause,3
article,1
opposition,4
introduction,2
retention,2
pretense,5
capacity,2
pigeon,1
silence,5
boy,3
mastery,4
definition,1
grief,7
replacement,2
quality,2
skill,3
affection,7
thorn,3
reality,4
banana,1
leader,3
danger,5
self,5
edge,3
lunch,2
laughter,7
myth,3
pawn,3
reputation,4
dozen,1
dagger,3
donor,3
duel,4
arc,1
temple,3
shame,7
victim,6
deceit,7
dad,5
paradigm,1
proof,2
charity,5
vocabulary,1
brother,5
pillow,2
propeller,1
significance,3
rule,2
friendship,7
weight,3
suspect,4
marriage,6
episode,2
determination,6
photo,3
landscape,3
shape,1
rhyme,2
situation,3
love,7
synagogue,2
moral,5
object,1
opinion,4
miracle,6
beaver,1
march,2
fat,3
income,2
requirement,2
sanctuary,4
lobster,1
palace,2
bank,1
pig,2
moonlight,4
coffee,2
core,2
competence,3
wood,1
salary,2
cow,1
protection,4
woman,4
brain,3
television,2
justice,6
brawl,5
unity,5
nose,1
wave,2
mankind,4
interruption,4
bottle,1
spelling,1
lizard,1
foundation,2
hurricane,4
professor,2
institute,1
sugar,2
helplessness,7
purpose,4
lane,1
territory,2
contract,2
coffin,5
bird,2
physics,1
proportion,1
line,1
salad,1
consistency,2
development,2
holiday,5
exclusion,5
event,2
jewel,3
promotion,4
acre,1
pest,3
availability,1
gender,3
fantasy,5
shock,6
performance,4
phenomenon,2
uncertainty,6
weather,2
reinforcement,2
time,3
necessity,3
towel,1
saloon,2
permission,3
category,1
bandit,3
doctor,3
diet,3
tide,2
heresy,4
length,1
policeman,3
magic,4
apple,1
unit,1
queen,3
mystery,4
emergence,2
republic,2
contempt,7
law,3
baby,6
starch,1
radio,2
kitten,4
description,1
eagle,2
preference,3
theory,2
variety,2
group,2
alley,2
burner,1
material,1
darkness,5
mile,1
toilet,1
medicine,3
security,4
lemon,2
bed,2
distance,3
file,1
kite,3
fear,7
suggestion,3
robin,2
ocean,3
cat,3
germ,2
art,5
eight,1
individual,3
nurse,4
correspondent,2
claim,3
butterfly,3
duck,1
lamb,3
horse,2
mansion,2
real,3
missile,3
effect,2
truth,6
incentive,3
border,2
diamond,3
beauty,6
guide,3
drum,2
logic,2
assumption,3
