word,rating
ability,3
abundance,2
accident,2
accomplishment,3
accumulation,2
acquisition,2
acre,1
addition,1
admiration,3
advantage,3
adventurer,2
adversity,3
advice,5
affection,4
alley,1
alligator,1
ally,3
alphabet,1
ambition,3
ambulance,2
amount,1
amplitude,1
anger,4
animal,1
ankle,1
announcement,2
annoyance,2
anxiety,3
apology,5
appeal,3
apple,1
appointment,2
arc,1
arrangement,2
arrow,1
art,2
article,1
artist,2
aspect,1
assault,6
assistance,4
assumption,2
atom,1
atrocity,6
attempt,2
attention,3
attitude,4
autumn,1
availability,1
awareness,3
baby,2
bag,1
ball,1
ballot,4
banana,1
band,1
bandit,5
bank,2
beast,2
beauty,2
beaver,1
bed,1
bedroom,1
beetle,1
behavior,6
belief,6
bell,1
benefactor,4
bet,3
betrayal,7
beverage,1
bird,1
blade,2
blood,2
boat,1
body,2
bolt,1
border,3
boredom,1
bottle,1
boulder,1
boundary,4
boy,1
bracelet,1
brain,2
branch,1
brawl,4
brevity,1
bridge,1
brother,3
brute,3
bubble,1
bullet,2
burner,1
butter,1
butterfly,1
cake,1
calculation,2
calendar,2
camera,1
candidate,3
candy,1
capacity,2
car,1
cat,1
category,1
caterpillar,1
cause,3
ceiling,1
ceremony,3
chair,1
chance,2
character,5
charity,6
charter,5
chicken,1
chief,3
child,3
chipmunk,1
chlorine,1
chocolate,1
christmas,3
church,5
circuit,1
circumstance,2
city,1
claim,3
clean,3
clearance,2
cliff,1
cloth,1
clothing,2
cocktail,1
coffee,1
coffin,2
cognition,2
coincidence,1
combination,1
comparison,2
competence,3
complication,2
composer,1
comprehension,2
conclusion,2
conference,2
confidence,3
conscience,7
consequence,6
consideration,5
consistency,4
construction,1
contempt,4
context,2
contract,6
convergence,1
core,2
corn,1
corporation,3
corpse,2
correspondent,1
costume,1
cottage,1
coupon,1
cow,1
cowardice,5
cranberry,1
crime,7
crisis,3
criticism,4
crocodile,1
crown,2
cucumber,1
cup,1
curfew,6
dad,3
dagger,2
damage,4
danger,3
darkness,2
debt,4
deceit,7
decision,5
deduction,2
definition,2
degree,2
democracy,5
denial,4
dentist,1
deputy,4
description,1
design,1
desk,1
despair,3
destiny,3
determination,4
development,2
diamond,1
diet,3
difference,2
dilemma,5
dimension,1
disagreement,4
disappointment,3
disaster,3
disgust,4
distance,1
distraction,3
distribution,2
ditch,1
diversity,4
division,2
doctor,2
donor,4
door,1
dove,3
dozen,1
drama,2
drug,4
drum,1
duck,1
duel,4
duration,1
duty,7
dynasty,3
eagle,1
economy,3
edge,1
effect,2
effort,3
eight,1
electricity,1
elephant,1
emergence,1
empire,3
empty,1
enemy,4
engagement,4
entrance,1
entree,1
envy,5
episode,1
equality,6
error,4
escape,3
establishment,3
event,1
evidence,5
example,3
exception,3
exclusion,4
explanation,2
expression,2
extent,1
eyeball,1
fabric,1
fact,3
factory,1
faith,6
fallacy,4
fantasy,2
fat,1
fate,3
father,4
fear,3
fifteen,1
fight,4
figure,1
file,1
fireplace,1
fisherman,1
flask,1
flavor,1
fog,1
food,1
football,1
forest,1
form,1
foundation,3
fountain,1
freedom,5
friendship,4
frog,1
frustration,3
future,2
gender,3
genuine,4
germ,1
gesture,2
girl,1
gorilla,1
grammar,3
grandmother,3
grass,1
grasshopper,1
grief,3
group,2
guess,1
guide,4
guilt,7
gun,3
handkerchief,1
hat,1
hatred,5
hazard,3
heap,1
heart,3
helmet,2
helplessness,3
heresy,6
hierarchy,4
hobby,1
hog,1
holiday,2
honesty,7
hope,4
horse,1
hospital,2
hotel,1
hurricane,1
hurt,4
idea,2
identification,2
identity,4
idiom,1
ignition,1
ignorance,4
imagination,2
immortality,3
impairment,2
importance,3
impossibility,2
improvement,3
incentive,3
inch,1
incident,3
income,3
increase,1
independence,4
individual,3
industry,2
infection,1
information,2
injury,3
inn,1
insight,3
instance,1
instinct,3
institute,3
instructor,4
integrity,7
intelligence,3
intention,5
interaction,3
interior,1
interruption,2
introduction,1
iron,1
irony,2
irrigation,1
island,1
issue,3
itch,1
item,1
jacket,1
jerk,4
jewel,1
job,3
justice,7
justification,6
key,1
kindness,6
kite,1
kitten,1
knife,2
knowledge,4
lake,1
lamb,2
lamp,1
landscape,1
lane,1
latch,1
laughter,2
laundry,1
law,7
leader,5
leadership,5
legality,7
lemon,1
length,1
lens,1
leopard,1
lesson,4
lettuce,1
liar,7
lightning,1
lily,1
limitation,4
line,1
linen,1
lion,1
lip,1
lisp,1
literature,2
lizard,1
loafer,2
loan,3
lobster,1
location,1
lock,2
logic,4
love,5
lunch,1
macaroni,1
magic,1
magnitude,1
majority,3
malice,6
mankind,4
manner,4
mansion,1
march,2
margin,1
marriage,5
master,3
mastery,3
material,1
math,1
mattress,1
measure,2
medicine,2
meeting,2
member,2
memory,2
menu,1
mercy,6
message,2
metaphor,1
method,2
microscope,1
midnight,2
mile,1
mileage,1
mind,3
miracle,3
misery,3
missile,3
mold,1
moment,1
money,3
month,1
moonlight,1
moral,7
mosquito,1
mother,4
mountain,1
mud,1
murder,7
music,2
mustard,1
mystery,2
myth,2
name,2
nation,3
necessity,3
neck,1
necklace,1
neighborhood,2
nerve,1
newspaper,2
nose,1
number,1
nurse,2
object,1
obstruction,3
occasion,1
occupation,2
ocean,1
odor,1
onion,1
opera,1
opinion,3
opponent,3
opportunity,2
opposition,3
orchestra,1
orchid,1
origin,2
originality,2
outcome,3
outfit,1
oven,1
owner,3
ownership,4
palace,2
paradigm,3
paragraph,1
parish,4
park,1
past,2
pawn,2
payment,4
peace,5
peacemaker,5
peach,1
perception,2
performance,2
permission,6
personality,3
pest,1
phenomenon,1
philosophy,5
photo,1
photograph,1
physics,1
pie,1
pig,1
pigeon,1
pile,1
pill,2
pillow,1
pimple,1
play,1
poetry,2
policeman,6
poll,3
pond,1
pool,1
possibility,2
potato,1
prediction,2
preference,2
preparation,2
presence,2
pretense,5
principle,7
produce,1
production,1
professor,3
promotion,2
proof,4
prop,1
propeller,1
property,4
proportion,1
protection,4
psalm,5
puddle,1
punishment,7
puppy,1
purpose,4
pyramid,1
quality,3
queen,3
rabbit,1
radio,1
rainbow,1
raspberry,1
real,2
reality,3
reason,4
rebel,4
recital,1
recognition,2
record,2
reduction,1
reflex,1
refrigerator,1
regret,5
regulation,7
reinforcement,4
relief,2
rent,3
replacement,1
republic,4
reputation,5
requirement,5
resort,1
response,3
responsibility,7
result,2
retention,2
revenge,5
rhyme,1
riddle,1
ring,1
riot,5
risk,3
river,1
road,1
robbery,7
robin,1
rocket,1
roof,1
route,1
rule,7
sadness,3
safety,5
salad,1
salary,3
saloon,1
sanctuary,4
sandal,1
satisfaction,3
scene,1
scent,1
scholar,3
season,1
second,1
security,4
sedative,2
segment,1
selection,2
self,4
separation,2
shame,7
shape,1
shark,1
shirt,1
shock,2
shortness,1
show,1
shrimp,1
sight,1
significance,3
silence,3
sister,3
site,1
situation,2
size,1
skill,2
skin,1
skull,1
skunk,1
sky,1
smell,1
snake,2
sneeze,1
snow,1
sofa,1
sole,1
soul,5
sow,1
specialist,2
specimen,1
speech,3
spelling,2
spider,1
spirit,5
square,1
squeak,1
standard,5
stapler,1
starch,1
state,3
station,1
steam,1
stick,1
stimulus,2
story,2
stranger,2
street,1
stride,1
student,3
stupidity,4
subtraction,1
sugar,1
suggestion,3
suit,2
summer,1
supply,1
suspect,4
sword,2
synagogue,5
talent,2
tallness,1
tax,5
teacher,4
television,1
temperature,1
temple,5
tendency,3
tennis,1
tension,3
territory,3
theory,2
thief,6
thing,1
thorn,1
thought,3
three,1
tide,1
time,2
tip,2
toilet,1
tomato,1
tongue,1
tool,1
topic,1
towel,1
tradition,5
tragedy,4
translation,1
traveler,1
tree,1
truck,1
trumpet,1
trust,6
truth,7
tune,1
twig,1
typewriter,1
uncertainty,3
uncle,2
underworld,4
uniform,4
unit,1
unity,4
university,3
value,6
vapor,1
variety,1
verse,2
victim,5
view,1
vision,2
visitor,1
vocabulary,1
volcano,1
volt,1
volume,1
wage,3
wallet,1
want,2
waste,3
water,1
wave,1
weather,1
weight,1
willingness,4
window,1
winter,1
wisdom,6
wish,2
witness,5
wolf,2
woman,2
wood,1
worry,3
writing,2
youth,2
zoo,1
