word,rating
suit,3
performance,5
cognition,3
hat,3
disappointment,2
city,3
independence,4
hotel,2
guilt,2
bubble,3
marriage,2
neighborhood,3
adversity,3
crown,2
fisherman,4
peach,2
lion,4
vapor,2
fantasy,2
advice,2
metaphor,1
blade,4
arc,4
lamp,2
square,2
accident,3
attitude,3
material,2
outcome,3
error,3
puddle,3
comparison,2
regulation,2
cowardice,2
engagement,3
site,2
professor,2
mosquito,3
mold,2
irony,1
contempt,2
purpose,3
knife,5
opportunity,3
curfew,2
despair,2
anxiety,3
cloth,3
truck,4
stride,7
three,1
mind,3
sword,5
spider,3
baby,3
inn,2
bullet,4
trumpet,5
costume,3
leopard,4
diversity,2
river,4
duty,3
math,2
bell,3
ceiling,2
blood,3
landscape,2
photograph,3
consideration,2
chief,2
witness,2
insight,2
fear,3
bird,4
butter,3
equality,2
perception,3
availability,2
weather,2
hierarchy,1
toilet,3
principle,2
propeller,5
future,2
riddle,2
promotion,2
annoyance,2
advantage,2
spelling,3
key,4
typewriter,5
sight,3
occasion,2
gun,4
odor,2
ambulance,3
past,2
lane,4
decision,3
volt,2
band,3
ocean,4
sedative,1
rabbit,4
opposition,3
clean,4
boy,3
riot,4
nerve,3
confidence,4
frustration,3
specialist,2
recognition,2
kitten,3
pawn,3
selection,3
mile,5
genuine,2
beetle,3
job,4
towel,3
issue,2
dynasty,1
sandal,4
establishment,2
dagger,5
neck,4
stapler,5
fight,6
lightning,3
lunch,3
second,2
child,3
exclusion,2
description,2
art,4
suggestion,2
development,3
magnitude,2
institute,2
sow,4
alley,3
time,2
honesty,2
produce,4
arrangement,3
bag,4
intention,4
group,3
body,6
rebel,4
midnight,2
drama,2
distraction,3
bracelet,3
proportion,2
horse,5
crime,3
core,4
personality,3
park,4
disaster,2
cocktail,3
suspect,3
philosophy,2
literature,2
limitation,2
magic,3
conscience,2
teacher,3
destiny,2
murder,3
assistance,3
escape,6
affection,4
ability,5
cake,3
football,6
brain,3
psalm,2
fountain,3
imagination,3
state,2
majority,1
tool,5
incentive,3
stranger,2
interaction,4
enemy,3
stick,5
leader,3
competence,4
bedroom,3
cottage,2
pest,2
subtraction,2
lake,4
jacket,4
volume,2
spirit,3
orchestra,4
improvement,4
darkness,2
chicken,3
mileage,4
steam,3
thought,3
criticism,2
reality,2
segment,2
robin,3
student,3
dozen,1
diet,3
rent,2
charity,3
security,2
helplessness,2
sadness,2
sole,4
apple,3
file,3
proof,2
island,3
reflex,6
intelligence,3
accomplishment,4
lettuce,2
physics,2
vocabulary,2
saloon,2
disagreement,2
revenge,3
protection,3
visitor,3
alphabet,2
brevity,2
synagogue,2
wolf,4
shrimp,2
duration,2
lamb,3
circuit,3
cup,3
conclusion,2
want,4
preference,2
grammar,2
reinforcement,3
idiom,1
forest,4
worry,2
branch,3
orchid,2
oven,3
effect,2
salary,2
atom,2
variety,2
beauty,2
assumption,2
republic,1
object,3
belief,2
combination,3
guide,4
factory,3
real,2
effort,6
chocolate,3
flavor,2
composer,4
cucumber,2
hobby,5
empire,2
topic,2
pool,4
ally,3
mercy,2
scent,2
beaver,3
theory,2
drum,6
opinion,2
border,3
nose,4
safety,3
appeal,2
correspondent,2
number,1
tree,3
traveler,5
television,2
refrigerator,3
disgust,2
crisis,3
cause,3
lobster,2
shark,4
temperature,2
satisfaction,3
ditch,4
shame,2
flask,3
supply,3
menu,2
calculation,2
outfit,3
deputy,2
miracle,2
increase,3
lemon,2
attention,3
month,2
rule,2
snow,3
coupon,2
tension,4
phenomenon,2
truth,2
station,3
diamond,2
property,2
aspect,1
kite,5
construction,4
distribution,2
photo,3
paradigm,1
reduction,2
myth,1
punishment,3
brute,4
industry,3
necessity,3
faith,2
loan,2
income,2
summer,3
bed,4
ignorance,1
bolt,4
helmet,4
ceremony,3
paragraph,3
music,4
reason,2
heap,3
addition,2
adventurer,6
hazard,3
justification,2
rhyme,3
betrayal,2
chipmunk,3
sky,3
hurt,4
animal,4
corn,2
mud,4
candy,3
street,5
desk,3
rocket,4
gender,1
possibility,3
foundation,2
woman,3
entrance,4
attempt,5
idea,3
verse,2
grief,2
entree,2
wave,5
permission,2
fallacy,1
wisdom,2
expression,4
territory,3
abundance,2
infection,2
method,3
charter,1
volcano,3
deceit,2
grass,3
moment,3
ignition,5
thief,4
holiday,4
peace,3
introduction,2
fat,3
economy,1
roof,3
palace,2
scene,3
hurricane,3
camera,4
regret,2
boat,5
identification,2
preparation,4
starch,2
definition,2
evidence,2
distance,4
tennis,6
benefactor,2
nation,1
grandmother,2
resort,3
occupation,3
immortality,2
bridge,4
burner,3
claim,2
friendship,3
announcement,2
payment,3
form,3
mankind,2
soul,3
butterfly,4
boredom,2
youth,4
pillow,3
memory,3
weight,5
injury,4
legality,1
owner,2
uncle,2
member,2
hatred,2
category,1
shock,3
amplitude,2
march,6
frog,4
skill,5
uniform,3
design,4
anger,3
information,2
speech,4
tune,4
boundary,3
silence,2
girl,3
calendar,2
margin,2
temple,2
envy,2
snake,4
jerk,5
clothing,4
shape,4
wallet,3
ballot,3
fog,2
talent,4
underworld,2
originality,3
sneeze,6
peacemaker,3
dilemma,2
convergence,2
heresy,1
retention,2
impossibility,2
route,5
chlorine,2
damage,3
lizard,4
ball,6
drug,2
explanation,2
dove,4
context,1
church,3
trust,2
vision,3
sugar,2
pile,4
law,2
salad,3
skunk,3
danger,3
manner,3
laundry,5
character,3
accumulation,2
identity,3
misery,2
pimple,2
tallness,3
requirement,2
jewel,2
arrow,5
obstruction,3
electricity,3
mother,3
university,3
unit,2
apology,3
opponent,4
significance,2
wish,3
line,3
situation,2
fact,1
pill,3
autumn,3
play,6
crocodile,3
impairment,2
parish,1
message,3
gorilla,4
tendency,2
wage,2
complication,2
sister,2
comprehension,2
inch,2
itch,5
car,5
willingness,4
radio,2
integrity,2
money,3
smell,3
pond,3
grasshopper,4
hospital,2
unity,2
christmas,3
reputation,2
coffee,3
love,4
admiration,2
acre,2
banana,3
clearance,3
artist,5
ring,3
cow,3
self,5
debt,2
lip,4
thing,2
conference,2
iron,4
thorn,3
exception,1
tragedy,2
season,2
door,5
specimen,2
instructor,3
figure,3
location,3
prediction,2
replacement,3
pretense,2
freedom,5
macaroni,2
water,4
master,4
pigeon,3
event,3
presence,4
mattress,3
responsibility,3
bandit,4
ownership,2
doctor,2
stupidity,2
squeak,4
denial,2
show,3
loafer,3
stimulus,4
origin,2
interruption,3
risk,3
amount,1
handkerchief,3
tomato,2
instinct,5
importance,2
fifteen,1
bank,3
gesture,6
dad,3
cliff,3
tradition,2
acquisition,2
mastery,5
response,5
pie,2
length,2
item,2
dimension,2
sanctuary,2
fabric,2
dentist,2
tax,2
raspberry,2
winter,3
meeting,3
division,2
corporation,1
example,2
story,2
uncertainty,2
bottle,3
caterpillar,3
name,2
heart,4
relief,3
onion,3
kindness,3
duel,5
brawl,6
hope,3
capacity,3
justice,2
interior,2
behavior,5
laughter,5
victim,2
liar,2
necklace,3
edge,4
pyramid,2
alligator,4
tide,3
pig,3
lisp,4
brother,3
robbery,3
record,2
size,2
knowledge,2
consequence,2
empty,2
eyeball,4
contract,2
newspaper,3
measure,3
rainbow,2
chair,4
latch,5
view,3
window,3
incident,3
tongue,5
coffin,2
ankle,6
skull,3
cranberry,2
translation,2
result,2
zoo,3
ambition,4
fireplace,2
microscope,3
boulder,3
production,3
leadership,3
difference,2
mystery,2
malice,2
puppy,4
sofa,3
value,2
democracy,2
road,5
standard,2
missile,4
elephant,4
waste,3
atrocity,2
recital,4
fate,2
emergence,3
hog,3
corpse,2
eagle,4
mansion,2
germ,2
writing,5
candidate,2
shortness,3
nurse,3
poetry,3
coincidence,2
moral,2
lily,2
quality,2
father,3
cat,3
lens,3
instance,2
poll,2
bet,3
moonlight,2
logic,2
guess,3
appointment,3
determination,5
scholar,3
mustard,2
separation,3
extent,2
episode,2
eight,1
article,2
circumstance,2
prop,3
opera,3
potato,2
lock,5
assault,5
beast,4
medicine,2
skin,4
tip,4
mountain,5
irrigation,3
donor,2
queen,2
wood,4
awareness,3
linen,2
deduction,2
degree,2
shirt,4
chance,3
food,4
beverage,3
lesson,3
duck,4
twig,3
individual,3
consistency,3
policeman,3
