word,rating
coffin,6
month,2
leader,5
duty,5
incident,5
pill,4
pawn,4
mosquito,5
orchid,5
parish,3
lettuce,2
wallet,3
example,2
payment,4
separation,6
ocean,6
perception,4
key,3
contempt,6
road,2
bell,3
competence,5
hog,3
principle,4
philosophy,4
regret,6
moonlight,5
butter,3
accident,6
bandit,5
guilt,7
specimen,2
flask,2
subtraction,2
zoo,4
nerve,4
adventurer,5
fantasy,5
object,1
contract,3
art,5
personality,4
grandmother,6
behavior,3
helmet,2
midnight,4
helplessness,7
fountain,4
loan,4
permission,3
worry,6
mountain,5
calculation,2
laughter,7
play,5
inn,3
costume,3
heart,6
theory,2
visitor,3
idea,4
announcement,3
income,5
arrow,3
irrigation,2
abundance,6
wage,4
uncertainty,6
horse,4
cat,5
guide,3
distribution,2
drum,3
fate,5
tongue,3
moment,4
opportunity,6
itch,4
difference,3
cause,3
leopard,4
infection,6
territory,3
dimension,2
fog,4
fireplace,5
time,4
teacher,5
occasion,3
occupation,3
core,3
silence,5
vocabulary,2
ankle,3
riot,6
skull,5
bed,4
variety,3
file,1
consideration,3
rainbow,6
measure,2
sugar,4
envy,6
baby,6
linen,2
enemy,6
three,1
mile,2
opinion,3
food,5
impairment,6
beauty,6
performance,4
ambulance,5
punishment,6
starch,2
salary,5
selection,2
significance,4
corpse,6
metaphor,2
cup,2
job,5
response,3
description,2
tradition,4
rule,3
hurricane,6
assumption,3
economy,4
degree,3
appeal,4
lion,5
skunk,4
stranger,4
march,3
proof,3
member,2
eagle,5
suit,3
shape,2
disaster,7
clothing,2
uncle,4
produce,3
unit,1
importance,4
accomplishment,6
empty,5
awareness,4
capacity,2
neck,2
standard,2
ambition,5
propeller,2
cake,5
evidence,3
tennis,3
physics,2
honesty,6
odor,5
landscape,4
lamp,2
circuit,2
injury,6
gorilla,4
master,4
university,4
pigeon,3
hospital,5
shirt,2
bank,3
camera,3
sanctuary,5
pest,5
comparison,3
kindness,7
category,1
recognition,5
obstruction,5
rocket,4
ball,3
circumstance,3
mold,4
writing,4
banana,3
idiom,2
marriage,6
cloth,1
pile,2
comprehension,3
branch,2
edge,3
incentive,4
expression,4
combination,2
jewel,4
rabbit,4
origin,3
requirement,3
mankind,4
microscope,2
view,3
professor,4
typewriter,2
ceiling,2
purpose,5
ditch,3
wave,4
policeman,4
season,4
guess,2
summer,6
margin,2
complication,5
establishment,3
betrayal,7
towel,2
math,3
hat,2
fabric,2
name,3
refrigerator,2
segment,1
conference,3
tendency,3
specialist,3
drama,5
boulder,2
property,3
division,3
site,1
fallacy,4
meeting,3
coupon,3
television,3
mastery,5
identification,2
promotion,5
moral,5
correspondent,2
individual,3
brawl,5
soul,6
retention,2
dagger,5
instance,1
impossibility,5
lightning,5
pig,3
quality,4
corn,2
bullet,5
truth,6
state,2
assault,7
entrance,3
amount,2
friendship,7
macaroni,3
topic,2
border,3
clearance,3
determination,6
route,2
puddle,2
thing,1
arc,2
sky,5
tree,4
student,4
tip,3
presence,4
self,5
autumn,5
love,7
peace,7
episode,3
conscience,6
sight,4
length,1
caterpillar,3
tool,2
body,4
latch,2
cow,3
spirit,5
roof,2
charter,2
reputation,5
lesson,4
fisherman,3
tallness,3
dozen,1
boredom,6
salad,3
magic,5
acre,2
palace,4
ring,4
stride,4
money,5
butterfly,5
equality,6
anger,7
pretense,5
justice,6
unity,6
engagement,6
industry,3
sister,6
calendar,2
attempt,3
mystery,5
criticism,6
phenomenon,3
beast,5
river,5
alley,4
chance,4
atrocity,7
laundry,3
uniform,3
translation,2
entree,3
riddle,3
father,6
outfit,3
blood,5
danger,6
fifteen,1
beverage,3
heap,2
liar,6
mind,5
pond,3
shortness,3
tune,4
boundary,3
thorn,4
mileage,2
vapor,2
toilet,3
sneeze,3
synagogue,3
rhyme,3
gesture,4
island,5
leadership,5
disgust,7
democracy,5
shrimp,3
woman,4
sword,4
majority,3
shock,6
ability,5
lane,2
responsibility,5
alligator,4
supply,2
child,6
crown,4
anxiety,7
intelligence,5
kitten,6
holiday,6
waste,5
mud,3
factory,3
opposition,4
winter,5
grammar,2
peacemaker,5
hatred,7
reduction,3
stupidity,6
belief,5
missile,5
instructor,3
assistance,5
jacket,2
park,5
genuine,5
law,4
republic,3
denial,6
puppy,7
story,4
consistency,4
acquisition,3
stapler,1
event,3
duel,5
claim,3
reality,5
hierarchy,3
victim,6
mustard,3
ceremony,4
character,4
skin,3
poll,2
nation,4
drug,5
spider,5
lily,4
bet,4
owner,3
manner,2
amplitude,2
cowardice,6
nose,2
darkness,5
ignition,2
inch,1
scholar,4
fat,5
empire,4
brother,6
beetle,3
reason,3
charity,6
bolt,2
definition,2
crime,6
flavor,4
pie,4
speech,4
lamb,4
miracle,7
decision,5
line,1
bird,4
opera,4
grief,7
bridge,3
despair,7
handkerchief,2
lobster,3
mother,7
limitation,5
traveler,4
underworld,5
disappointment,7
iron,2
fact,2
development,3
photograph,4
artist,5
explanation,3
freedom,7
preparation,3
raspberry,3
gender,3
want,5
lisp,3
loafer,3
intention,4
twig,2
photo,3
effort,5
tomato,2
record,3
bubble,4
future,5
instinct,5
necklace,4
hope,7
attitude,5
pimple,5
possibility,5
lock,3
music,6
window,2
sow,3
ignorance,6
regulation,3
knowledge,5
shame,7
apple,4
car,3
shark,5
lemon,3
steam,3
number,1
hotel,3
proportion,2
duration,2
diversity,4
safety,6
benefactor,5
band,4
dynasty,4
show,3
football,4
germ,5
reflex,3
brevity,3
heresy,5
weather,4
coffee,5
result,3
lens,2
atom,2
skill,5
method,2
desk,2
cottage,4
rebel,5
apology,5
witness,4
verse,3
boat,4
myth,3
wisdom,6
smell,4
jerk,6
eight,1
cranberry,3
medicine,5
diamond,5
corporation,3
emergence,3
church,5
disagreement,5
pool,4
snake,5
conclusion,3
robin,4
interruption,5
volume,2
introduction,3
dove,5
risk,5
affection,7
alphabet,2
construction,2
irony,4
duck,3
cliff,4
resort,4
hazard,5
murder,7
neighborhood,4
foundation,3
frog,3
recital,4
design,3
onion,2
beaver,3
newspaper,3
fight,6
independence,6
diet,4
protection,5
elephant,4
cognition,3
convergence,2
insight,5
error,5
deputy,3
volt,2
chipmunk,4
effect,2
context,2
stick,2
interior,2
burner,3
bag,2
opponent,4
tragedy,7
production,2
revenge,6
sedative,4
thief,6
potato,2
memory,6
animal,4
damage,6
boy,4
truck,2
reinforcement,3
literature,4
wish,5
material,2
donor,5
eyeball,3
originality,5
robbery,6
bottle,2
lunch,4
cucumber,2
queen,4
necessity,4
extent,2
group,3
immortality,5
street,2
distance,4
temperature,3
snow,5
doctor,5
chief,3
real,3
knife,5
electricity,3
size,2
appointment,4
interaction,4
aspect,2
trust,7
sandal,2
identity,5
logic,3
coincidence,4
attention,4
stimulus,3
malice,6
past,5
bedroom,4
talent,5
distraction,4
peach,3
addition,2
door,2
station,2
ally,5
scene,3
hurt,7
relief,6
saloon,3
water,3
consequence,5
frustration,7
ownership,4
grass,3
value,4
availability,3
temple,4
lip,3
message,3
confidence,6
paragraph,1
christmas,6
suggestion,3
dad,6
crisis,6
location,2
girl,4
chicken,3
hobby,5
dentist,4
preference,3
oven,2
prediction,3
second,2
brute,5
forest,5
wood,2
misery,7
radio,3
volcano,5
candidate,3
item,1
arrangement,2
escape,5
lizard,3
magnitude,3
wolf,5
satisfaction,6
thought,4
kite,4
imagination,5
paradigm,2
form,1
outcome,4
square,1
chair,2
ballot,3
orchestra,5
composer,4
menu,2
clean,4
