word,rating
ability,2
abundance,2
accident,2
accomplishment,2
accumulation,1
acquisition,1
acre,1
addition,2
admiration,6
advantage,3
adventurer,2
adversity,3
advice,6
affection,7
alley,1
alligator,1
ally,6
alphabet,1
ambition,2
ambulance,1
amount,1
amplitude,1
anger,5
animal,1
ankle,1
announcement,3
annoyance,4
anxiety,3
apology,6
appeal,3
apple,1
appointment,3
arc,1
arrangement,3
arrow,1
art,2
article,1
artist,2
aspect,1
assault,4
assistance,5
assumption,3
atom,1
atrocity,2
attempt,2
attention,5
attitude,4
autumn,1
availability,2
awareness,3
baby,5
bag,1
ball,1
ballot,1
banana,1
band,3
bandit,2
bank,1
beast,1
beauty,3
beaver,1
bed,3
bedroom,3
beetle,1
behavior,4
belief,3
bell,1
benefactor,5
bet,2
betrayal,7
beverage,1
bird,1
blade,1
blood,3
boat,1
body,2
bolt,1
border,2
boredom,2
bottle,1
boulder,1
boundary,3
boy,3
bracelet,2
brain,2
branch,1
brawl,4
brevity,1
bridge,2
brother,7
brute,3
bubble,1
bullet,1
burner,1
butter,1
butterfly,1
cake,2
calculation,1
calendar,2
camera,1
candidate,3
candy,1
capacity,1
car,1
cat,1
category,1
caterpillar,1
cause,2
ceiling,1
ceremony,4
chair,1
chance,2
character,3
charity,4
charter,1
chicken,1
chief,3
child,5
chipmunk,1
chlorine,1
chocolate,1
christmas,4
church,4
circuit,1
circumstance,2
city,2
claim,2
clean,1
clearance,1
cliff,1
cloth,1
clothing,1
cocktail,3
coffee,2
coffin,2
cognition,1
coincidence,2
combination,2
comparison,3
competence,2
complication,3
composer,2
comprehension,3
conclusion,2
conference,4
confidence,3
conscience,3
consequence,3
consideration,5
consistency,3
construction,1
contempt,6
context,2
contract,4
convergence,2
core,1
corn,1
corporation,2
corpse,1
correspondent,4
costume,1
cottage,1
coupon,1
cow,1
cowardice,3
cranberry,1
crime,3
crisis,3
criticism,5
crocodile,1
crown,2
cucumber,1
cup,1
curfew,3
dad,7
dagger,1
damage,3
danger,2
darkness,2
