word,rating
scholar,1
deputy,1
produce,4
woman,3
scent,2
ambulance,2
doctor,2
obstruction,3
three,1
flavor,2
volcano,4
cow,4
ankle,5
clearance,1
nerve,3
helmet,6
chief,1
cake,5
manner,1
pill,5
robbery,2
marriage,1
spirit,1
speech,1
scene,1
math,1
freedom,1
atom,1
kindness,1
cat,5
ballot,3
abundance,1
incentive,1
guess,1
effort,2
pond,4
impairment,2
grass,6
belief,1
door,6
conclusion,1
photograph,3
photo,3
explanation,1
chocolate,5
candy,5
sword,6
presence,1
admiration,1
lobster,5
jerk,3
knife,6
crime,1
betrayal,1
microscope,4
bracelet,6
emergence,1
mansion,2
escape,2
heresy,1
stimulus,3
deduction,1
reduction,1
pig,4
sugar,5
lamb,5
loan,1
frog,5
lane,2
gorilla,4
flask,5
music,1
willingness,1
hurt,5
combination,1
lightning,2
foundation,2
confidence,1
contempt,1
contract,2
skin,7
magic,1
conscience,1
evidence,1
response,1
addition,1
ceiling,3
brawl,4
pimple,6
temple,2
saloon,2
integrity,1
suit,5
industry,1
fountain,4
occasion,1
file,3
comparison,1
border,2
sandal,6
future,1
money,4
accomplishment,1
composer,1
correspondent,1
month,1
pie,5
conference,1
burner,6
fog,4
disappointment,1
forest,3
linen,6
student,1
kitten,5
thorn,6
zoo,2
enemy,1
hurricane,5
route,1
fabric,7
boredom,1
ignorance,1
sow,3
character,1
cranberry,4
cup,6
episode,1
assistance,1
duration,1
squeak,2
paradigm,1
circuit,3
disagreement,1
hazard,2
arc,2
toilet,5
bottle,6
tool,6
snow,6
permission,1
awareness,1
heart,3
poetry,1
importance,1
pool,5
stick,6
beauty,1
subtraction,1
translation,1
pile,4
performance,1
hospital,2
criticism,1
apology,1
park,2
medicine,4
mile,2
inn,2
grandmother,3
circumstance,1
trust,1
engagement,1
location,1
lettuce,5
tradition,1
cloth,7
alphabet,1
diamond,5
moment,1
child,3
arrangement,1
island,3
variety,1
information,1
latch,6
chicken,4
artist,1
beaver,4
refrigerator,5
destiny,1
tip,4
grammar,1
hotel,2
brevity,1
shortness,1
capacity,1
worry,1
owner,1
view,1
denial,1
issue,1
personality,1
boy,2
entrance,3
orchid,4
radio,4
hatred,1
opera,1
steam,6
phenomenon,1
lizard,5
visitor,1
ambition,1
mankind,1
brother,2
crocodile,4
error,1
miracle,1
bell,4
germ,2
property,1
bet,1
hog,3
bed,7
deceit,1
member,1
intention,1
hope,1
specialist,1
attitude,1
poll,1
salary,1
fireplace,5
rocket,3
past,1
misery,2
thought,1
entree,3
want,1
skull,5
margin,1
ceremony,1
extent,1
potato,5
reputation,1
determination,1
increase,1
independence,1
genuine,1
story,1
rule,1
eyeball,4
landscape,2
factory,2
injury,5
dad,2
advantage,1
electricity,4
bedroom,3
gesture,3
bridge,3
fact,1
unity,1
lisp,2
coupon,3
stranger,1
dove,3
material,6
