word,rating
coffin,2
month,2
leader,4
duty,5
incident,3
pill,1
pawn,3
mosquito,1
orchid,1
parish,2
lettuce,1
wallet,1
example,5
payment,2
separation,3
ocean,1
perception,7
key,3
contempt,5
road,1
bell,1
competence,6
hog,1
principle,7
philosophy,7
regret,5
moonlight,1
butter,1
accident,2
bandit,1
guilt,5
specimen,2
flask,1
subtraction,4
zoo,1
nerve,2
adventurer,2
fantasy,5
object,2
contract,3
art,4
personality,5
grandmother,1
behavior,5
helmet,1
midnight,1
helplessness,5
fountain,1
loan,2
permission,4
worry,6
mountain,1
calculation,6
laughter,2
play,2
inn,1
costume,1
heart,3
theory,7
visitor,1
idea,7
announcement,3
income,2
arrow,1
irrigation,1
abundance,3
wage,2
uncertainty,6
horse,1
cat,1
guide,3
distribution,3
drum,1
fate,4
tongue,1
moment,2
opportunity,4
itch,1
difference,4
cause,5
leopard,1
infection,1
territory,2
dimension,3
fog,1
fireplace,1
time,3
teacher,4
occasion,2
occupation,3
core,3
silence,2
vocabulary,5
ankle,1
riot,2
skull,1
bed,1
variety,3
file,2
consideration,6
rainbow,1
measure,4
sugar,1
envy,5
baby,1
linen,1
enemy,3
three,2
mile,1
opinion,7
food,1
impairment,3
beauty,4
performance,3
ambulance,1
punishment,4
starch,1
salary,2
selection,4
significance,6
corpse,1
metaphor,6
cup,1
job,2
response,5
description,5
tradition,3
rule,5
hurricane,1
assumption,7
economy,4
degree,3
appeal,5
lion,1
skunk,1
stranger,2
march,2
proof,6
member,2
eagle,1
suit,1
shape,2
disaster,2
clothing,1
uncle,1
produce,2
unit,2
importance,6
accomplishment,5
empty,2
awareness,7
capacity,4
neck,1
standard,5
ambition,5
propeller,1
cake,1
evidence,6
tennis,1
physics,5
honesty,5
odor,1
landscape,1
lamp,1
circuit,2
injury,1
gorilla,1
master,3
university,4
pigeon,1
hospital,1
shirt,1
bank,2
camera,1
sanctuary,2
pest,1
comparison,6
kindness,4
category,5
recognition,6
obstruction,2
rocket,1
ball,1
circumstance,4
mold,1
writing,5
banana,1
idiom,5
marriage,3
cloth,1
pile,1
comprehension,7
branch,1
edge,2
incentive,4
expression,5
combination,4
jewel,1
rabbit,1
origin,4
requirement,4
mankind,3
microscope,2
view,5
professor,4
typewriter,1
ceiling,1
purpose,6
ditch,1
wave,1
policeman,2
season,1
guess,6
summer,1
margin,3
complication,4
establishment,3
betrayal,4
towel,1
math,5
hat,1
fabric,1
name,2
refrigerator,1
segment,3
conference,4
tendency,5
specialist,3
drama,3
boulder,1
property,2
division,3
site,1
fallacy,7
meeting,3
coupon,1
television,1
mastery,5
identification,5
promotion,3
moral,7
correspondent,3
individual,4
brawl,1
soul,4
retention,4
dagger,1
instance,3
impossibility,5
lightning,1
pig,1
quality,5
corn,1
bullet,1
truth,7
state,3
assault,2
entrance,1
amount,2
friendship,3
macaroni,1
topic,6
border,1
clearance,2
determination,5
route,1
puddle,1
thing,2
arc,1
sky,1
tree,1
student,3
tip,2
presence,3
self,6
autumn,1
love,4
peace,4
episode,2
conscience,7
sight,3
length,2
caterpillar,1
tool,1
body,1
latch,1
cow,1
spirit,5
roof,1
charter,3
reputation,5
lesson,5
fisherman,1
tallness,2
dozen,1
boredom,4
salad,1
magic,3
acre,1
palace,1
ring,1
stride,1
money,2
butterfly,1
equality,5
anger,4
pretense,5
justice,6
unity,4
engagement,3
industry,2
sister,1
calendar,1
attempt,3
mystery,4
criticism,7
phenomenon,5
beast,1
river,1
alley,1
chance,3
atrocity,4
laundry,1
uniform,1
translation,5
entree,1
riddle,5
father,1
outfit,1
blood,1
danger,3
fifteen,1
beverage,1
heap,1
liar,4
mind,7
pond,1
shortness,2
tune,2
boundary,3
thorn,1
mileage,1
vapor,1
toilet,1
sneeze,1
synagogue,2
rhyme,3
gesture,3
island,1
leadership,5
disgust,5
democracy,5
shrimp,1
woman,1
sword,1
majority,3
shock,2
ability,5
lane,1
responsibility,5
alligator,1
supply,2
child,1
crown,2
anxiety,5
intelligence,7
