word,rating
ability,2
abundance,2
accident,3
accomplishment,3
accumulation,4
acquisition,3
acre,1
addition,2
admiration,1
advantage,2
adventurer,2
adversity,2
advice,1
affection,1
alley,1
alligator,1
ally,1
alphabet,3
ambition,2
ambulance,2
amount,3
amplitude,2
anger,1
animal,1
ankle,1
announcement,3
annoyance,2
anxiety,2
apology,2
appeal,2
apple,1
appointment,6
arc,3
arrangement,4
arrow,2
art,1
article,1
artist,1
aspect,2
assault,2
assistance,1
assumption,1
atom,1
atrocity,1
attempt,3
attention,2
attitude,1
autumn,6
availability,4
awareness,2
baby,3
bag,1
ball,1
ballot,2
banana,1
band,1
bandit,1
bank,1
beast,1
beauty,1
beaver,1
bed,2
bedroom,1
beetle,1
behavior,2
belief,1
bell,3
benefactor,1
bet,2
betrayal,2
beverage,1
bird,1
blade,1
blood,1
boat,1
body,1
bolt,1
border,2
boredom,4
bottle,1
boulder,1
boundary,2
boy,2
bracelet,1
brain,1
branch,1
brawl,1
brevity,6
bridge,1
brother,1
brute,1
bubble,2
bullet,2
burner,1
butter,1
butterfly,1
cake,1
calculation,2
calendar,7
camera,2
candidate,2
candy,1
capacity,2
car,1
cat,1
category,3
caterpillar,2
cause,3
ceiling,1
ceremony,4
chair,1
chance,3
character,1
charity,1
charter,2
chicken,1
chief,2
child,3
chipmunk,1
chlorine,1
chocolate,1
christmas,5
church,2
circuit,2
circumstance,2
city,1
claim,1
clean,1
clearance,2
cliff,1
cloth,1
clothing,1
cocktail,1
coffee,2
coffin,2
cognition,1
coincidence,4
combination,2
comparison,2
competence,2
complication,3
composer,2
comprehension,1
conclusion,5
conference,4
confidence,1
conscience,1
consequence,4
consideration,3
consistency,4
construction,3
contempt,1
context,2
contract,4
convergence,3
core,1
corn,1
corporation,1
corpse,2
correspondent,1
costume,1
cottage,1
coupon,3
cow,1
cowardice,1
cranberry,1
crime,2
crisis,3
criticism,1
crocodile,1
crown,2
cucumber,1
cup,1
curfew,6
dad,2
dagger,1
damage,2
danger,2
darkness,2
