word,rating
line,6
skill,2
nose,7
knowledge,1
information,1
rainbow,7
ownership,1
faith,1
affection,2
zoo,6
correspondent,3
rebel,4
moonlight,7
photo,7
opportunity,1
anger,2
coupon,6
adventurer,4
fabric,7
itch,3
character,2
cat,7
crisis,2
danger,2
sneeze,4
identification,3
writing,6
behavior,2
tendency,1
burner,6
baby,7
variety,2
mansion,7
uncle,6
macaroni,7
prediction,1
mud,7
engagement,3
square,7
odor,2
window,7
route,4
tide,6
location,3
resort,6
destiny,1
preference,1
helmet,7
occasion,1
outcome,1
unity,2
deduction,1
fate,1
safety,2
cottage,7
irony,1
fear,2
horse,7
onion,7
peace,2
cake,7
opinion,1
bandit,5
imagination,2
tradition,2
belief,1
method,1
menu,6
measure,3
importance,1
propeller,7
park,6
development,1
escape,2
kitten,7
volcano,7
consistency,1
diamond,7
promotion,2
pillow,7
confidence,1
literature,4
incentive,1
ally,3
donor,3
magic,3
arrangement,3
boulder,7
produce,6
independence,1
autumn,7
honesty,1
island,7
love,2
poll,3
entrance,6
pest,5
shortness,2
suspect,3
example,1
cowardice,1
alley,7
opera,5
thief,4
factory,7
charter,3
lobster,7
peacemaker,3
combination,2
liar,3
degree,2
size,3
duck,7
fisherman,6
heresy,1
significance,1
vocabulary,2
guess,1
murder,3
bridge,7
boy,7
microscope,7
lisp,2
university,6
lily,7
fight,4
opposition,2
ditch,7
preparation,2
chicken,7
sow,6
salad,7
betrayal,1
mercy,1
street,7
dimension,3
calendar,6
income,1
fog,7
originality,1
curfew,1
weather,6
music,2
willingness,1
rent,1
bed,7
underworld,3
wish,1
starch,4
wallet,7
volume,4
grief,2
elephant,7
explanation,1
miracle,2
idiom,1
episode,2
announcement,2
past,1
station,6
riot,5
soul,1
effect,1
selection,2
bullet,7
stick,7
proportion,3
property,5
memory,2
contract,4
intention,1
lens,7
assumption,1
recognition,1
youth,4
silence,1
cloth,7
performance,4
recital,4
master,3
salary,1
ankle,7
mother,6
foundation,4
story,2
cucumber,7
availability,1
nurse,6
metaphor,1
grass,7
brother,6
handkerchief,7
comprehension,1
banana,7
television,7
snow,7
amount,2
suit,7
neck,7
clearance,2
standard,1
legality,1
convergence,2
art,6
trumpet,7
diet,2
institute,5
appeal,1
costume,7
prop,6
proof,2
oven,7
candy,7
contempt,1
ceremony,5
eyeball,7
dentist,6
suggestion,1
beauty,4
waste,4
chocolate,7
shirt,7
cause,1
integrity,1
hog,7
nation,2
lamb,7
conscience,1
chlorine,3
extent,1
drama,2
anxiety,2
design,5
record,4
cranberry,7
money,7
mustard,7
calculation,2
protection,2
leadership,2
adversity,1
skin,7
snake,7
mold,6
effort,1
increase,1
subtraction,2
duration,1
description,2
member,3
dynasty,2
revenge,2
production,2
skull,7
mile,3
necessity,1
ambition,1
branch,7
child,7
enemy,3
identity,2
potato,7
professor,6
mosquito,7
doctor,6
artist,5
girl,7
crocodile,7
job,1
debt,1
missile,7
palace,7
tension,2
food,6
issue,1
church,7
assistance,1
supply,3
mankind,4
stranger,4
composer,4
idea,1
appointment,2
decision,1
drum,7
chance,1
hierarchy,2
manner,1
spirit,2
bolt,7
hatred,1
show,4
conclusion,1
pig,7
lion,7
retention,1
interaction,2
tax,1
midnight,4
bracelet,7
specialist,3
risk,1
physics,2
roof,7
frog,7
grandmother,6
body,7
circuit,5
dad,6
bet,1
camera,7
impairment,1
site,5
animal,7
equality,1
poetry,3
boredom,1
response,1
coffee,7
want,1
nerve,4
corn,7
play,3
trust,1
orchestra,6
wisdom,1
inch,4
duty,1
industry,3
limitation,1
hurt,2
capacity,2
car,7
ocean,7
injury,4
radio,7
misery,1
butter,7
chipmunk,7
reflex,2
incident,2
father,6
hospital,7
unit,2
origin,1
translation,2
envy,1
mystery,2
entree,6
reality,2
principle,1
holiday,3
logic,1
arrow,7
sedative,4
kite,7
guide,3
arc,6
boundary,4
forest,7
uniform,7
blood,7
paradigm,1
alligator,7
clothing,7
message,3
mileage,2
rule,1
insight,1
medicine,6
dove,7
aspect,1
hope,1
moral,1
acquisition,1
hat,7
object,6
sadness,2
sofa,7
quality,1
leader,4
tragedy,2
corporation,3
disaster,3
state,2
second,1
rhyme,1
uncertainty,1
time,1
brute,4
gender,2
assault,3
door,7
requirement,1
beverage,6
majority,2
circumstance,1
policeman,7
beetle,7
accumulation,2
bell,7
stride,4
lizard,7
addition,1
fallacy,1
summer,5
city,7
group,4
bubble,7
exception,1
puddle,7
lock,7
presence,2
jacket,7
lake,7
introduction,2
water,7
payment,2
diversity,2
regret,1
distraction,2
football,7
figure,5
eagle,7
stupidity,1
vapor,5
psalm,2
accident,4
pyramid,7
consideration,1
distance,4
refrigerator,7
brawl,4
orchid,7
ball,7
topic,1
situation,1
peach,7
flavor,2
genuine,1
hurricane,6
bird,7
ballot,6
reinforcement,2
duel,4
parish,3
edge,5
sole,5
malice,1
winter,6
caterpillar,7
tip,5
teacher,5
scent,2
towel,7
sky,7
obstruction,4
dagger,7
wave,7
satisfaction,1
irrigation,5
reputation,1
division,2
crime,2
fact,1
electricity,3
verse,2
pie,7
complication,1
coffin,7
hobby,2
loan,1
pretense,1
territory,4
knife,7
desk,7
economy,1
saloon,6
ambulance,7
benefactor,3
event,2
dozen,2
replacement,2
photograph,7
pawn,6
woman,7
pond,7
owner,3
tree,7
determination,1
context,1
grasshopper,7
guilt,1
attempt,1
month,1
traveler,5
marriage,3
dilemma,1
bedroom,7
jerk,3
math,2
freedom,1
inn,6
three,3
acre,4
band,5
eight,2
lane,6
butterfly,7
iron,7
cognition,1
democracy,1
annoyance,1
victim,3
heart,6
twig,7
disappointment,1
spelling,2
admiration,1
fifteen,2
leopard,7
punishment,2
instance,1
coincidence,1
hotel,7
latch,7
heap,6
toilet,7
abundance,2
myth,2
charity,2
difference,1
specimen,5
instinct,1
