word,rating
lake,3
ambition,2
chance,2
individual,2
apology,3
opponent,2
boredom,2
cowardice,2
beetle,2
silence,4
bet,2
animal,3
coupon,1
faith,2
liar,2
lip,2
tongue,3
originality,2
ankle,2
potato,2
accumulation,2
outfit,2
chair,2
cognition,2
station,3
disaster,3
real,2
dilemma,2
scene,2
ally,2
ownership,2
theory,2
reinforcement,2
puppy,4
guide,2
damage,2
circumstance,2
state,2
response,2
key,3
boat,3
degree,2
crown,2
myth,2
blood,2
deduction,2
forest,3
latch,3
tune,7
show,3
interior,2
starch,2
mankind,2
infection,2
fabric,2
wood,2
tragedy,3
germ,2
iron,2
spider,2
calendar,2
affection,2
photograph,2
territory,2
incident,2
vapor,2
dentist,4
sword,3
flavor,2
clean,2
consistency,2
appeal,2
identification,2
fact,2
route,2
linen,2
macaroni,2
skin,2
stride,3
writing,2
roof,2
menu,2
division,2
value,2
suit,2
lamp,2
personality,2
contract,2
cloth,2
amount,2
intention,2
magic,3
confidence,2
duration,2
sandal,2
thing,2
mattress,2
addition,2
newspaper,3
opposition,2
leopard,2
pigeon,4
clearance,2
opinion,2
play,4
heart,4
irrigation,3
clothing,2
distance,2
fate,2
calculation,2
number,2
wisdom,2
vocabulary,2
talent,3
character,2
nose,2
salad,2
tree,2
risk,2
definition,2
ditch,2
hobby,2
adversity,2
inn,2
butter,2
pyramid,2
tomato,2
riot,4
independence,2
itch,2
temple,2
teacher,3
brain,2
occupation,2
ignition,3
suspect,2
costume,2
door,3
necessity,2
equality,2
orchid,2
bag,2
dove,3
chlorine,2
reflex,2
conference,3
result,2
helmet,2
beauty,2
shortness,2
verse,4
exception,2
bird,4
circuit,2
queen,2
charter,2
principle,2
music,7
want,2
relief,2
moral,2
jerk,2
metaphor,2
scent,2
girl,2
tradition,2
development,2
crisis,2
bubble,4
camera,2
pond,3
decision,2
job,2
frustration,2
error,2
student,2
reputation,2
fear,2
tool,2
shrimp,2
refrigerator,3
empty,2
kindness,2
impairment,2
wish,2
alligator,3
moment,2
injury,2
master,2
file,2
factory,3
body,2
weight,2
tide,3
lemon,2
television,4
coffin,2
admiration,2
tip,2
complication,2
shock,3
past,2
park,3
line,2
nerve,2
income,2
specialist,2
lesson,2
cause,2
squeak,7
insight,2
hotel,3
peacemaker,2
law,2
conscience,2
misery,2
dimension,2
pill,2
alley,3
banana,2
pest,2
debt,2
march,5
justice,2
sanctuary,2
meeting,3
cucumber,2
