word,rating
line,2
skill,1
nose,2
knowledge,1
information,1
rainbow,7
ownership,1
faith,1
affection,1
zoo,2
correspondent,1
rebel,1
moonlight,3
photo,3
opportunity,1
anger,2
coupon,1
adventurer,1
fabric,3
itch,1
character,1
cat,2
crisis,1
danger,1
sneeze,1
identification,1
writing,1
behavior,1
tendency,1
burner,2
baby,2
variety,2
mansion,2
uncle,1
macaroni,3
prediction,1
mud,4
engagement,2
square,2
odor,1
window,2
route,1
tide,2
location,1
resort,2
destiny,1
preference,1
helmet,2
occasion,1
outcome,1
unity,1
deduction,1
fate,1
safety,1
cottage,2
irony,1
fear,1
horse,3
onion,3
peace,2
cake,3
opinion,1
bandit,1
imagination,2
tradition,1
belief,1
method,1
menu,2
measure,1
importance,1
propeller,1
park,3
development,1
escape,1
kitten,2
volcano,3
consistency,1
diamond,5
promotion,1
pillow,2
confidence,1
literature,1
incentive,1
ally,1
donor,1
magic,3
arrangement,1
boulder,2
produce,4
independence,1
autumn,6
honesty,1
island,3
love,2
poll,1
entrance,1
pest,1
shortness,1
suspect,1
example,1
cowardice,1
alley,2
opera,1
thief,1
factory,2
charter,1
lobster,4
peacemaker,1
combination,1
liar,1
degree,1
size,1
duck,3
fisherman,2
heresy,1
significance,1
vocabulary,1
guess,1
murder,1
bridge,2
boy,1
microscope,2
lisp,1
university,1
lily,5
fight,1
opposition,1
ditch,2
preparation,1
chicken,3
sow,2
salad,4
betrayal,1
mercy,1
street,2
dimension,1
calendar,2
income,1
fog,3
originality,1
curfew,1
weather,3
music,1
willingness,1
rent,1
bed,2
underworld,1
wish,1
starch,2
wallet,2
volume,1
grief,1
elephant,3
explanation,1
miracle,1
idiom,1
episode,1
announcement,1
past,1
station,2
riot,1
soul,1
effect,1
selection,1
bullet,2
stick,2
proportion,1
property,1
memory,1
contract,1
intention,1
lens,2
assumption,1
recognition,1
youth,1
silence,1
cloth,3
performance,1
recital,1
master,1
salary,1
ankle,2
mother,1
foundation,1
story,1
cucumber,4
availability,1
nurse,2
metaphor,1
grass,5
brother,1
handkerchief,2
comprehension,1
banana,5
television,2
snow,4
amount,1
suit,2
neck,2
clearance,1
standard,1
legality,1
convergence,1
art,5
trumpet,2
diet,1
institute,1
appeal,1
costume,3
prop,1
proof,1
oven,2
candy,4
contempt,1
ceremony,1
eyeball,2
dentist,1
suggestion,1
beauty,3
waste,1
chocolate,4
shirt,3
cause,1
integrity,1
hog,2
nation,1
lamb,2
conscience,1
chlorine,2
extent,1
drama,1
anxiety,1
design,4
record,1
cranberry,5
money,2
mustard,5
calculation,1
protection,1
leadership,1
adversity,1
skin,2
snake,3
mold,3
effort,1
increase,1
subtraction,1
duration,1
description,1
member,1
dynasty,1
revenge,1
production,1
skull,2
mile,1
necessity,1
ambition,1
branch,3
child,1
enemy,1
identity,1
potato,3
professor,1
mosquito,2
doctor,1
artist,3
girl,2
crocodile,3
job,1
debt,1
missile,1
palace,3
tension,1
food,2
issue,1
church,2
assistance,1
supply,1
mankind,1
stranger,1
composer,1
idea,1
appointment,1
decision,1
drum,2
chance,1
hierarchy,1
manner,1
spirit,1
bolt,2
hatred,1
show,2
conclusion,1
pig,3
lion,3
retention,1
interaction,1
tax,1
midnight,2
bracelet,3
specialist,1
risk,1
physics,1
roof,2
frog,4
grandmother,1
body,2
circuit,1
dad,1
bet,1
camera,2
impairment,1
site,1
animal,2
equality,1
poetry,1
boredom,1
response,1
coffee,4
want,1
nerve,1
corn,4
play,1
trust,1
orchestra,1
wisdom,1
inch,1
duty,1
industry,1
limitation,1
hurt,1
capacity,1
car,2
ocean,4
injury,1
radio,1
misery,1
butter,4
chipmunk,3
reflex,1
incident,1
father,1
hospital,2
unit,1
origin,1
translation,1
envy,2
mystery,1
entree,2
reality,1
principle,1
holiday,3
logic,1
arrow,2
sedative,1
kite,4
guide,1
arc,2
boundary,1
forest,4
uniform,3
blood,4
paradigm,1
alligator,3
clothing,3
message,1
mileage,1
rule,1
insight,1
medicine,1
dove,3
aspect,1
hope,2
moral,1
acquisition,1
hat,3
object,1
sadness,2
sofa,3
quality,1
leader,1
tragedy,1
corporation,1
disaster,1
state,1
second,1
rhyme,1
uncertainty,1
time,1
brute,1
gender,1
assault,1
door,2
requirement,1
beverage,2
majority,1
circumstance,1
policeman,2
beetle,3
accumulation,1
bell,2
stride,1
lizard,3
addition,1
fallacy,1
summer,4
city,2
group,1
bubble,3
exception,1
puddle,3
lock,2
presence,1
jacket,3
