word,rating
truth,4
legality,2
drug,3
stranger,4
band,3
hotel,2
material,1
lesson,3
victim,5
extent,1
burner,1
suggestion,3
dagger,3
site,1
consequence,3
thing,1
degree,1
unity,5
duty,4
combination,1
guess,3
tool,1
incentive,3
anger,7
manner,3
satisfaction,7
supply,1
bag,1
paragraph,1
neighborhood,3
trust,7
philosophy,3
route,1
father,6
wolf,2
vocabulary,1
incident,2
teacher,4
contract,2
factory,1
rabbit,2
reality,3
territory,2
chief,3
salary,2
outcome,2
past,4
assumption,3
institute,1
chicken,2
street,2
willingness,5
reinforcement,2
crocodile,1
diet,2
bet,3
entree,1
fog,2
rule,2
example,2
moment,4
uncle,4
deputy,2
cow,1
result,1
coincidence,3
thorn,2
fat,2
occasion,3
mile,1
advantage,3
rent,2
time,3
spirit,6
corporation,1
helmet,1
composer,3
distance,3
engagement,5
duel,4
gender,3
individual,3
specialist,2
mankind,4
sky,3
gesture,4
cliff,2
line,1
tree,1
promotion,3
donor,3
acquisition,1
leader,4
replacement,1
flask,1
obstruction,2
pest,2
confidence,6
episode,2
show,2
hurricane,2
eight,1
calendar,1
bank,1
meeting,2
necklace,2
opposition,3
miracle,5
peach,1
christmas,5
vision,4
tension,5
odor,2
inch,1
perception,4
appointment,2
cocktail,2
blade,2
truck,1
peacemaker,5
marriage,6
chair,1
cranberry,1
payment,1
belief,5
microscope,1
significance,3
speech,4
cause,3
loan,2
entrance,2
lock,2
tennis,1
bed,2
retention,1
skunk,1
silence,4
coffee,2
scholar,2
holiday,3
paradigm,1
river,2
limitation,3
volt,1
description,1
bird,2
diversity,3
salad,1
trumpet,2
child,6
march,2
stride,2
apology,6
boulder,1
fallacy,2
shortness,2
knowledge,3
kite,2
diamond,3
starch,1
hat,1
pimple,2
advice,5
costume,2
mileage,1
exception,2
mud,1
skin,2
brevity,2
blood,4
record,1
puppy,4
heap,1
lobster,1
robbery,4
spelling,1
stapler,1
fabric,1
vapor,1
poll,1
road,1
handkerchief,2
stick,1
hospital,3
job,2
grammar,1
radio,1
irrigation,1
genuine,3
location,1
personality,6
waste,2
darkness,4
island,2
guilt,7
pie,1
difference,2
mastery,3
bullet,2
insight,4
metaphor,3
lunch,1
faith,7
midnight,3
typewriter,1
bolt,1
wood,1
disappointment,7
ignition,1
quality,2
conclusion,2
ballot,2
bracelet,2
propeller,1
hierarchy,2
escape,4
definition,1
grasshopper,1
identity,5
skull,3
preference,3
temple,3
nose,2
interruption,3
item,1
mold,1
disagreement,5
zoo,2
cucumber,1
mother,7
crime,4
electricity,1
friendship,7
sight,3
sister,6
value,4
atrocity,5
ignorance,5
establishment,1
sow,1
charity,6
shame,7
woman,4
tradition,4
arc,1
refrigerator,1
sedative,2
safety,3
murder,5
fantasy,4
mustard,1
grandmother,6
liar,5
coupon,1
nation,3
animal,2
knife,3
reason,3
intention,4
honesty,6
uniform,2
protection,4
pool,1
addition,1
story,4
awareness,4
adventurer,3
fireplace,3
state,1
frog,1
performance,3
squeak,1
mansion,2
station,1
emergence,2
edge,2
division,2
issue,3
betrayal,7
linen,1
potato,1
grass,1
roof,1
kitten,4
punishment,5
bottle,1
sandal,1
number,1
irony,4
riddle,3
pretense,4
consideration,4
category,1
lisp,2
chance,3
queen,3
origin,2
brute,3
calculation,1
jerk,4
adversity,5
logic,2
majority,2
claim,2
selection,1
flavor,2
measure,1
ceiling,1
oven,1
apple,1
independence,5
affection,7
hurt,7
loafer,2
underworld,3
improvement,3
tip,2
method,1
view,2
name,3
translation,1
member,2
lake,2
macaroni,1
corpse,3
intelligence,3
alley,2
rainbow,4
love,7
beetle,1
ally,4
leopard,1
injury,4
uncertainty,4
justification,3
tendency,2
attitude,5
context,1
lemon,1
twig,1
aspect,1
door,1
menu,1
impairment,3
pond,1
water,1
capacity,1
self,5
figure,2
snow,2
moral,5
duck,1
cake,2
dentist,2
riot,4
risk,3
clothing,1
attempt,3
destiny,5
margin,1
brain,3
design,1
rhyme,2
exclusion,4
brawl,4
youth,4
prop,1
situation,2
peace,6
resort,2
explanation,2
effect,1
presence,4
gun,3
effort,4
disaster,4
park,2
horse,2
television,1
imagination,5
thought,5
sole,2
candy,2
unit,1
heart,7
damage,3
real,2
complication,3
comparison,2
germ,1
poetry,5
car,1
hope,7
tomato,1
writing,3
fight,5
arrangement,2
jewel,3
ditch,1
theory,1
debt,3
tide,2
stupidity,4
criticism,5
city,2
recital,2
mind,5
eyeball,2
lettuce,1
opportunity,3
corn,1
football,2
worry,7
beauty,6
phenomenon,2
talent,4
property,1
interior,1
revenge,6
convergence,1
appeal,4
impossibility,3
bandit,3
sugar,1
possibility,3
boundary,2
literature,3
landscape,2
announcement,2
shock,5
elephant,2
identification,1
kindness,7
permission,3
bridge,3
circumstance,2
clearance,1
steam,1
cognition,2
nerve,4
moonlight,4
mountain,2
skill,2
comprehension,2
robin,2
lizard,1
hazard,2
distraction,3
missile,2
food,2
instructor,2
professor,2
mosquito,1
attention,4
clean,2
physics,1
winter,3
master,3
information,1
misery,7
scent,3
second,1
medicine,2
construction,1
dozen,1
alligator,1
decision,4
snake,2
cup,1
owner,2
forest,2
mystery,4
regulation,1
dimension,1
circuit,1
responsibility,5
duration,1
play,3
volume,1
visitor,2
fate,5
suspect,3
competence,2
gorilla,2
magic,4
itch,2
prediction,2
contempt,6
leadership,4
reduction,1
importance,3
annoyance,6
parish,2
hog,1
curfew,2
group,2
baby,6
fear,7
lens,1
idea,3
suit,1
pile,1
accumulation,1
dynasty,2
camera,1
interaction,3
empty,3
stimulus,2
production,1
butter,1
object,1
integrity,6
drum,2
core,1
lily,2
latch,1
conference,2
shirt,1
ankle,2
girl,5
