word,rating
lake,1
ambition,4
chance,2
individual,3
apology,5
opponent,2
boredom,1
cowardice,5
beetle,1
silence,2
bet,3
animal,1
coupon,1
faith,6
liar,6
lip,1
tongue,1
originality,3
ankle,1
potato,1
accumulation,1
outfit,1
chair,1
cognition,2
station,1
disaster,2
real,2
dilemma,4
scene,1
ally,3
ownership,3
theory,2
reinforcement,2
puppy,1
guide,3
damage,2
circumstance,2
state,2
response,2
key,2
boat,1
degree,2
crown,2
myth,2
blood,2
deduction,2
forest,1
latch,1
tune,1
show,1
interior,1
starch,1
mankind,4
infection,1
fabric,1
wood,1
tragedy,3
germ,1
iron,1
spider,1
calendar,1
affection,3
photograph,1
territory,2
incident,2
vapor,1
dentist,1
sword,2
flavor,1
clean,3
consistency,3
appeal,3
identification,2
fact,3
route,1
linen,1
macaroni,1
skin,1
stride,1
writing,2
roof,1
menu,1
division,2
value,5
suit,1
lamp,1
personality,3
contract,5
cloth,1
amount,1
intention,4
magic,1
confidence,3
duration,1
sandal,1
thing,1
mattress,1
addition,1
newspaper,1
opposition,3
leopard,1
pigeon,1
clearance,2
opinion,3
play,1
heart,3
irrigation,1
clothing,1
distance,1
fate,3
calculation,1
number,1
wisdom,5
vocabulary,1
talent,3
character,4
nose,1
salad,1
tree,1
risk,3
definition,2
ditch,1
hobby,1
adversity,3
inn,1
butter,1
pyramid,1
tomato,1
riot,4
independence,5
itch,1
temple,4
teacher,4
brain,1
occupation,2
ignition,1
suspect,4
costume,1
door,1
necessity,3
equality,6
orchid,1
bag,1
dove,2
chlorine,1
reflex,1
conference,2
result,2
helmet,1
beauty,2
shortness,1
verse,2
exception,3
bird,1
circuit,1
queen,2
charter,4
principle,6
music,1
want,2
relief,2
moral,7
jerk,4
metaphor,1
scent,1
girl,1
tradition,5
development,2
crisis,3
bubble,1
camera,1
pond,1
decision,4
job,2
frustration,2
error,3
student,2
reputation,4
fear,3
tool,1
shrimp,1
refrigerator,1
empty,1
kindness,5
impairment,1
wish,2
alligator,1
moment,1
injury,2
master,3
file,1
factory,1
body,2
weight,1
tide,1
lemon,1
television,1
coffin,2
admiration,3
tip,2
complication,2
shock,1
past,2
park,1
line,1
nerve,1
income,3
specialist,1
lesson,4
cause,3
squeak,1
insight,3
hotel,1
peacemaker,5
law,7
conscience,7
misery,2
dimension,1
pill,1
alley,1
banana,1
pest,1
debt,4
march,2
justice,7
sanctuary,4
meeting,2
cucumber,1
expression,2
opera,1
significance,3
intelligence,3
object,1
tallness,1
grasshopper,1
purpose,4
mosquito,1
assault,6
pillow,1
anxiety,2
hope,4
fountain,1
benefactor,4
love,4
drum,1
stimulus,1
beverage,1
mountain,1
capacity,1
awareness,3
danger,3
raspberry,1
reality,2
acquisition,2
snow,1
appointment,2
ocean,1
wave,1
composer,1
guilt,6
payment,3
jacket,1
city,1
lamb,2
retention,1
requirement,3
miracle,3
segment,1
oven,1
kitten,1
trust,5
flask,1
preparation,2
imagination,2
bridge,2
towel,1
coincidence,1
context,2
hospital,2
article,1
mercy,6
rabbit,1
spirit,4
rebel,4
interruption,2
design,1
criticism,3
duty,7
fog,1
peach,1
professor,2
friendship,4
cup,1
length,1
form,1
lunch,1
square,1
empire,3
pimple,1
shirt,1
pile,1
abundance,2
visitor,1
responsibility,7
location,1
corporation,2
literature,2
laundry,1
landscape,1
eagle,2
presence,2
tendency,2
construction,1
regulation,6
rocket,1
church,5
doctor,2
topic,1
midnight,1
conclusion,2
neck,1
car,1
fat,1
volume,1
story,1
physics,1
security,3
hog,1
name,1
lens,1
cow,1
chipmunk,1
christmas,3
possibility,2
suggestion,2
fallacy,3
robbery,6
assistance,3
distribution,1
skill,2
stranger,2
record,1
instructor,2
mold,1
occasion,1
hurricane,1
medicine,2
cocktail,1
institute,2
pig,1
guess,1
uncle,1
owner,2
hazard,2
desk,1
apple,1
pie,1
convergence,1
ability,2
democracy,5
grief,2
bed,1
fantasy,1
bolt,1
material,1
issue,3
rent,3
belief,5
rhyme,1
hat,1
variety,1
consideration,3
wage,3
arrow,1
identity,4
advice,3
corpse,2
contempt,4
message,2
math,1
paradigm,2
lightning,1
necklace,1
idea,2
assumption,2
future,2
bracelet,1
despair,3
stupidity,3
skunk,1
cat,1
size,1
method,2
pawn,3
laughter,1
cottage,1
ambulance,1
puddle,1
industry,2
effect,1
crocodile,1
proof,3
waste,3
immortality,3
economy,3
property,3
chocolate,1
scholar,2
incentive,3
coffee,1
tension,2
consequence,5
lobster,1
opportunity,2
uncertainty,2
volt,1
cake,1
justification,5
self,3
safety,4
fireplace,1
grammar,3
leader,4
establishment,3
irony,2
poll,2
fisherman,1
season,1
lane,1
odor,1
event,1
thief,5
saloon,1
extent,1
introduction,1
caterpillar,1
grandmother,2
entree,1
category,1
idiom,1
arc,1
winter,1
explanation,2
moonlight,1
figure,1
shark,1
hurt,3
member,2
riddle,1
adventurer,2
worry,2
accident,2
rainbow,1
emergence,1
mud,1
comprehension,2
lily,1
edge,1
behavior,5
stick,1
mustard,1
helplessness,2
zoo,1
loafer,1
perception,2
protection,4
hatred,5
typewriter,1
effort,3
soul,5
boulder,1
candidate,3
window,1
snake,2
art,2
promotion,2
cliff,1
item,1
sedative,1
lettuce,1
supply,1
spelling,2
logic,3
majority,3
denial,4
weather,1
malice,5
street,1
month,1
betrayal,6
exclusion,4
advantage,2
holiday,2
twig,1
competence,3
duck,1
mystery,1
temperature,1
water,1
impossibility,1
truck,1
toilet,1
reduction,1
foundation,3
handkerchief,1
time,2
wallet,1
steam,1
gender,4
bottle,1
dagger,3
university,2
orchestra,1
eight,1
onion,1
disagreement,3
ignorance,4
witness,4
cranberry,1
produce,1
kite,1
grass,1
preference,2
radio,1
leadership,4
microscope,1
prediction,1
donor,3
sofa,1
sister,1
entrance,1
deputy,3
woman,2
trumpet,1
acre,1
heap,1
magnitude,1
republic,4
manner,4
poetry,1
mastery,2
willingness,3
memory,2
tennis,1
hierarchy,3
group,2
second,1
salary,3
baby,1
fight,3
rule,7
regret,5
increase,1
