word,rating
candidate,1
irrigation,1
democracy,1
snow,1
announcement,1
neighborhood,1
music,2
crown,1
identity,3
midnight,1
hurt,2
adventurer,3
comparison,1
arrow,2
method,1
segment,1
disappointment,2
specialist,1
majority,1
lily,1
rainbow,1
iron,1
relief,2
bolt,1
riot,2
stride,5
hope,2
shortness,1
ally,1
economy,1
ditch,1
stimulus,1
justification,1
pie,1
clearance,1
sight,1
ambulance,1
blood,1
pile,1
limitation,1
abundance,1
outcome,1
regulation,1
cake,1
macaroni,1
twig,1
cognition,2
beast,1
grammar,1
duty,1
standard,1
talent,2
roof,1
lens,1
student,1
worry,2
instinct,3
guess,2
second,1
nation,1
uniform,1
cranberry,1
route,2
ignition,1
occupation,1
separation,1
linen,1
view,1
speech,3
obstruction,1
soul,2
grandmother,1
dove,1
sofa,1
regret,2
suit,1
frustration,2
disaster,1
skin,1
football,3
appeal,1
integrity,2
adversity,1
memory,2
skull,1
station,1
fate,1
consequence,1
attempt,3
raspberry,1
university,1
cloth,1
cup,1
context,1
poetry,2
candy,1
mileage,1
liar,1
trust,1
oven,1
key,1
traveler,3
mustard,1
admiration,1
sadness,2
accumulation,1
conscience,2
rabbit,1
fireplace,1
bridge,1
measure,1
costume,1
intention,2
menu,1
deduction,1
window,1
loafer,1
butter,1
convergence,1
fight,3
winter,1
verse,1
advice,1
form,1
immortality,1
engagement,1
mind,3
trumpet,2
margin,1
puddle,1
amplitude,1
orchid,1
scene,1
reflex,4
interior,1
empire,1
insight,2
aspect,1
denial,1
grasshopper,1
stapler,1
tallness,1
cause,1
article,1
opposition,1
introduction,1
retention,1
pretense,1
capacity,1
pigeon,1
silence,1
boy,1
mastery,3
definition,1
grief,2
replacement,1
quality,1
skill,4
affection,2
thorn,1
reality,1
banana,1
leader,1
danger,1
self,4
edge,1
lunch,1
laughter,3
myth,1
pawn,1
reputation,1
dozen,1
dagger,1
donor,1
duel,2
arc,1
temple,1
shame,2
victim,1
deceit,1
dad,1
paradigm,1
proof,1
charity,1
vocabulary,1
brother,1
pillow,1
propeller,1
significance,1
rule,1
friendship,1
weight,2
suspect,1
marriage,1
episode,1
determination,3
photo,1
landscape,1
shape,1
rhyme,1
situation,1
love,2
synagogue,1
moral,1
object,1
opinion,2
miracle,1
beaver,1
march,4
fat,1
income,1
requirement,1
sanctuary,1
lobster,1
palace,1
bank,1
pig,1
moonlight,1
coffee,1
core,1
competence,2
wood,1
salary,1
cow,1
protection,1
woman,1
brain,2
television,1
justice,1
brawl,2
unity,1
nose,2
wave,3
mankind,1
interruption,1
bottle,1
spelling,1
lizard,1
foundation,1
hurricane,1
professor,1
institute,1
sugar,1
helplessness,1
purpose,2
lane,2
territory,1
contract,1
coffin,1
bird,1
physics,1
proportion,1
line,1
salad,1
consistency,1
development,1
holiday,1
exclusion,1
event,1
jewel,1
promotion,1
acre,1
pest,1
availability,1
gender,1
fantasy,1
shock,2
performance,3
phenomenon,1
uncertainty,1
weather,1
reinforcement,1
time,1
necessity,1
towel,1
saloon,1
permission,1
category,1
bandit,1
doctor,1
diet,1
tide,1
heresy,1
length,1
policeman,1
magic,1
apple,1
unit,1
queen,1
mystery,1
emergence,1
republic,1
contempt,1
law,1
baby,1
starch,1
radio,1
kitten,1
description,1
eagle,1
preference,2
theory,1
variety,1
group,1
alley,1
burner,1
material,1
darkness,1
mile,2
toilet,1
medicine,1
security,1
lemon,1
bed,1
distance,2
file,1
kite,2
fear,2
suggestion,1
robin,1
ocean,1
cat,1
germ,1
art,2
eight,1
individual,1
nurse,1
correspondent,1
claim,1
butterfly,1
duck,1
lamb,1
horse,1
mansion,1
real,1
missile,1
effect,1
truth,1
incentive,1
border,1
diamond,1
beauty,1
guide,2
drum,3
logic,1
assumption,1
infection,1
lock,1
explanation,1
thing,1
benefactor,1
bag,1
reason,1
fog,1
establishment,1
gesture,5
vapor,1
increase,1
mercy,1
tendency,1
destiny,1
figure,1
pyramid,1
translation,1
autumn,1
entrance,1
atrocity,1
lamp,1
squeak,1
risk,2
occasion,1
road,2
ignorance,1
difference,1
mosquito,1
street,2
boredom,1
peace,1
grass,1
location,1
knife,1
calculation,1
opportunity,2
season,1
wolf,1
neck,2
extent,1
typewriter,1
shark,1
reduction,1
branch,1
empty,1
heart,2
chicken,1
malice,1
zoo,1
beetle,1
band,1
lisp,1
interaction,2
owner,1
cowardice,1
corporation,1
incident,1
parish,1
site,1
identification,1
bracelet,1
mud,1
christmas,1
evidence,1
produce,1
park,1
anxiety,2
cucumber,1
coupon,1
dentist,1
lettuce,1
prop,1
guilt,2
leopard,1
imagination,3
ankle,3
conference,1
impairment,1
lip,2
tension,2
father,1
pill,1
duration,1
teacher,1
faith,1
handkerchief,1
microscope,1
eyeball,1
construction,1
camera,1
want,2
boat,1
animal,1
future,1
alphabet,1
onion,1
ambition,2
degree,1
sword,2
church,1
exception,1
supply,1
accident,1
wage,1
calendar,1
laundry,1
industry,1
manner,1
hazard,1
peach,1
philosophy,1
behavior,2
misery,1
response,2
fallacy,1
specimen,1
state,1
thought,2
belief,1
ballot,1
opponent,1
show,1
independence,2
temperature,1
blade,1
satisfaction,2
corn,1
alligator,1
literature,1
metaphor,1
youth,1
bullet,1
charter,1
car,1
mold,1
principle,1
circumstance,1
property,1
wish,2
conclusion,1
cocktail,1
division,1
mountain,1
volcano,1
item,1
stupidity,1
steam,1
anger,2
writing,3
leadership,2
rent,1
stranger,1
magnitude,1
hospital,1
river,1
photograph,1
opera,1
name,1
flask,1
appointment,1
rocket,1
escape,2
distraction,1
city,1
meeting,1
latch,1
nerve,2
robbery,1
instance,1
lesson,1
paragraph,1
vision,2
frog,1
sole,1
jacket,1
tradition,1
past,1
sister,1
payment,1
gun,1
size,1
curfew,1
food,1
tragedy,1
legality,1
hotel,1
mother,1
outfit,1
diversity,1
example,1
girl,1
issue,1
despair,1
three,1
job,1
waste,1
prediction,1
tree,1
selection,1
responsibility,2
skunk,1
psalm,1
presence,2
resort,1
month,1
effort,4
knowledge,2
tip,1
lake,1
ring,1
possibility,1
comprehension,1
injury,2
attention,2
door,1
confidence,3
refrigerator,1
value,1
math,1
chocolate,1
chair,1
clean,1
apology,1
acquisition,1
scent,1
irony,1
expression,3
enemy,1
mattress,1
necklace,1
potato,1
truck,1
factory,1
jerk,2
tune,2
island,1
combination,1
underworld,1
idiom,1
lightning,1
drama,1
bubble,1
honesty,2
sandal,1
murder,1
drug,1
ownership,1
willingness,2
body,3
visitor,1
boulder,1
preparation,2
cliff,1
production,1
sneeze,3
origin,1
message,1
itch,3
topic,1
wallet,1
cottage,1
lion,1
advantage,1
water,1
awareness,2
pimple,1
dimension,1
sow,1
sedative,1
character,1
kindness,1
deputy,1
rebel,2
beverage,1
revenge,2
odor,1
poll,1
hat,1
chipmunk,1
ceremony,1
summer,1
spider,1
decision,2
composer,2
safety,1
volume,1
scholar,1
consideration,1
crisis,1
hierarchy,1
impossibility,1
personality,2
fact,1
assault,2
assistance,1
brevity,1
puppy,1
accomplishment,3
boundary,1
betrayal,1
smell,1
result,1
chief,1
story,1
amount,1
coincidence,1
forest,1
attitude,2
shirt,1
damage,1
tongue,3
genuine,1
clothing,1
moment,1
corpse,1
volt,1
inch,1
child,1
bell,1
fountain,1
loan,1
chance,1
tomato,1
gorilla,1
chlorine,1
improvement,2
ability,4
electricity,1
information,1
bet,2
arrangement,1
tool,1
number,1
addition,1
tennis,3
freedom,2
design,1
atom,1
instructor,1
shrimp,1
crocodile,1
fifteen,1
bedroom,1
flavor,1
brute,1
member,1
entree,1
witness,1
intelligence,2
hatred,1
fabric,1
dynasty,1
ball,2
inn,1
artist,2
importance,1
punishment,1
uncle,1
dilemma,1
snake,1
idea,2
stick,1
caterpillar,1
ceiling,1
spirit,2
wisdom,1
hog,1
circuit,1
crime,1
subtraction,1
recognition,1
square,1
money,1
helmet,1
envy,1
debt,1
distribution,1
pool,1
sky,1
originality,2
thief,1
record,1
play,3
disagreement,1
newspaper,1
perception,2
recital,2
heap,1
tax,1
master,1
pond,1
peacemaker,1
annoyance,1
orchestra,2
elephant,1
equality,1
desk,1
fisherman,1
disgust,1
complication,1
hobby,2
criticism,1
riddle,1
error,1
