word,rating
ability,5
abundance,6
accident,5
accomplishment,6
accumulation,4
acquisition,4
acre,2
addition,2
admiration,6
advantage,5
adventurer,4
adversity,5
advice,5
affection,6
alley,3
alligator,3
ally,4
alphabet,2
ambition,5
ambulance,4
amount,2
amplitude,2
anger,6
animal,3
ankle,2
announcement,3
annoyance,5
anxiety,6
apology,5
appeal,4
apple,3
appointment,3
arc,2
arrangement,3
arrow,3
art,5
article,2
artist,4
aspect,2
assault,5
assistance,5
assumption,3
atom,2
atrocity,5
attempt,4
attention,4
attitude,4
autumn,4
availability,3
awareness,4
baby,6
bag,2
ball,3
ballot,3
banana,2
band,3
bandit,4
bank,3
beast,4
beauty,6
beaver,2
bed,3
bedroom,3
beetle,2
behavior,3
belief,5
bell,3
benefactor,4
bet,3
betrayal,6
beverage,2
bird,3
blade,3
blood,4
boat,3
body,4
bolt,2
border,3
boredom,5
bottle,2
boulder,2
boundary,3
boy,3
bracelet,2
brain,4
branch,2
brawl,4
brevity,2
bridge,3
brother,5
brute,4
bubble,2
bullet,4
burner,2
butter,2
butterfly,4
cake,4
calculation,2
calendar,2
camera,2
candidate,3
candy,4
capacity,2
car,3
cat,4
category,2
caterpillar,2
cause,3
ceiling,2
ceremony,3
chair,2
chance,4
character,4
charity,5
charter,2
chicken,2
chief,3
child,5
chipmunk,3
chlorine,2
chocolate,5
christmas,6
church,4
circuit,2
circumstance,3
city,3
claim,3
clean,4
clearance,2
cliff,3
cloth,2
clothing,2
cocktail,3
coffee,4
coffin,5
cognition,3
coincidence,3
combination,2
comparison,3
competence,4
complication,4
composer,3
comprehension,3
conclusion,3
conference,2
confidence,5
conscience,5
consequence,4
consideration,3
consistency,3
construction,2
contempt,5
context,2
contract,3
convergence,2
core,2
corn,2
corporation,2
corpse,5
correspondent,2
costume,2
cottage,3
coupon,2
cow,2
cowardice,5
cranberry,2
crime,5
crisis,5
criticism,5
crocodile,3
crown,3
cucumber,2
cup,2
curfew,3
dad,6
dagger,4
damage,5
danger,5
darkness,5
debt,5
deceit,5
decision,4
deduction,2
definition,2
degree,3
democracy,4
denial,4
dentist,4
deputy,2
description,2
design,3
desk,2
despair,6
destiny,5
determination,5
development,3
diamond,4
diet,4
difference,3
dilemma,4
dimension,2
disagreement,4
disappointment,6
disaster,5
disgust,6
distance,3
distraction,4
distribution,2
ditch,2
diversity,4
division,3
doctor,4
donor,4
door,2
dove,4
dozen,2
drama,4
drug,4
drum,3
duck,3
duel,4
duration,2
duty,4
dynasty,3
eagle,4
economy,3
edge,3
effect,2
effort,4
eight,2
electricity,2
elephant,3
emergence,3
empire,3
empty,4
enemy,5
engagement,4
entrance,2
entree,2
envy,6
episode,2
equality,5
error,4
escape,4
establishment,2
event,2
evidence,2
example,2
exception,2
exclusion,4
explanation,2
expression,4
extent,2
eyeball,2
fabric,2
fact,2
factory,2
faith,5
fallacy,3
fantasy,4
fat,4
fate,5
father,6
fear,6
fifteen,2
fight,5
figure,2
file,2
fireplace,4
fisherman,2
flask,2
flavor,3
fog,3
food,4
football,3
forest,3
form,2
foundation,3
fountain,3
freedom,6
friendship,6
frog,2
frustration,6
future,5
gender,3
genuine,4
germ,3
gesture,3
girl,3
gorilla,2
grammar,2
grandmother,6
grass,2
grasshopper,2
grief,6
group,2
guess,3
guide,3
guilt,6
gun,4
handkerchief,2
hat,2
hatred,6
hazard,4
heap,2
heart,6
helmet,2
helplessness,6
heresy,3
hierarchy,3
hobby,4
hog,2
holiday,5
honesty,5
hope,6
horse,3
hospital,4
hotel,2
hurricane,4
hurt,6
idea,4
identification,2
identity,4
idiom,2
ignition,2
ignorance,5
imagination,5
immortality,4
impairment,4
importance,4
impossibility,4
improvement,5
incentive,4
inch,2
incident,3
income,4
increase,3
independence,5
individual,3
industry,2
infection,4
information,2
injury,5
inn,2
insight,4
instance,2
instinct,3
institute,2
instructor,3
integrity,5
intelligence,5
intention,3
interaction,3
interior,2
interruption,4
introduction,2
iron,2
irony,3
irrigation,2
island,3
issue,3
itch,4
item,2
jacket,2
jerk,5
jewel,3
