word,rating
line,3
skill,2
nose,1
knowledge,2
information,2
rainbow,2
ownership,2
faith,2
affection,2
zoo,2
correspondent,1
rebel,1
moonlight,2
photo,1
opportunity,2
anger,2
coupon,2
adventurer,1
fabric,2
itch,1
character,2
cat,1
crisis,2
danger,2
sneeze,1
identification,2
writing,2
behavior,2
tendency,2
burner,1
baby,2
variety,4
mansion,4
uncle,1
macaroni,1
prediction,2
mud,2
engagement,2
square,4
odor,2
window,2
route,3
tide,3
location,2
resort,2
destiny,2
preference,2
helmet,2
occasion,2
outcome,2
unity,3
deduction,3
fate,2
safety,2
cottage,3
irony,2
fear,2
horse,2
onion,1
peace,2
cake,2
opinion,2
bandit,1
imagination,3
tradition,2
belief,2
method,2
menu,3
measure,5
importance,3
propeller,2
park,3
development,4
escape,2
kitten,1
volcano,3
consistency,3
diamond,3
promotion,3
pillow,2
confidence,3
literature,3
incentive,2
ally,1
donor,2
magic,2
arrangement,3
boulder,4
produce,3
independence,3
autumn,2
honesty,2
island,3
love,2
poll,3
entrance,2
pest,2
shortness,6
suspect,1
example,2
cowardice,2
alley,2
opera,2
thief,1
factory,3
charter,2
lobster,2
peacemaker,1
combination,3
liar,1
degree,5
size,7
duck,1
fisherman,1
heresy,2
significance,4
vocabulary,3
guess,2
murder,2
bridge,3
boy,2
microscope,2
lisp,1
university,3
lily,1
fight,2
opposition,3
ditch,3
preparation,3
chicken,2
sow,2
salad,2
betrayal,2
mercy,2
street,3
dimension,6
calendar,3
income,4
fog,2
originality,2
curfew,2
weather,2
music,2
willingness,2
rent,3
bed,2
underworld,2
wish,2
starch,2
wallet,2
volume,6
grief,2
elephant,5
explanation,2
miracle,2
idiom,2
episode,2
announcement,2
past,3
station,2
riot,3
soul,2
effect,3
selection,3
bullet,2
stick,2
proportion,6
property,3
memory,2
contract,2
intention,2
lens,2
assumption,2
recognition,2
youth,3
silence,2
cloth,2
performance,3
recital,2
master,2
salary,4
ankle,2
mother,2
foundation,3
story,2
cucumber,2
availability,3
nurse,1
metaphor,2
grass,3
brother,1
handkerchief,1
comprehension,2
banana,2
television,2
snow,3
amount,7
suit,2
neck,2
clearance,3
standard,3
legality,2
convergence,3
art,2
trumpet,2
diet,3
institute,2
appeal,2
costume,2
prop,2
proof,2
oven,2
candy,2
contempt,2
ceremony,2
eyeball,1
dentist,1
suggestion,2
beauty,2
waste,3
chocolate,2
shirt,2
cause,2
integrity,2
hog,2
nation,4
lamb,2
conscience,2
chlorine,2
extent,5
drama,2
anxiety,2
design,2
record,3
cranberry,1
money,5
mustard,1
calculation,4
protection,2
leadership,3
adversity,2
skin,2
snake,2
mold,2
effort,3
increase,6
subtraction,5
duration,5
description,2
member,2
dynasty,3
revenge,2
production,4
skull,2
mile,5
necessity,2
ambition,3
branch,3
child,2
enemy,2
identity,2
potato,2
professor,1
mosquito,1
doctor,1
artist,1
girl,2
crocodile,2
job,2
debt,4
missile,2
palace,4
tension,3
food,3
issue,3
church,3
assistance,2
supply,4
mankind,4
stranger,1
composer,1
idea,2
appointment,2
decision,2
drum,2
chance,2
hierarchy,3
manner,2
spirit,2
bolt,2
hatred,2
show,2
conclusion,2
pig,2
lion,3
retention,3
interaction,3
tax,4
midnight,2
bracelet,2
specialist,1
risk,3
physics,3
roof,2
frog,1
grandmother,1
body,3
circuit,2
dad,1
bet,2
camera,2
impairment,2
site,2
animal,2
equality,3
poetry,2
boredom,2
response,2
coffee,2
want,2
nerve,2
corn,2
play,2
trust,2
orchestra,3
wisdom,2
inch,6
duty,2
industry,4
limitation,4
hurt,2
capacity,5
car,2
ocean,5
injury,2
radio,2
misery,2
butter,2
chipmunk,1
reflex,2
incident,2
father,1
hospital,3
unit,4
origin,2
translation,2
envy,2
mystery,2
entree,2
reality,2
principle,2
holiday,2
logic,2
arrow,2
sedative,2
kite,2
guide,2
arc,3
boundary,4
forest,4
uniform,2
blood,3
paradigm,2
alligator,2
clothing,2
message,2
mileage,5
rule,2
insight,2
medicine,2
dove,1
aspect,2
hope,2
moral,2
acquisition,3
hat,2
object,2
sadness,2
sofa,2
quality,3
leader,2
tragedy,2
corporation,4
disaster,3
state,3
second,4
rhyme,2
uncertainty,3
time,5
brute,2
gender,2
assault,2
door,2
requirement,2
beverage,2
majority,5
circumstance,2
policeman,1
beetle,1
accumulation,6
bell,2
stride,3
lizard,1
addition,5
fallacy,2
summer,2
city,4
group,4
bubble,2
exception,2
puddle,3
lock,2
presence,2
jacket,2
lake,4
introduction,2
water,4
payment,3
diversity,4
regret,2
distraction,2
football,2
figure,4
eagle,2
stupidity,2
vapor,3
psalm,2
accident,2
pyramid,4
consideration,2
distance,5
refrigerator,2
brawl,2
orchid,1
ball,3
topic,2
situation,2
peach,2
flavor,2
genuine,2
hurricane,4
bird,2
ballot,3
reinforcement,3
duel,2
parish,3
edge,3
sole,2
malice,2
winter,2
caterpillar,2
tip,2
teacher,1
scent,2
towel,2
sky,4
obstruction,3
dagger,2
wave,3
satisfaction,2
irrigation,3
reputation,2
division,4
crime,3
fact,2
electricity,3
verse,2
pie,2
complication,3
coffin,2
hobby,2
loan,4
pretense,2
territory,5
knife,2
desk,2
economy,4
saloon,2
ambulance,1
benefactor,1
event,2
dozen,5
replacement,2
photograph,2
pawn,2
woman,2
pond,3
owner,2
tree,3
determination,3
context,2
grasshopper,1
guilt,2
attempt,2
month,3
traveler,1
marriage,2
dilemma,2
bedroom,2
jerk,1
math,3
freedom,3
inn,2
three,5
acre,6
band,3
eight,5
lane,3
