word,rating
corporation,2
deputy,2
brawl,1
church,3
uncle,1
moral,1
faith,1
mountain,4
shirt,1
duel,1
hospital,3
lip,2
love,1
material,1
ambulance,2
enemy,1
event,1
honesty,1
tennis,1
missile,3
origin,4
waste,1
route,7
university,3
limitation,1
poetry,1
artist,1
instructor,1
salary,1
arrangement,2
personality,1
opposition,2
pretense,1
rent,1
possibility,1
ignition,1
circumstance,1
justification,1
gesture,2
lobster,1
insight,1
selection,1
accumulation,1
student,1
topic,1
philosophy,1
gorilla,1
myth,1
misery,1
truth,1
member,1
purpose,2
temperature,1
station,5
marriage,1
outcome,1
cliff,4
puddle,3
lens,1
skin,1
complication,1
peace,1
mustard,1
beverage,1
beaver,1
consistency,1
television,1
logic,1
chief,2
brain,1
cocktail,1
danger,1
pest,1
truck,2
mercy,1
metaphor,1
intelligence,1
damage,1
explanation,1
banana,1
beast,1
oven,1
body,2
holiday,1
theory,1
rocket,3
addition,1
integrity,1
pawn,3
form,1
supply,1
attention,1
hope,1
circuit,3
annoyance,1
memory,1
stimulus,1
proof,1
empty,1
rainbow,3
charter,1
mystery,1
desk,2
music,1
hat,1
length,3
stupidity,1
donor,1
thorn,1
cottage,3
mud,1
crocodile,1
atrocity,1
teacher,1
group,1
establishment,2
zoo,3
meeting,1
site,5
horse,1
interruption,1
dentist,1
originality,1
orchestra,1
christmas,1
ceiling,4
denial,1
want,1
expression,1
shock,1
idiom,1
toilet,2
animal,1
typewriter,1
legality,1
fountain,4
subtraction,1
victim,1
unit,2
requirement,1
car,2
security,1
preparation,1
season,1
sword,1
brevity,1
future,2
menu,1
helplessness,1
woman,1
rhyme,1
cow,1
duration,1
ballot,1
cat,1
hierarchy,2
incident,1
capacity,1
blade,1
grass,1
miracle,1
autumn,1
introduction,1
chlorine,1
jerk,1
outfit,1
frog,1
attempt,1
assault,1
ceremony,1
leader,2
fisherman,1
willingness,1
grammar,1
talent,1
criticism,1
appointment,2
river,4
clearance,3
ditch,4
phenomenon,1
island,5
permission,1
flask,1
tax,1
loafer,1
calculation,1
identity,1
starch,1
fat,1
ankle,2
development,1
tool,1
ownership,1
abundance,1
visitor,1
doctor,1
laundry,1
importance,1
inch,3
cranberry,1
arc,4
girl,1
chair,2
destiny,1
magic,1
square,4
saloon,3
jewel,1
eight,1
cake,1
lily,1
second,2
wave,3
ignorance,1
laughter,1
engagement,1
boat,3
debt,1
impossibility,1
conference,2
speech,1
blood,1
opponent,1
caterpillar,1
revenge,1
wood,1
grasshopper,1
definition,1
mattress,1
ocean,4
leadership,2
bell,1
grief,1
result,1
tendency,1
combination,1
measure,2
policeman,1
anxiety,1
shape,3
sneeze,1
raspberry,1
dagger,1
linen,1
factory,3
irrigation,2
volt,1
comparison,1
paradigm,1
odor,1
lock,1
dilemma,1
lightning,2
bet,1
acquisition,1
rabbit,1
potato,1
summer,1
ring,2
skill,1
construction,2
determination,1
volcano,4
episode,1
key,1
skull,1
stapler,1
witness,1
appeal,1
vocabulary,1
protection,1
reality,1
cloth,1
money,1
friendship,1
context,2
crime,1
writing,1
frustration,1
hog,1
window,3
mankind,1
suggestion,1
reflex,1
cowardice,1
behavior,1
scholar,1
wisdom,1
separation,2
disgust,1
leopard,1
pyramid,4
punishment,1
view,4
despair,1
football,1
hatred,1
segment,2
bank,3
professor,1
queen,1
robin,1
entrance,5
silence,1
alley,5
palace,4
lamp,2
recital,1
loan,1
chicken,1
vapor,1
fallacy,1
physics,1
hazard,1
dynasty,1
uncertainty,1
chance,1
snake,1
salad,1
design,1
bullet,3
snow,1
nose,2
clothing,1
guide,3
rule,1
stranger,1
fantasy,1
instance,1
exclusion,1
street,6
forest,4
occupation,1
neighborhood,5
scent,1
thought,1
refrigerator,1
hurricane,2
responsibility,1
intention,1
benefactor,1
shrimp,1
stick,1
burner,1
peacemaker,1
cause,1
bed,2
corn,1
economy,1
deduction,1
fact,1
equality,1
line,5
sight,3
tragedy,1
specimen,1
majority,1
bracelet,1
identification,1
three,1
bedroom,3
distraction,1
germ,1
medicine,1
value,1
cognition,1
volume,1
skunk,1
coincidence,1
nation,3
division,2
peach,1
shame,1
month,1
adversity,1
character,1
play,1
clean,1
coffin,1
alligator,1
jacket,1
atom,1
information,1
satisfaction,1
produce,1
youth,1
spelling,1
translation,1
pimple,1
difference,1
sadness,1
consequence,1
conscience,1
pie,1
ball,1
squeak,1
dozen,1
affection,1
contract,1
duty,1
door,3
paragraph,1
diamond,1
instinct,1
mile,5
democracy,1
safety,1
freedom,1
fog,2
curfew,1
past,2
onion,1
corpse,1
mastery,1
law,1
evidence,1
dimension,3
adventurer,2
moonlight,2
alphabet,1
sow,1
category,1
interaction,1
uniform,1
city,4
butterfly,1
error,1
sole,2
pig,1
lisp,1
knowledge,1
hobby,1
fear,1
competence,1
situation,2
coupon,1
opportunity,1
boundary,5
specialist,1
nerve,1
shortness,1
eagle,1
kite,2
boy,1
principle,1
drum,1
aspect,1
mind,1
trumpet,1
scene,4
heart,2
robbery,1
flavor,1
convergence,3
butter,1
tip,3
presence,2
spirit,1
drug,1
envy,1
math,1
candy,1
wish,1
retention,1
arrow,5
mileage,5
sanctuary,4
interior,5
obstruction,3
midnight,2
