word,rating
admiration,1
robbery,2
peach,6
property,2
liar,1
figure,2
pie,6
lily,5
marriage,1
banana,6
tongue,6
steam,5
form,2
visitor,1
impossibility,1
situation,1
interaction,1
hog,4
vapor,3
acquisition,1
brawl,3
establishment,1
instructor,1
bird,3
opera,1
logic,1
fate,1
grammar,1
laughter,2
ignition,2
location,1
magnitude,1
soul,1
empty,2
rabbit,4
stimulus,2
rule,1
advice,1
queen,1
girl,1
decision,1
safety,1
hatred,1
confidence,1
boy,1
rent,1
crisis,1
extent,1
orchid,4
stranger,1
lock,5
betrayal,1
photo,2
macaroni,6
majority,1
electricity,3
fat,4
inn,2
road,4
capacity,1
view,1
personality,1
dove,3
brute,2
ambulance,2
pig,4
boundary,2
idea,1
baby,4
weather,3
vocabulary,1
flavor,4
toilet,5
show,1
murder,2
teacher,1
genuine,1
rainbow,2
foundation,3
fifteen,1
pond,4
acre,2
intention,1
skull,5
assistance,1
adversity,1
evidence,1
bag,5
square,4
menu,2
individual,1
punishment,2
reality,1
production,1
witness,1
dimension,1
advantage,1
hierarchy,1
crocodile,4
volume,2
degree,1
damage,2
rhyme,1
idiom,1
bottle,6
fisherman,3
mustard,5
behavior,1
body,5
faith,1
winter,4
purpose,1
determination,1
cloth,6
meeting,1
dagger,6
frustration,1
fog,4
philosophy,1
standard,1
eyeball,6
annoyance,1
democracy,1
cranberry,6
sword,6
loan,1
chicken,5
tide,4
law,1
cup,6
sofa,6
originality,1
weight,5
roof,5
candidate,1
job,1
subtraction,1
robin,3
necklace,5
ballot,2
memory,1
station,2
chair,6
refrigerator,5
result,1
thief,1
pimple,5
skunk,3
reputation,1
accident,2
method,1
parish,1
eight,1
justification,1
animal,3
sole,4
play,2
tendency,1
chipmunk,4
shirt,6
reinforcement,2
corporation,1
pawn,4
volt,1
money,3
cognition,1
talent,1
alligator,4
republic,1
orchestra,1
dad,1
door,5
beverage,4
suit,5
grief,1
misery,1
margin,2
response,1
site,1
ball,6
car,4
mile,1
season,2
disagreement,1
ability,1
tradition,1
speech,1
recital,1
requirement,1
theory,1
opinion,1
sadness,1
security,1
month,1
lake,4
band,3
stick,6
retention,1
revenge,1
atom,1
permission,1
frog,4
sneeze,4
ownership,1
trust,1
reduction,1
cow,4
character,1
accomplishment,1
policeman,1
increase,1
sandal,6
independence,1
window,5
wood,6
duel,2
christmas,3
bridge,4
deduction,1
territory,2
comprehension,1
equality,1
irrigation,3
bolt,5
moment,1
beast,3
bell,4
division,1
information,1
palace,3
crime,1
chlorine,3
river,4
paradigm,1
separation,1
state,1
cake,6
potato,6
lemon,6
mercy,1
suggestion,1
writing,3
bedroom,4
literature,1
heap,4
city,2
duration,1
fight,3
time,1
gun,5
smell,3
appeal,1
clean,3
perception,1
diet,2
stupidity,1
envy,1
owner,1
sky,3
ceremony,1
sow,3
helplessness,1
article,2
necessity,1
key,6
length,2
drug,3
belief,1
lamp,5
gorilla,4
onion,6
intelligence,1
bubble,5
effort,2
produce,4
rocket,4
lunch,5
topic,1
uncertainty,1
twig,6
puppy,5
ring,6
germ,2
file,3
conscience,1
economy,1
past,1
street,3
lettuce,6
translation,1
spirit,1
regret,1
story,1
mattress,6
preparation,2
traveler,1
gesture,3
comparison,1
newspaper,4
mileage,1
object,4
mosquito,4
heart,5
identity,1
nerve,3
consistency,1
sight,2
candy,6
radio,4
stride,3
protection,2
fallacy,1
linen,6
instinct,1
expression,1
raspberry,6
pretense,1
victim,1
father,1
opponent,1
beaver,4
lamb,5
arrangement,2
desk,5
ally,1
danger,2
