word,rating
lake,2
ambition,1
chance,1
individual,1
apology,1
opponent,1
boredom,1
cowardice,1
beetle,2
silence,1
bet,1
animal,2
coupon,1
faith,1
liar,1
lip,2
tongue,3
originality,1
ankle,1
potato,5
accumulation,1
outfit,1
chair,1
cognition,1
station,1
disaster,1
real,1
dilemma,1
scene,1
ally,1
ownership,1
theory,1
reinforcement,1
puppy,2
guide,1
damage,1
circumstance,1
state,1
response,1
key,1
boat,1
degree,1
crown,1
myth,1
blood,2
deduction,1
forest,2
latch,1
tune,1
show,1
interior,1
starch,4
mankind,1
infection,2
fabric,1
wood,2
tragedy,1
germ,2
iron,2
spider,1
calendar,1
affection,1
photograph,1
territory,1
incident,1
vapor,3
dentist,2
sword,1
flavor,7
clean,3
consistency,2
appeal,1
identification,1
fact,1
route,1
linen,2
macaroni,6
skin,2
stride,1
writing,1
roof,1
menu,4
division,1
value,1
suit,1
lamp,1
personality,1
contract,1
cloth,1
amount,1
intention,1
magic,1
confidence,1
duration,1
sandal,1
thing,1
mattress,1
addition,1
newspaper,1
opposition,1
leopard,1
pigeon,2
clearance,1
opinion,1
play,1
heart,2
irrigation,2
clothing,1
distance,1
fate,1
calculation,1
number,1
wisdom,1
vocabulary,1
talent,1
character,1
nose,4
salad,6
tree,2
risk,1
definition,1
ditch,1
hobby,1
adversity,1
inn,2
butter,7
pyramid,1
tomato,7
riot,1
independence,1
itch,2
temple,1
teacher,1
brain,2
occupation,1
ignition,1
suspect,1
costume,1
door,1
necessity,1
equality,1
orchid,4
bag,1
dove,1
chlorine,5
reflex,1
conference,1
result,1
helmet,1
beauty,1
shortness,1
verse,1
exception,1
bird,2
circuit,1
queen,1
charter,1
principle,1
music,1
want,1
relief,1
moral,1
jerk,1
metaphor,1
scent,6
girl,1
tradition,1
development,1
crisis,1
bubble,2
camera,1
pond,2
decision,1
job,1
frustration,1
error,1
student,1
reputation,1
fear,1
tool,1
shrimp,6
refrigerator,3
empty,1
kindness,1
impairment,1
wish,1
alligator,1
moment,1
injury,1
master,1
file,1
factory,2
body,2
weight,1
tide,2
lemon,7
television,1
coffin,1
admiration,1
tip,1
complication,1
shock,1
past,1
park,2
line,1
nerve,1
income,1
specialist,1
lesson,1
cause,1
squeak,1
insight,1
hotel,2
peacemaker,1
law,1
conscience,1
misery,1
dimension,1
pill,2
alley,1
banana,7
pest,1
debt,1
march,1
justice,1
sanctuary,1
meeting,1
cucumber,7
expression,1
opera,1
significance,1
intelligence,1
object,1
tallness,1
grasshopper,1
purpose,1
mosquito,1
assault,1
pillow,2
anxiety,1
hope,1
fountain,2
benefactor,1
love,1
drum,1
stimulus,1
beverage,5
mountain,2
capacity,1
awareness,1
danger,1
raspberry,7
reality,1
acquisition,1
snow,2
appointment,1
ocean,3
wave,1
composer,1
guilt,1
payment,1
jacket,1
city,1
lamb,4
retention,1
requirement,1
miracle,1
segment,1
oven,4
kitten,1
trust,1
flask,2
preparation,2
imagination,1
bridge,1
towel,2
coincidence,1
context,1
hospital,2
article,1
mercy,1
rabbit,2
spirit,1
rebel,1
interruption,1
design,1
criticism,1
duty,1
fog,2
peach,7
professor,1
friendship,1
cup,3
length,1
form,1
lunch,5
square,1
empire,1
pimple,1
shirt,1
pile,1
abundance,2
visitor,1
responsibility,1
location,1
corporation,1
literature,1
laundry,3
landscape,2
eagle,1
presence,1
tendency,1
construction,1
regulation,1
rocket,1
church,1
doctor,1
topic,1
midnight,1
conclusion,1
neck,1
car,2
fat,3
volume,1
story,1
physics,1
security,1
hog,2
name,1
lens,1
cow,2
chipmunk,1
christmas,4
possibility,1
suggestion,1
fallacy,1
robbery,1
assistance,1
distribution,1
skill,1
stranger,1
record,1
instructor,1
