word,rating
admiration,4
robbery,2
peach,1
property,3
liar,3
figure,4
pie,1
lily,1
marriage,3
banana,1
tongue,2
steam,1
form,3
visitor,2
impossibility,5
situation,3
interaction,4
hog,1
vapor,1
acquisition,3
brawl,2
establishment,3
instructor,3
bird,1
opera,2
logic,7
fate,5
grammar,6
laughter,2
ignition,2
location,2
magnitude,4
soul,5
empty,2
rabbit,1
stimulus,5
rule,5
advice,6
queen,2
girl,1
decision,6
safety,3
hatred,4
confidence,5
boy,1
rent,2
crisis,3
extent,4
orchid,1
stranger,2
lock,1
betrayal,3
photo,1
macaroni,1
majority,4
electricity,1
fat,2
inn,1
road,1
capacity,4
view,5
personality,5
dove,1
brute,2
ambulance,1
pig,1
boundary,3
idea,7
baby,1
weather,1
vocabulary,6
flavor,2
toilet,1
show,2
murder,2
teacher,3
genuine,4
rainbow,1
foundation,3
fifteen,1
pond,1
acre,1
intention,6
skull,1
assistance,3
adversity,4
evidence,5
bag,1
square,2
menu,1
individual,3
punishment,3
reality,5
production,2
witness,3
dimension,4
advantage,4
hierarchy,5
crocodile,1
volume,2
degree,3
damage,2
rhyme,4
idiom,6
bottle,1
fisherman,1
mustard,1
behavior,5
body,1
faith,5
winter,1
purpose,6
determination,6
cloth,1
meeting,3
dagger,1
frustration,4
fog,1
philosophy,7
standard,4
eyeball,1
annoyance,4
democracy,6
cranberry,1
sword,1
loan,2
chicken,1
tide,1
law,5
cup,1
sofa,1
originality,6
weight,2
roof,1
candidate,3
job,2
subtraction,5
robin,1
necklace,1
ballot,3
memory,6
station,1
chair,1
refrigerator,1
result,4
thief,2
pimple,1
skunk,1
reputation,4
accident,2
method,5
parish,2
eight,1
justification,6
animal,1
sole,2
play,2
tendency,5
chipmunk,1
shirt,1
reinforcement,5
corporation,3
pawn,3
volt,1
money,2
cognition,7
talent,5
alligator,1
republic,4
orchestra,2
dad,1
door,1
beverage,1
suit,1
grief,4
misery,4
margin,3
response,4
site,1
ball,1
car,1
mile,1
season,1
disagreement,6
ability,5
tradition,4
speech,5
recital,2
requirement,4
theory,7
opinion,7
sadness,4
security,3
month,1
lake,1
band,1
stick,1
retention,4
revenge,4
atom,2
permission,4
frog,1
sneeze,1
ownership,4
trust,5
reduction,3
cow,1
character,5
accomplishment,4
policeman,1
increase,3
sandal,1
independence,5
window,1
wood,1
duel,2
christmas,2
bridge,1
deduction,6
territory,3
comprehension,7
equality,6
irrigation,1
bolt,1
moment,2
beast,1
bell,1
division,4
information,5
palace,1
crime,3
chlorine,1
river,1
paradigm,6
separation,3
state,3
cake,1
potato,1
lemon,1
mercy,5
suggestion,6
writing,5
bedroom,1
literature,5
heap,1
city,1
duration,3
fight,2
time,3
gun,1
smell,1
appeal,4
clean,2
perception,7
diet,3
stupidity,5
envy,5
owner,2
sky,1
ceremony,2
sow,1
helplessness,4
article,4
necessity,5
key,2
length,2
drug,2
belief,7
lamp,1
gorilla,1
onion,1
intelligence,7
bubble,1
effort,5
produce,2
rocket,1
lunch,1
topic,5
uncertainty,5
twig,1
puppy,1
ring,1
germ,1
file,2
conscience,7
economy,4
past,3
street,1
lettuce,1
translation,5
spirit,5
regret,5
story,4
mattress,1
preparation,3
traveler,1
gesture,3
comparison,6
newspaper,3
mileage,2
object,3
mosquito,1
heart,3
identity,6
nerve,2
consistency,5
sight,2
candy,1
radio,1
stride,2
protection,3
fallacy,6
linen,1
instinct,5
expression,5
raspberry,1
pretense,5
victim,2
father,1
opponent,3
beaver,1
lamb,1
arrangement,3
desk,1
ally,3
danger,2
message,4
preference,6
appointment,2
camera,1
music,2
brevity,5
destiny,5
propeller,1
anxiety,5
wolf,1
microscope,1
lobster,1
significance,5
improvement,4
occasion,2
freedom,5
kitten,1
shrimp,1
water,1
contempt,5
convergence,4
uniform,2
unity,5
hotel,1
peacemaker,3
wish,5
grandmother,1
possibility,6
episode,3
duty,5
horse,1
wave,1
metaphor,7
institute,3
contract,3
photograph,1
deputy,2
eagle,1
boulder,1
hurt,3
description,5
hurricane,1
reflex,4
flask,1
thorn,1
elephant,1
skin,1
doctor,2
specimen,2
professor,3
selection,4
bracelet,1
member,2
size,2
verse,4
core,3
friendship,4
honesty,6
proportion,4
correspondent,3
dozen,1
truck,1
fireplace,1
bank,2
autumn,1
iron,1
guilt,5
self,6
mansion,1
salad,1
nation,3
coupon,1
distribution,3
principle,6
mud,1
coffee,1
scholar,4
boredom,4
amount,2
cocktail,1
knife,1
injury,2
attitude,6
jewel,1
miracle,4
riddle,5
scene,2
puddle,1
mastery,5
skill,5
odor,1
truth,6
edge,2
woman,1
bullet,1
conclusion,6
name,2
abundance,3
entree,1
food,1
ambition,6
charity,4
sugar,1
fantasy,5
integrity,6
diversity,5
stapler,1
magic,3
announcement,3
wisdom,7
calculation,6
butter,1
ditch,1
coincidence,4
prop,2
tragedy,4
latch,1
artist,3
charter,4
diamond,1
drum,1
origin,4
material,2
crown,2
mold,1
mother,1
lizard,1
alphabet,4
apology,4
hat,1
cat,1
paragraph,4
instance,4
border,2
neighborhood,2
outfit,1
tallness,2
fact,6
introduction,4
anger,5
beetle,1
wallet,1
opposition,5
claim,5
complication,4
empire,3
pill,1
second,2
costume,1
relief,3
effect,4
poetry,5
construction,2
measure,4
competence,5
infection,2
emergence,4
handkerchief,1
hazard,2
hospital,1
duck,1
silence,2
darkness,2
master,3
cliff,1
corn,1
resort,2
error,4
grasshopper,1
lip,1
variety,3
incident,3
incentive,5
brain,5
number,3
summer,1
tool,2
supply,2
risk,4
consideration,6
disgust,4
branch,1
blood,1
tension,3
chocolate,1
corpse,1
unit,2
exception,4
guess,5
brother,1
moral,6
circumstance,4
quality,4
accumulation,3
lane,1
nose,1
assumption,6
snake,1
peace,5
ocean,1
blade,1
university,4
psalm,3
moonlight,1
route,2
interruption,3
thing,2
cucumber,1
pest,1
clothing,1
ceiling,1
future,4
shame,5
leopard,1
outcome,4
oven,1
three,1
satisfaction,4
kindness,5
laundry,1
neck,1
value,6
student,3
coffin,1
love,4
design,4
physics,6
group,2
shock,3
clearance,2
factory,1
tennis,1
lisp,2
midnight,1
cause,5
income,2
pyramid,2
volcano,1
tree,1
waste,2
medicine,3
chance,4
conference,4
entrance,1
combination,3
loafer,1
exclusion,4
television,2
jerk,2
example,5
attention,5
promotion,3
itch,1
definition,6
criticism,6
manner,4
caterpillar,1
recognition,5
insight,7
shape,2
obstruction,3
pigeon,1
willingness,5
park,1
curfew,3
boat,1
availability,3
line,2
ignorance,6
landscape,1
butterfly,1
saloon,1
snow,1
myth,5
alley,1
child,1
legality,5
kite,1
sedative,2
occupation,3
tip,3
bet,3
burner,1
missile,1
replacement,3
sister,1
awareness,6
temperature,1
chief,2
poll,4
record,3
industry,3
bandit,1
lesson,5
lightning,1
affection,5
malice,5
cottage,1
grass,1
drama,4
jacket,1
guide,3
deceit,5
item,2
phenomenon,5
despair,4
opportunity,4
distraction,4
uncle,1
typewriter,1
dentist,1
distance,2
context,6
enemy,2
squeak,1
calendar,1
explanation,6
immortality,5
irony,6
assault,2
real,4
zoo,1
pillow,1
presence,3
heresy,5
interior,2
want,4
mystery,5
apple,1
ankle,1
beauty,4
reason,7
holiday,1
underworld,2
disaster,2
adventurer,2
forest,1
regulation,4
specialist,3
shark,1
composer,3
consequence,5
church,2
vision,5
amplitude,3
justice,6
engagement,3
synagogue,2
performance,3
trumpet,1
riot,2
worry,5
sanctuary,2
math,6
imagination,7
mountain,1
issue,5
knowledge,7
fountain,1
circuit,2
mankind,3
debt,3
limitation,4
pile,1
tax,2
inch,1
lion,1
helmet,1
denial,6
scent,1
identification,4
impairment,3
cowardice,5
atrocity,3
starch,1
temple,2
island,1
spider,1
rebel,3
salary,2
march,2
dynasty,3
importance,5
prediction,6
lens,2
hope,5
leadership,5
difference,5
leader,3
tune,2
disappointment,5
proof,6
segment,3
development,4
towel,1
fear,4
tomato,1
category,5
football,1
event,2
pool,1
payment,2
dilemma,6
attempt,4
benefactor,3
suspect,3
hobby,2
art,4
thought,7
youth,2
addition,4
bed,1
gender,5
mind,7
arrow,1
donor,2
shortness,2
escape,2
arc,2
spelling,5
wage,2
responsibility,5
nurse,2
fabric,1
aspect,5
