word,rating
line,2
skill,2
nose,1
knowledge,2
information,2
rainbow,1
ownership,2
faith,2
affection,2
zoo,1
correspondent,2
rebel,1
moonlight,2
photo,2
opportunity,2
anger,1
coupon,1
adventurer,1
fabric,1
itch,1
character,2
cat,1
crisis,2
danger,1
sneeze,1
identification,2
writing,2
behavior,2
tendency,2
burner,1
baby,1
variety,2
mansion,1
uncle,1
macaroni,1
prediction,5
mud,1
engagement,3
square,1
odor,1
window,1
route,2
tide,4
location,2
resort,1
destiny,4
preference,2
helmet,1
occasion,5
outcome,3
unity,2
deduction,3
fate,4
safety,2
cottage,1
irony,2
fear,1
horse,1
onion,1
peace,2
cake,1
opinion,2
bandit,1
imagination,2
tradition,4
belief,2
method,2
menu,1
measure,3
importance,2
propeller,1
park,1
development,4
escape,2
kitten,1
volcano,1
consistency,3
diamond,1
promotion,3
pillow,1
confidence,2
literature,2
incentive,2
ally,2
donor,1
magic,2
arrangement,3
boulder,1
produce,2
independence,3
autumn,5
honesty,2
island,1
love,2
poll,2
entrance,2
pest,1
shortness,3
suspect,2
example,2
cowardice,1
alley,1
opera,2
thief,1
factory,2
charter,2
lobster,1
peacemaker,2
combination,2
liar,1
degree,3
size,2
duck,1
fisherman,1
heresy,2
significance,2
vocabulary,2
guess,2
murder,1
bridge,2
boy,1
microscope,1
lisp,1
university,2
lily,1
fight,1
opposition,2
ditch,1
preparation,3
chicken,1
sow,2
salad,1
betrayal,2
mercy,2
street,1
dimension,3
calendar,7
income,3
fog,1
originality,2
curfew,4
weather,3
music,2
willingness,2
rent,3
bed,1
underworld,1
wish,2
starch,1
wallet,1
volume,2
grief,2
elephant,1
explanation,2
miracle,2
idiom,2
episode,4
announcement,3
past,7
station,2
riot,2
soul,2
effect,2
selection,2
bullet,1
stick,1
proportion,2
property,2
memory,4
contract,3
intention,3
lens,1
assumption,2
recognition,2
youth,4
silence,2
cloth,1
performance,3
recital,3
master,2
salary,3
ankle,1
mother,1
foundation,3
story,3
cucumber,1
availability,3
nurse,1
metaphor,2
grass,1
brother,1
handkerchief,1
comprehension,2
banana,1
television,2
snow,2
amount,2
suit,1
neck,1
clearance,2
standard,2
legality,2
convergence,3
art,2
trumpet,1
diet,3
institute,2
appeal,2
costume,1
prop,1
proof,2
oven,1
candy,1
contempt,1
ceremony,4
eyeball,1
dentist,1
suggestion,2
beauty,2
waste,2
chocolate,1
shirt,1
cause,2
integrity,2
hog,1
nation,2
lamb,1
conscience,2
chlorine,1
extent,3
drama,3
anxiety,2
design,2
record,4
cranberry,1
money,3
mustard,1
calculation,3
protection,2
leadership,3
adversity,2
skin,1
snake,1
mold,1
effort,2
increase,4
subtraction,3
duration,7
description,2
member,2
dynasty,5
revenge,2
production,3
skull,1
mile,3
necessity,2
ambition,3
branch,2
child,2
enemy,1
identity,2
potato,1
professor,2
mosquito,1
doctor,1
artist,2
girl,1
crocodile,1
job,2
debt,3
missile,1
palace,2
tension,2
food,1
issue,2
church,2
assistance,2
supply,2
mankind,2
stranger,1
composer,2
idea,2
appointment,5
decision,3
drum,2
chance,3
hierarchy,2
manner,2
spirit,2
bolt,1
hatred,1
show,2
conclusion,3
pig,1
lion,1
retention,3
interaction,3
tax,3
midnight,6
bracelet,1
specialist,2
risk,2
physics,2
roof,1
frog,1
grandmother,2
body,1
circuit,2
dad,1
bet,2
camera,1
impairment,2
site,1
animal,1
equality,2
poetry,2
boredom,3
response,2
coffee,1
want,2
nerve,1
corn,1
play,2
trust,2
orchestra,2
wisdom,2
inch,3
duty,2
industry,3
limitation,2
hurt,1
capacity,2
car,1
ocean,2
injury,1
radio,2
misery,2
butter,1
chipmunk,1
reflex,2
incident,3
father,1
hospital,2
unit,3
origin,4
translation,2
envy,2
mystery,2
entree,1
reality,2
principle,2
holiday,4
logic,2
arrow,1
sedative,1
kite,1
guide,2
arc,2
boundary,2
forest,1
uniform,1
blood,1
paradigm,2
alligator,1
clothing,1
message,2
mileage,3
rule,2
insight,2
medicine,2
dove,1
aspect,2
hope,3
moral,2
acquisition,3
hat,1
object,1
sadness,2
sofa,1
quality,2
leader,2
tragedy,3
corporation,2
disaster,2
state,2
second,7
rhyme,2
uncertainty,3
time,7
brute,1
gender,2
assault,1
door,1
requirement,2
beverage,1
majority,2
circumstance,3
policeman,1
beetle,1
accumulation,3
bell,2
stride,3
lizard,1
addition,3
fallacy,2
summer,5
city,1
group,2
bubble,1
exception,2
puddle,1
lock,1
presence,3
jacket,1
lake,1
introduction,3
water,1
payment,3
diversity,2
regret,3
distraction,2
football,2
figure,2
eagle,1
stupidity,1
vapor,1
psalm,2
accident,2
pyramid,2
consideration,3
distance,3
refrigerator,1
brawl,1
orchid,1
ball,1
topic,2
situation,2
peach,1
flavor,1
genuine,2
hurricane,2
bird,1
ballot,2
reinforcement,3
duel,3
parish,2
edge,2
sole,1
malice,1
winter,5
caterpillar,2
tip,2
teacher,2
scent,1
towel,1
sky,1
obstruction,2
dagger,1
wave,3
satisfaction,2
irrigation,2
reputation,3
division,3
crime,2
fact,2
electricity,2
verse,2
pie,1
complication,2
coffin,2
hobby,3
loan,3
pretense,2
territory,2
knife,1
desk,1
economy,3
saloon,1
ambulance,1
benefactor,2
event,5
dozen,2
replacement,3
photograph,2
pawn,2
woman,1
pond,1
owner,2
tree,1
determination,3
context,2
grasshopper,1
guilt,2
attempt,3
month,7
traveler,2
marriage,4
dilemma,2
bedroom,1
jerk,1
math,3
freedom,2
inn,1
three,2
acre,2
band,2
eight,2
lane,2
butterfly,1
iron,1
cognition,2
democracy,2
annoyance,2
victim,2
heart,1
twig,1
disappointment,2
spelling,2
admiration,2
fifteen,2
leopard,1
punishment,3
instance,3
coincidence,3
hotel,1
latch,1
heap,2
toilet,1
abundance,2
myth,3
charity,2
difference,2
specimen,2
instinct,2
cup,1
