word,rating
candidate,2
irrigation,3
democracy,1
snow,7
announcement,2
neighborhood,4
music,2
crown,7
identity,1
midnight,3
hurt,2
adventurer,2
comparison,1
arrow,7
method,1
segment,4
disappointment,1
specialist,1
majority,1
lily,7
rainbow,7
iron,6
relief,2
bolt,6
riot,3
stride,3
hope,1
shortness,2
ally,1
economy,1
ditch,6
stimulus,2
justification,1
pie,7
clearance,2
sight,4
ambulance,6
blood,6
pile,6
limitation,1
abundance,3
outcome,1
regulation,1
cake,7
macaroni,7
twig,7
cognition,1
beast,3
grammar,1
duty,1
standard,2
talent,1
roof,7
lens,7
student,3
worry,1
instinct,1
guess,1
second,1
nation,2
uniform,6
cranberry,7
route,3
ignition,2
occupation,1
separation,2
linen,7
view,4
speech,2
obstruction,3
soul,1
grandmother,3
dove,7
sofa,7
regret,1
suit,6
frustration,1
disaster,3
skin,6
football,7
appeal,1
integrity,1
adversity,1
memory,1
skull,7
station,6
fate,1
consequence,1
attempt,1
raspberry,7
university,5
cloth,7
cup,7
context,1
poetry,2
candy,7
mileage,2
liar,2
trust,1
oven,7
key,7
traveler,2
mustard,7
admiration,1
sadness,1
accumulation,2
conscience,1
rabbit,7
fireplace,7
bridge,7
measure,2
costume,7
intention,1
menu,5
deduction,1
window,7
loafer,6
butter,7
convergence,2
fight,3
winter,5
verse,2
advice,1
form,4
immortality,1
engagement,2
mind,1
trumpet,7
margin,3
puddle,7
amplitude,2
orchid,7
scene,5
reflex,2
interior,4
empire,2
insight,1
aspect,1
denial,1
grasshopper,7
stapler,7
tallness,2
cause,1
article,2
opposition,1
introduction,1
retention,1
pretense,1
capacity,2
pigeon,7
silence,1
boy,4
mastery,1
definition,1
grief,1
replacement,1
quality,1
skill,1
affection,1
thorn,7
reality,2
banana,7
leader,2
danger,2
self,1
edge,5
lunch,5
laughter,2
myth,1
pawn,6
reputation,1
dozen,3
dagger,7
donor,1
duel,3
arc,6
temple,7
shame,1
victim,2
deceit,1
dad,2
paradigm,1
proof,1
charity,1
vocabulary,1
brother,2
pillow,7
propeller,7
significance,1
rule,1
friendship,1
weight,2
suspect,2
marriage,2
episode,2
determination,1
photo,7
landscape,7
shape,6
rhyme,2
situation,1
love,1
synagogue,6
moral,1
object,5
opinion,1
miracle,1
beaver,7
march,3
fat,4
income,1
requirement,1
sanctuary,4
lobster,7
palace,7
bank,5
pig,7
moonlight,6
coffee,7
core,3
competence,1
wood,7
salary,1
cow,7
protection,1
woman,4
brain,6
television,7
justice,1
brawl,3
unity,1
nose,7
wave,6
mankind,1
interruption,1
bottle,7
spelling,2
lizard,7
foundation,4
hurricane,4
professor,3
institute,3
sugar,6
helplessness,1
purpose,1
lane,5
territory,3
contract,3
coffin,7
bird,7
physics,1
proportion,3
line,6
salad,7
consistency,1
development,1
holiday,3
exclusion,1
event,2
jewel,7
promotion,1
acre,3
pest,3
availability,1
gender,1
fantasy,2
shock,2
performance,2
phenomenon,2
uncertainty,1
weather,4
reinforcement,2
time,1
necessity,1
towel,7
saloon,6
permission,1
category,1
bandit,3
doctor,3
diet,2
tide,5
heresy,1
length,3
policeman,3
magic,2
apple,7
unit,1
queen,4
mystery,1
emergence,2
republic,1
contempt,1
law,1
baby,5
starch,4
radio,6
kitten,7
description,1
eagle,7
preference,1
theory,1
variety,2
