word,rating
ability,3
abundance,4
accident,3
accomplishment,5
accumulation,3
acquisition,3
acre,1
addition,2
admiration,5
advantage,4
adventurer,3
adversity,4
advice,5
affection,5
alley,1
alligator,1
ally,4
alphabet,1
ambition,5
ambulance,2
amount,2
amplitude,1
anger,3
animal,2
ankle,1
announcement,2
annoyance,3
anxiety,3
apology,4
appeal,3
apple,1
appointment,2
arc,1
arrangement,2
arrow,1
art,2
article,2
artist,2
aspect,2
assault,3
assistance,4
assumption,3
atom,1
atrocity,6
attempt,3
attention,3
attitude,4
autumn,1
availability,2
awareness,4
baby,2
bag,1
ball,1
ballot,3
banana,1
band,1
bandit,3
bank,2
beast,2
beauty,3
beaver,1
bed,1
bedroom,1
beetle,1
behavior,6
belief,5
bell,1
benefactor,5
bet,3
betrayal,6
beverage,1
bird,1
blade,1
blood,2
boat,1
body,2
bolt,1
border,2
boredom,2
bottle,1
boulder,1
boundary,2
boy,2
bracelet,1
brain,3
branch,1
brawl,3
brevity,1
bridge,2
brother,4
brute,2
bubble,1
bullet,2
burner,1
butter,1
butterfly,1
cake,1
calculation,2
calendar,1
camera,1
candidate,3
candy,1
capacity,3
car,1
cat,1
category,2
caterpillar,1
cause,3
ceiling,1
ceremony,3
chair,1
chance,3
character,4
charity,6
charter,2
chicken,1
chief,3
child,3
chipmunk,1
chlorine,1
chocolate,1
christmas,3
church,4
circuit,1
circumstance,3
city,2
claim,3
clean,4
clearance,2
cliff,1
cloth,1
clothing,2
cocktail,1
coffee,1
coffin,3
cognition,3
coincidence,2
combination,2
comparison,2
competence,4
complication,3
composer,2
comprehension,3
conclusion,3
conference,2
confidence,4
conscience,7
consequence,4
consideration,4
consistency,4
construction,2
contempt,4
context,2
contract,2
convergence,2
core,2
corn,1
corporation,2
corpse,3
correspondent,2
costume,2
cottage,1
coupon,2
cow,1
cowardice,6
cranberry,1
crime,6
crisis,4
criticism,3
crocodile,1
crown,2
cucumber,1
cup,1
curfew,4
dad,2
dagger,2
damage,3
danger,4
darkness,2
debt,3
deceit,5
decision,4
deduction,2
definition,2
degree,2
democracy,5
denial,3
dentist,2
deputy,2
description,2
design,2
desk,1
despair,3
destiny,4
determination,5
development,3
diamond,1
diet,2
difference,2
dilemma,4
dimension,2
disagreement,3
disappointment,3
disaster,4
disgust,4
distance,2
distraction,2
distribution,2
ditch,1
diversity,3
division,2
doctor,2
donor,3
door,1
dove,2
dozen,1
drama,2
drug,3
drum,1
duck,1
duel,3
duration,2
duty,6
dynasty,2
eagle,1
economy,2
edge,2
effect,2
effort,3
eight,1
electricity,1
elephant,1
emergence,2
empire,2
empty,1
enemy,3
engagement,3
entrance,1
entree,1
envy,4
episode,2
equality,5
error,2
escape,2
establishment,2
event,2
evidence,3
example,2
exception,2
exclusion,2
explanation,2
expression,2
extent,2
eyeball,1
fabric,1
fact,2
factory,1
faith,5
fallacy,3
fantasy,2
fat,1
fate,4
father,3
fear,4
fifteen,1
fight,3
figure,2
file,1
fireplace,1
fisherman,1
flask,1
flavor,1
fog,1
food,1
football,1
forest,1
form,2
foundation,2
fountain,1
freedom,5
friendship,5
frog,1
frustration,3
future,3
gender,3
genuine,4
germ,2
gesture,2
girl,2
gorilla,1
grammar,2
grandmother,3
grass,1
grasshopper,1
grief,3
group,2
guess,2
guide,3
guilt,5
gun,2
handkerchief,1
hat,1
hatred,5
hazard,3
heap,1
heart,2
helmet,1
helplessness,4
heresy,5
hierarchy,3
hobby,1
hog,1
holiday,2
honesty,6
hope,4
horse,1
hospital,2
hotel,1
hurricane,3
hurt,3
idea,2
identification,2
identity,3
idiom,2
ignition,1
ignorance,3
imagination,3
immortality,3
impairment,3
importance,4
impossibility,3
improvement,3
incentive,3
inch,1
incident,3
income,2
increase,2
independence,5
individual,3
industry,2
infection,2
information,2
injury,3
inn,1
insight,3
instance,2
instinct,3
institute,2
instructor,2
integrity,6
intelligence,3
intention,4
interaction,3
interior,1
interruption,2
introduction,2
iron,1
irony,3
irrigation,1
island,1
issue,2
itch,1
item,1
jacket,1
jerk,1
jewel,1
job,2
justice,7
justification,4
key,2
kindness,6
kite,1
kitten,1
knife,2
knowledge,4
lake,1
lamb,1
lamp,1
landscape,1
lane,1
latch,1
laughter,2
laundry,1
law,5
leader,3
leadership,4
legality,5
lemon,1
length,1
lens,1
leopard,1
lesson,2
lettuce,1
liar,5
lightning,1
lily,1
limitation,2
line,1
linen,1
lion,1
lip,1
lisp,1
literature,2
lizard,1
loafer,1
loan,2
lobster,1
location,1
lock,1
logic,3
love,5
lunch,1
macaroni,1
magic,2
magnitude,2
majority,2
malice,5
mankind,3
manner,2
mansion,1
march,1
margin,2
marriage,3
master,3
mastery,4
material,2
math,2
mattress,1
measure,2
medicine,2
meeting,2
member,2
memory,2
menu,1
mercy,5
message,2
metaphor,2
method,2
microscope,1
midnight,1
mile,1
mileage,1
mind,3
miracle,3
misery,3
missile,2
mold,1
moment,2
money,2
month,1
moonlight,1
moral,7
mosquito,1
mother,3
mountain,1
mud,1
murder,6
music,2
mustard,1
mystery,2
myth,2
name,2
nation,3
necessity,3
neck,1
necklace,1
neighborhood,2
nerve,2
newspaper,2
nose,1
number,1
nurse,2
object,2
obstruction,2
occasion,2
occupation,2
ocean,1
odor,1
onion,1
opera,1
opinion,3
opponent,3
opportunity,3
opposition,3
orchestra,1
orchid,1
origin,2
originality,3
outcome,2
outfit,1
oven,1
owner,2
ownership,3
palace,1
paradigm,2
paragraph,2
parish,2
park,1
past,2
pawn,1
payment,2
peace,5
peacemaker,6
peach,1
perception,3
performance,2
permission,3
personality,3
pest,2
phenomenon,2
philosophy,4
photo,1
photograph,1
physics,1
pie,1
pig,1
pigeon,1
pile,1
pill,2
pillow,1
pimple,1
play,2
poetry,2
policeman,3
poll,2
pond,1
pool,1
possibility,3
potato,1
prediction,2
preference,3
preparation,2
presence,2
pretense,3
principle,6
produce,2
production,2
professor,2
promotion,2
proof,2
prop,1
propeller,1
property,2
proportion,2
protection,4
psalm,2
puddle,1
punishment,5
puppy,1
purpose,4
pyramid,1
quality,3
queen,2
rabbit,1
radio,1
rainbow,1
raspberry,1
real,3
reality,3
reason,3
rebel,3
recital,1
recognition,3
record,2
reduction,2
reflex,2
refrigerator,1
regret,3
regulation,5
reinforcement,2
relief,3
rent,2
replacement,2
republic,3
reputation,3
requirement,3
resort,1
response,2
responsibility,5
result,2
retention,2
revenge,5
rhyme,1
riddle,2
ring,1
riot,3
risk,3
river,1
road,1
robbery,5
robin,1
rocket,1
roof,1
route,1
rule,6
sadness,3
safety,5
salad,1
salary,2
saloon,1
sanctuary,4
sandal,1
satisfaction,4
scene,1
scent,1
scholar,2
season,1
second,1
security,4
sedative,2
segment,2
selection,2
self,3
separation,2
shame,4
shape,2
shark,1
shirt,1
shock,3
shortness,1
show,2
shrimp,1
sight,2
significance,3
silence,2
sister,3
site,1
situation,2
size,1
skill,3
skin,1
skull,1
skunk,1
sky,1
smell,1
snake,1
sneeze,1
snow,1
sofa,1
sole,1
soul,3
sow,1
specialist,2
specimen,1
speech,2
spelling,1
spider,1
spirit,3
square,1
squeak,1
standard,3
stapler,1
starch,1
state,2
station,1
steam,1
stick,1
stimulus,2
story,2
stranger,2
street,1
stride,2
student,2
stupidity,4
subtraction,2
sugar,1
suggestion,2
suit,1
summer,1
supply,2
suspect,3
sword,2
synagogue,3
talent,3
tallness,1
tax,2
teacher,2
television,1
temperature,1
temple,2
tendency,2
tennis,1
tension,2
territory,1
theory,2
thief,4
thing,1
thorn,1
thought,3
three,1
tide,1
time,2
tip,1
toilet,1
tomato,1
tongue,1
tool,1
topic,2
towel,1
tradition,4
tragedy,3
translation,2
traveler,1
tree,1
truck,1
trumpet,1
trust,4
truth,6
tune,1
twig,1
typewriter,1
uncertainty,3
uncle,2
underworld,2
uniform,2
unit,1
unity,3
university,2
value,3
vapor,1
variety,2
verse,2
victim,4
view,2
vision,3
visitor,1
