word,rating
ability,5
abundance,4
accident,2
accomplishment,5
accumulation,3
acquisition,3
acre,1
addition,3
admiration,4
advantage,4
adventurer,5
adversity,2
advice,3
affection,4
alley,2
alligator,1
ally,3
alphabet,1
ambition,5
ambulance,2
amount,3
amplitude,3
anger,3
animal,2
ankle,4
announcement,2
annoyance,2
anxiety,2
apology,2
appeal,3
apple,1
appointment,2
arc,3
arrangement,3
arrow,3
art,3
article,1
artist,3
aspect,3
assault,2
assistance,3
assumption,2
atom,1
atrocity,1
attempt,4
attention,3
attitude,3
autumn,2
availability,3
awareness,4
baby,3
bag,3
ball,4
ballot,1
banana,1
band,3
bandit,2
bank,2
beast,2
beauty,3
beaver,1
bed,3
bedroom,3
beetle,1
behavior,3
belief,3
bell,2
benefactor,3
bet,2
betrayal,2
beverage,2
bird,3
blade,3
blood,2
boat,3
body,4
bolt,3
border,2
boredom,1
bottle,2
boulder,2
boundary,2
boy,3
bracelet,3
brain,4
branch,3
brawl,2
brevity,1
bridge,3
brother,3
brute,2
bubble,3
bullet,2
burner,2
butter,2
butterfly,3
cake,2
calculation,3
calendar,1
camera,2
candidate,2
candy,2
capacity,3
car,3
cat,2
category,2
caterpillar,1
cause,2
ceiling,2
ceremony,2
chair,3
chance,3
character,3
charity,3
charter,2
chicken,2
chief,3
child,3
chipmunk,1
chlorine,1
chocolate,2
christmas,2
church,2
circuit,2
circumstance,2
city,2
claim,3
clean,3
clearance,2
cliff,2
cloth,2
clothing,3
cocktail,2
coffee,2
coffin,1
cognition,4
coincidence,2
combination,3
comparison,3
competence,4
complication,2
composer,3
comprehension,4
conclusion,2
conference,2
confidence,4
conscience,3
consequence,2
consideration,3
consistency,3
construction,3
contempt,2
context,2
contract,2
convergence,3
core,3
corn,1
corporation,2
corpse,1
correspondent,2
costume,3
cottage,2
coupon,1
cow,2
cowardice,1
cranberry,1
crime,2
crisis,2
criticism,2
crocodile,1
crown,2
cucumber,1
cup,2
curfew,1
dad,3
dagger,2
damage,2
danger,2
darkness,2
debt,2
deceit,2
decision,3
deduction,3
definition,2
degree,3
democracy,2
denial,2
dentist,2
deputy,2
description,2
design,3
desk,2
despair,2
destiny,3
determination,5
development,3
diamond,2
diet,2
difference,3
dilemma,2
dimension,3
disagreement,2
disappointment,2
disaster,2
disgust,2
distance,3
distraction,2
distribution,2
ditch,2
diversity,3
division,2
doctor,2
donor,2
door,3
dove,2
dozen,2
drama,3
drug,2
drum,3
duck,2
duel,2
duration,2
duty,3
dynasty,2
eagle,2
economy,2
edge,3
effect,2
effort,4
eight,1
electricity,2
elephant,1
emergence,3
empire,2
empty,2
enemy,2
engagement,3
entrance,3
entree,2
envy,2
episode,2
equality,3
error,2
escape,3
establishment,2
event,2
evidence,2
example,2
exception,2
exclusion,2
explanation,2
expression,3
extent,2
eyeball,2
fabric,2
