word,rating
line,3
skill,5
nose,1
knowledge,7
information,7
rainbow,1
ownership,4
faith,6
affection,3
zoo,1
correspondent,5
rebel,4
moonlight,1
photo,1
opportunity,5
anger,5
coupon,2
adventurer,4
fabric,1
itch,1
character,5
cat,1
crisis,5
danger,4
sneeze,1
identification,6
writing,6
behavior,6
tendency,5
burner,1
baby,1
variety,4
mansion,2
uncle,2
macaroni,1
prediction,6
mud,1
engagement,4
square,2
odor,1
window,1
route,2
tide,1
location,2
resort,2
destiny,5
preference,5
helmet,1
occasion,3
outcome,4
unity,4
deduction,7
fate,5
safety,3
cottage,1
irony,5
fear,4
horse,1
onion,1
peace,3
cake,1
opinion,7
bandit,3
imagination,7
tradition,5
belief,6
method,6
menu,2
measure,4
importance,5
propeller,1
park,1
development,5
escape,3
kitten,1
volcano,1
consistency,5
diamond,1
promotion,4
pillow,1
confidence,6
literature,6
incentive,5
ally,3
donor,2
magic,3
arrangement,3
boulder,1
produce,2
independence,5
autumn,1
honesty,6
island,1
love,3
poll,3
entrance,2
pest,1
shortness,2
suspect,4
example,4
cowardice,4
alley,1
opera,2
thief,3
factory,2
charter,3
lobster,1
peacemaker,4
combination,3
liar,3
degree,4
size,1
duck,1
fisherman,2
heresy,4
significance,6
vocabulary,6
guess,5
murder,4
bridge,2
boy,1
microscope,2
lisp,1
university,5
lily,1
fight,4
opposition,5
ditch,1
preparation,5
chicken,1
sow,1
salad,1
betrayal,4
mercy,3
street,1
dimension,4
calendar,2
income,2
fog,1
originality,6
curfew,3
weather,2
music,2
willingness,6
rent,2
bed,1
underworld,3
wish,3
starch,1
wallet,2
volume,2
grief,4
elephant,1
explanation,6
miracle,4
idiom,5
episode,3
announcement,5
past,2
station,2
riot,4
soul,4
effect,4
selection,4
bullet,1
stick,1
proportion,4
property,2
memory,6
contract,3
intention,6
lens,1
assumption,6
recognition,6
youth,2
silence,2
cloth,1
performance,4
recital,3
master,4
salary,2
ankle,1
mother,2
foundation,4
story,3
cucumber,1
availability,4
nurse,2
metaphor,5
grass,1
brother,2
handkerchief,1
comprehension,7
banana,1
television,2
snow,1
amount,2
suit,2
neck,1
clearance,3
standard,4
legality,5
convergence,4
art,2
trumpet,1
diet,2
institute,4
appeal,3
costume,2
prop,2
proof,4
oven,1
candy,1
contempt,4
ceremony,3
eyeball,1
dentist,2
suggestion,6
beauty,2
waste,2
chocolate,1
shirt,1
cause,3
integrity,6
hog,1
nation,3
lamb,1
conscience,6
chlorine,1
extent,2
drama,3
anxiety,4
design,4
record,3
cranberry,1
money,2
mustard,1
calculation,6
protection,4
leadership,5
adversity,4
skin,1
snake,1
mold,1
effort,4
increase,3
subtraction,5
duration,3
description,5
member,2
dynasty,3
revenge,4
production,4
skull,1
mile,1
necessity,4
ambition,5
branch,1
child,1
enemy,3
identity,5
potato,1
professor,5
mosquito,1
doctor,2
artist,2
girl,1
crocodile,1
job,2
debt,2
missile,1
palace,2
tension,4
food,1
issue,3
church,2
assistance,4
supply,2
mankind,3
stranger,3
composer,3
idea,7
appointment,4
decision,6
drum,1
chance,3
hierarchy,4
manner,3
spirit,4
bolt,1
hatred,4
show,2
conclusion,5
pig,1
lion,1
retention,4
interaction,5
tax,2
midnight,2
bracelet,1
specialist,5
risk,3
physics,5
roof,1
frog,1
grandmother,2
body,1
circuit,2
dad,1
bet,2
camera,1
impairment,4
site,2
animal,1
equality,4
poetry,5
boredom,3
response,4
coffee,1
want,3
nerve,1
corn,1
play,2
trust,4
orchestra,2
wisdom,6
inch,1
duty,3
industry,4
limitation,4
hurt,3
capacity,4
car,1
ocean,1
injury,3
radio,1
misery,4
butter,1
chipmunk,1
reflex,3
incident,3
father,2
hospital,2
unit,2
origin,3
translation,5
envy,4
mystery,4
entree,1
reality,4
principle,5
holiday,2
logic,6
arrow,1
sedative,2
kite,1
guide,3
arc,1
boundary,3
forest,1
uniform,2
