word,rating
candidate,3
irrigation,4
democracy,3
snow,2
announcement,3
neighborhood,2
music,2
crown,2
identity,2
midnight,6
hurt,1
adventurer,2
comparison,4
arrow,3
method,4
segment,4
disappointment,1
specialist,2
majority,3
lily,1
rainbow,2
iron,2
relief,2
bolt,3
riot,1
stride,3
hope,2
shortness,5
ally,2
economy,3
ditch,2
stimulus,2
justification,3
pie,2
clearance,3
sight,2
ambulance,2
blood,1
pile,3
limitation,4
abundance,3
outcome,3
regulation,4
cake,2
macaroni,1
twig,2
cognition,2
beast,1
grammar,3
duty,3
standard,4
talent,2
roof,2
lens,2
student,2
worry,1
instinct,2
guess,2
second,6
nation,2
uniform,2
cranberry,1
route,3
ignition,3
occupation,2
separation,3
linen,2
view,2
speech,2
obstruction,3
soul,1
grandmother,2
dove,1
sofa,1
regret,1
suit,2
frustration,1
disaster,1
skin,1
football,2
appeal,2
integrity,2
adversity,1
memory,3
skull,1
station,3
fate,3
consequence,3
attempt,2
raspberry,1
university,2
cloth,2
cup,2
context,2
poetry,2
candy,1
mileage,4
liar,1
trust,2
oven,2
key,2
traveler,2
mustard,1
admiration,1
sadness,1
accumulation,3
conscience,2
rabbit,1
fireplace,2
bridge,3
measure,4
costume,2
intention,3
menu,2
deduction,3
window,2
loafer,1
butter,1
convergence,3
fight,1
winter,4
verse,2
advice,2
form,2
immortality,2
engagement,3
mind,2
trumpet,2
margin,3
puddle,2
amplitude,3
orchid,1
scene,2
reflex,2
interior,2
empire,2
insight,2
aspect,2
denial,1
grasshopper,1
stapler,2
tallness,4
cause,3
article,2
opposition,3
introduction,3
retention,3
pretense,2
capacity,3
pigeon,1
silence,2
boy,1
mastery,2
definition,3
grief,1
replacement,3
quality,2
skill,2
affection,1
thorn,1
reality,2
banana,1
leader,2
danger,1
self,1
edge,2
lunch,2
laughter,1
myth,2
pawn,2
reputation,2
dozen,3
dagger,1
donor,2
duel,2
arc,2
temple,2
shame,1
victim,1
deceit,1
dad,1
paradigm,3
proof,3
charity,2
vocabulary,2
brother,2
pillow,1
propeller,3
significance,3
rule,3
friendship,2
weight,3
suspect,2
marriage,3
episode,3
determination,3
photo,2
landscape,2
shape,2
rhyme,2
situation,3
love,1
synagogue,2
moral,2
object,2
opinion,2
miracle,2
beaver,1
march,3
fat,1
income,3
requirement,3
sanctuary,2
lobster,1
palace,2
bank,3
pig,1
moonlight,4
coffee,1
core,2
competence,3
wood,2
salary,3
cow,1
protection,2
woman,1
brain,2
television,2
justice,2
brawl,1
unity,2
nose,1
wave,3
mankind,2
interruption,3
bottle,2
spelling,3
lizard,1
foundation,3
hurricane,3
professor,2
institute,2
sugar,1
helplessness,1
purpose,3
lane,2
territory,2
contract,3
coffin,2
bird,1
physics,2
proportion,4
line,4
salad,1
consistency,3
development,3
holiday,3
exclusion,3
event,3
jewel,1
promotion,3
acre,2
pest,1
availability,3
gender,1
fantasy,2
shock,1
performance,3
phenomenon,3
uncertainty,2
weather,3
reinforcement,3
time,7
necessity,3
towel,1
saloon,2
permission,3
category,3
bandit,1
doctor,2
diet,2
tide,3
heresy,1
length,4
policeman,2
magic,2
apple,1
unit,3
queen,2
mystery,2
emergence,3
republic,2
contempt,1
law,3
baby,1
starch,2
radio,2
kitten,1
description,3
eagle,1
preference,2
theory,2
variety,3
group,2
alley,2
burner,2
material,2
darkness,2
mile,4
toilet,1
medicine,2
security,2
lemon,1
bed,1
distance,4
file,3
kite,2
fear,1
suggestion,2
robin,1
ocean,3
cat,1
germ,1
art,2
eight,3
individual,2
nurse,2
correspondent,2
claim,2
butterfly,1
duck,1
lamb,1
horse,2
mansion,2
real,2
missile,3
effect,3
truth,2
incentive,2
border,3
diamond,2
beauty,1
guide,2
drum,2
logic,3
assumption,3
infection,2
lock,2
explanation,3
thing,2
benefactor,2
bag,1
reason,3
fog,2
establishment,3
gesture,2
vapor,2
increase,3
mercy,2
tendency,3
destiny,3
figure,2
pyramid,2
translation,3
autumn,4
entrance,3
atrocity,1
lamp,2
squeak,1
risk,2
occasion,3
road,3
ignorance,1
difference,3
mosquito,1
street,2
boredom,1
peace,2
grass,1
location,3
knife,1
calculation,4
opportunity,3
season,4
wolf,1
neck,1
extent,3
typewriter,2
shark,1
reduction,3
branch,2
empty,2
heart,1
chicken,1
malice,1
zoo,1
beetle,1
band,2
lisp,1
interaction,2
owner,2
cowardice,1
corporation,2
incident,3
parish,2
site,2
identification,2
bracelet,2
mud,1
christmas,2
evidence,3
produce,2
park,2
anxiety,1
cucumber,1
coupon,2
dentist,2
lettuce,1
prop,2
guilt,1
leopard,1
imagination,2
ankle,1
conference,2
impairment,2
lip,1
tension,2
father,1
pill,1
duration,5
teacher,2
faith,2
handkerchief,1
microscope,2
eyeball,1
construction,3
camera,2
want,1
boat,2
animal,1
future,3
alphabet,3
onion,1
ambition,2
degree,3
sword,1
church,2
exception,3
supply,2
accident,2
wage,3
calendar,4
laundry,1
industry,2
manner,2
hazard,1
peach,1
philosophy,2
behavior,2
misery,1
response,3
fallacy,2
specimen,2
state,2
thought,2
belief,2
ballot,2
opponent,2
show,2
independence,2
temperature,3
blade,1
satisfaction,2
corn,1
alligator,1
literature,2
metaphor,2
youth,1
bullet,1
charter,2
car,2
mold,1
principle,3
circumstance,3
property,2
wish,1
conclusion,3
cocktail,1
division,3
mountain,2
volcano,2
item,2
stupidity,1
steam,2
anger,1
writing,2
leadership,2
rent,3
stranger,2
magnitude,3
hospital,2
river,2
photograph,2
opera,2
name,2
flask,2
appointment,3
rocket,3
escape,2
distraction,2
city,2
meeting,3
latch,2
nerve,1
robbery,1
instance,3
lesson,3
paragraph,3
vision,2
frog,1
sole,1
jacket,2
tradition,3
past,4
sister,1
payment,3
gun,1
size,3
curfew,4
food,1
tragedy,1
legality,2
hotel,2
mother,1
outfit,2
diversity,3
example,2
girl,1
issue,2
despair,1
three,3
job,2
waste,1
prediction,3
