word,rating
line,2
skill,1
nose,2
knowledge,1
information,1
rainbow,2
ownership,1
faith,1
affection,1
zoo,6
correspondent,3
rebel,3
moonlight,2
photo,2
opportunity,1
anger,3
coupon,1
adventurer,2
fabric,2
itch,2
character,2
cat,5
crisis,3
danger,3
sneeze,7
identification,1
writing,2
behavior,2
tendency,1
burner,3
baby,5
variety,2
mansion,2
uncle,3
macaroni,2
prediction,1
mud,2
engagement,3
square,2
odor,2
window,3
route,2
tide,4
location,2
resort,2
destiny,1
preference,1
helmet,2
occasion,2
outcome,1
unity,2
deduction,1
fate,1
safety,2
cottage,2
irony,1
fear,3
horse,5
onion,2
peace,2
cake,2
opinion,2
bandit,3
imagination,1
tradition,2
belief,1
method,1
menu,2
measure,2
importance,1
propeller,5
park,3
development,1
escape,3
kitten,5
volcano,6
consistency,1
diamond,2
promotion,1
pillow,2
confidence,1
literature,2
incentive,1
ally,2
donor,2
magic,3
arrangement,2
boulder,2
produce,2
independence,1
autumn,3
honesty,1
island,3
love,2
poll,3
entrance,3
pest,4
shortness,1
suspect,2
example,1
cowardice,1
alley,3
opera,7
thief,3
factory,5
charter,1
lobster,2
peacemaker,2
combination,1
liar,3
degree,1
size,1
duck,5
fisherman,3
heresy,1
significance,1
vocabulary,2
guess,2
murder,4
bridge,2
boy,4
microscope,2
lisp,7
university,3
lily,2
fight,4
opposition,2
ditch,2
preparation,1
chicken,5
sow,4
salad,2
betrayal,1
mercy,1
street,4
dimension,1
calendar,2
income,1
fog,2
originality,1
curfew,3
weather,3
music,7
willingness,1
rent,2
bed,2
underworld,3
wish,1
starch,2
wallet,2
volume,4
grief,2
elephant,5
explanation,2
miracle,2
idiom,2
episode,2
announcement,5
past,1
station,3
riot,6
soul,1
effect,2
selection,1
bullet,5
stick,3
proportion,1
property,2
memory,1
contract,2
intention,1
lens,2
assumption,1
recognition,2
youth,2
silence,7
cloth,2
performance,6
recital,7
master,2
salary,1
ankle,2
mother,4
foundation,1
story,3
cucumber,2
availability,1
nurse,3
metaphor,1
grass,3
brother,4
handkerchief,2
comprehension,1
banana,2
television,5
snow,3
amount,1
suit,2
neck,2
clearance,2
standard,1
legality,1
convergence,1
art,2
trumpet,7
diet,1
institute,2
appeal,2
costume,2
prop,2
proof,1
oven,3
candy,2
contempt,1
ceremony,3
eyeball,2
dentist,3
suggestion,2
beauty,1
waste,3
chocolate,2
shirt,2
cause,1
integrity,1
hog,5
nation,2
lamb,5
conscience,1
chlorine,2
extent,1
drama,4
anxiety,2
design,1
record,5
cranberry,2
money,2
mustard,2
calculation,1
protection,1
leadership,1
adversity,1
skin,2
snake,5
mold,2
effort,1
increase,1
subtraction,1
duration,1
description,1
member,2
dynasty,1
revenge,2
production,2
skull,2
mile,2
necessity,1
ambition,1
branch,3
child,4
enemy,3
identity,1
potato,2
professor,3
mosquito,6
doctor,3
artist,2
girl,4
crocodile,5
job,2
debt,1
missile,5
palace,2
tension,2
food,2
issue,2
church,4
assistance,2
supply,2
mankind,1
stranger,3
composer,6
idea,1
appointment,2
decision,1
drum,7
chance,2
hierarchy,1
manner,2
spirit,2
bolt,4
hatred,1
show,3
conclusion,1
pig,5
lion,6
retention,1
interaction,2
tax,1
midnight,3
bracelet,2
specialist,2
risk,2
physics,1
roof,2
frog,5
grandmother,4
body,2
circuit,2
dad,4
bet,2
camera,2
impairment,1
site,2
animal,4
equality,1
poetry,4
boredom,1
response,3
coffee,2
want,1
nerve,2
corn,2
play,4
trust,1
orchestra,7
wisdom,1
inch,1
duty,1
industry,2
limitation,1
hurt,2
capacity,1
car,4
ocean,4
injury,2
radio,6
misery,1
butter,2
chipmunk,5
reflex,2
incident,2
father,4
hospital,3
unit,1
origin,1
translation,2
envy,1
mystery,2
entree,2
reality,1
principle,1
holiday,3
logic,1
arrow,3
sedative,2
kite,2
guide,2
arc,1
boundary,1
forest,4
uniform,1
blood,1
paradigm,1
alligator,5
clothing,1
message,3
mileage,1
rule,1
insight,1
medicine,1
dove,5
aspect,1
hope,1
moral,1
acquisition,1
hat,1
object,1
sadness,3
sofa,1
quality,1
leader,2
tragedy,3
corporation,1
disaster,5
state,1
second,1
rhyme,7
uncertainty,1
time,1
brute,4
gender,1
assault,4
door,5
requirement,1
beverage,1
majority,1
circumstance,1
policeman,3
beetle,1
accumulation,1
bell,7
stride,3
lizard,1
addition,1
fallacy,1
summer,3
city,5
group,1
bubble,5
exception,1
puddle,3
lock,5
presence,1
jacket,1
