word,rating
corporation,1
deputy,1
brawl,1
church,1
uncle,1
moral,1
faith,1
mountain,5
shirt,7
duel,1
hospital,2
lip,4
love,1
material,4
ambulance,6
enemy,1
event,1
honesty,1
tennis,2
missile,3
origin,1
waste,2
route,1
university,1
limitation,1
poetry,1
artist,1
instructor,1
salary,1
arrangement,1
personality,1
opposition,1
pretense,1
rent,1
possibility,1
ignition,1
circumstance,1
justification,1
gesture,1
lobster,6
insight,1
selection,1
accumulation,1
student,1
topic,1
philosophy,1
gorilla,5
myth,1
misery,1
truth,1
member,1
purpose,1
temperature,1
station,1
marriage,1
outcome,1
cliff,5
puddle,4
lens,3
skin,6
complication,1
peace,1
mustard,6
beverage,4
beaver,5
consistency,1
television,3
logic,1
chief,1
brain,4
cocktail,5
danger,1
pest,2
truck,3
mercy,1
metaphor,1
intelligence,1
damage,1
explanation,1
banana,7
beast,3
oven,2
body,4
holiday,1
theory,1
rocket,3
addition,1
integrity,1
pawn,3
form,1
supply,1
attention,1
hope,1
circuit,3
annoyance,1
memory,1
stimulus,1
proof,1
empty,1
rainbow,7
charter,1
mystery,1
desk,3
music,1
hat,7
length,1
stupidity,1
donor,1
thorn,3
cottage,3
mud,6
crocodile,5
atrocity,1
teacher,1
group,1
establishment,1
zoo,2
meeting,1
site,1
horse,5
interruption,1
dentist,1
originality,1
orchestra,1
christmas,5
ceiling,3
denial,1
want,1
expression,1
shock,1
idiom,1
toilet,2
animal,4
typewriter,2
legality,1
fountain,3
subtraction,1
victim,1
unit,1
requirement,1
car,5
security,1
preparation,1
season,3
sword,3
brevity,1
future,1
menu,2
helplessness,1
woman,1
rhyme,1
cow,5
duration,1
ballot,2
cat,5
hierarchy,1
incident,1
capacity,1
blade,3
grass,7
miracle,1
autumn,6
introduction,1
chlorine,4
jerk,1
outfit,7
frog,6
attempt,1
assault,1
ceremony,1
leader,1
fisherman,1
willingness,1
grammar,1
talent,1
criticism,1
appointment,1
river,4
clearance,1
ditch,4
phenomenon,1
island,4
permission,1
flask,3
tax,1
loafer,7
calculation,1
identity,1
starch,2
fat,2
ankle,1
development,1
tool,3
ownership,1
abundance,1
visitor,1
doctor,1
laundry,4
importance,1
inch,1
cranberry,7
arc,1
girl,1
chair,4
destiny,1
magic,1
square,1
saloon,2
jewel,6
eight,1
cake,5
lily,6
second,1
wave,4
ignorance,1
laughter,1
engagement,1
boat,4
debt,1
impossibility,1
conference,1
speech,1
blood,7
opponent,1
caterpillar,5
revenge,1
wood,5
grasshopper,6
definition,1
mattress,3
ocean,6
leadership,1
bell,3
grief,1
result,1
tendency,1
combination,1
measure,1
policeman,1
anxiety,1
shape,1
sneeze,1
raspberry,7
dagger,3
linen,7
factory,2
irrigation,1
volt,1
comparison,1
paradigm,1
odor,1
