word,rating
suit,2
performance,5
cognition,3
hat,1
disappointment,7
city,4
independence,6
hotel,3
guilt,7
bubble,4
marriage,5
neighborhood,4
adversity,6
crown,5
fisherman,3
peach,5
lion,5
vapor,2
fantasy,6
advice,5
metaphor,2
blade,6
arc,1
lamp,2
square,1
accident,6
attitude,5
material,2
outcome,3
error,5
puddle,2
comparison,2
regulation,3
cowardice,7
engagement,5
site,2
professor,4
mosquito,6
mold,6
irony,4
contempt,7
purpose,5
knife,6
opportunity,6
curfew,5
despair,7
anxiety,7
cloth,2
truck,2
stride,3
three,1
mind,4
sword,5
spider,5
baby,6
inn,3
bullet,6
trumpet,3
costume,4
leopard,4
diversity,6
river,4
duty,5
math,3
bell,3
ceiling,1
blood,6
landscape,5
photograph,4
consideration,5
chief,4
witness,4
insight,6
fear,7
bird,4
butter,3
equality,7
perception,3
availability,3
weather,3
hierarchy,4
toilet,2
principle,5
propeller,2
future,5
riddle,3
promotion,6
annoyance,6
advantage,6
spelling,2
key,3
typewriter,2
sight,3
occasion,3
gun,7
odor,5
ambulance,5
past,4
lane,1
decision,4
volt,1
band,4
ocean,5
sedative,5
rabbit,4
opposition,5
clean,5
boy,4
riot,7
nerve,5
confidence,6
frustration,7
specialist,3
recognition,6
kitten,6
pawn,3
selection,3
mile,2
genuine,5
beetle,3
job,4
towel,2
issue,4
dynasty,4
sandal,2
establishment,3
dagger,6
neck,2
stapler,1
fight,6
lightning,5
lunch,4
second,1
child,5
exclusion,6
description,2
art,5
suggestion,4
development,5
magnitude,2
institute,3
sow,2
alley,3
time,4
honesty,6
produce,3
arrangement,3
bag,2
intention,4
group,3
body,3
rebel,5
midnight,4
drama,5
distraction,5
bracelet,3
proportion,2
horse,4
crime,7
core,3
personality,4
park,4
disaster,7
cocktail,4
suspect,6
philosophy,4
literature,4
limitation,5
magic,5
conscience,5
teacher,4
destiny,5
murder,7
assistance,5
escape,5
affection,6
ability,5
cake,5
football,4
brain,3
psalm,4
fountain,4
imagination,5
state,3
majority,2
tool,2
incentive,5
stranger,5
interaction,4
enemy,7
stick,2
leader,5
competence,5
bedroom,4
cottage,4
pest,6
subtraction,1
lake,4
jacket,2
volume,2
spirit,5
orchestra,4
improvement,6
darkness,5
chicken,3
mileage,2
steam,2
thought,3
criticism,6
reality,4
segment,1
robin,4
student,4
dozen,1
diet,3
rent,4
charity,6
security,6
helplessness,7
sadness,7
sole,2
apple,4
file,2
proof,3
island,5
reflex,2
intelligence,6
accomplishment,6
lettuce,2
physics,3
vocabulary,3
saloon,3
disagreement,6
revenge,7
protection,6
visitor,3
alphabet,1
brevity,2
synagogue,4
wolf,5
shrimp,3
duration,1
lamb,4
circuit,2
cup,2
conclusion,3
want,4
preference,3
grammar,2
reinforcement,4
idiom,2
forest,4
worry,6
branch,2
orchid,4
oven,2
effect,3
salary,4
atom,1
variety,3
beauty,6
assumption,3
republic,4
object,1
belief,5
combination,2
guide,4
factory,3
real,3
effort,4
chocolate,5
flavor,3
composer,3
cucumber,2
hobby,5
empire,4
topic,2
pool,4
ally,5
mercy,6
scent,4
beaver,3
theory,2
drum,3
opinion,3
border,3
nose,2
safety,6
appeal,4
correspondent,3
number,1
tree,4
traveler,4
television,3
refrigerator,2
disgust,7
crisis,7
cause,3
lobster,3
shark,6
temperature,2
satisfaction,6
ditch,3
shame,7
flask,1
supply,3
menu,3
calculation,2
outfit,3
deputy,3
miracle,6
increase,3
lemon,3
attention,4
month,1
rule,3
snow,4
coupon,3
tension,6
phenomenon,2
truth,6
station,3
diamond,5
property,3
aspect,2
kite,3
construction,3
distribution,2
photo,4
paradigm,2
reduction,3
myth,3
punishment,7
brute,6
industry,3
necessity,4
faith,6
loan,4
income,4
summer,5
bed,4
ignorance,6
bolt,2
helmet,3
ceremony,4
paragraph,1
music,6
reason,4
heap,1
addition,1
adventurer,5
hazard,6
justification,3
rhyme,3
betrayal,7
chipmunk,4
sky,4
hurt,7
animal,4
corn,2
mud,6
candy,7
street,3
desk,1
rocket,4
gender,2
possibility,6
foundation,6
woman,2
entrance,2
attempt,2
idea,6
verse,2
grief,7
entree,2
wave,2
permission,6
fallacy,6
wisdom,7
expression,3
territory,3
abundance,7
infection,7
method,1
charter,2
volcano,6
deceit,7
grass,2
moment,3
ignition,2
thief,7
holiday,7
peace,7
introduction,2
fat,5
economy,3
roof,3
palace,6
scene,2
hurricane,7
camera,4
regret,7
boat,3
identification,2
preparation,2
starch,1
definition,1
evidence,3
distance,2
tennis,5
benefactor,7
nation,4
grandmother,7
resort,6
occupation,2
immortality,6
bridge,4
burner,1
claim,2
friendship,7
announcement,2
payment,3
form,1
mankind,4
soul,7
butterfly,7
boredom,7
youth,6
pillow,6
memory,5
weight,3
injury,7
legality,3
owner,2
uncle,5
member,2
hatred,7
category,1
shock,5
amplitude,1
march,3
frog,2
skill,7
uniform,3
design,6
anger,7
information,2
speech,3
tune,5
boundary,3
silence,5
girl,2
calendar,1
margin,1
temple,5
envy,7
snake,7
jerk,7
clothing,2
shape,1
wallet,3
ballot,6
fog,4
talent,7
underworld,7
originality,7
sneeze,3
peacemaker,7
dilemma,6
convergence,2
heresy,7
retention,2
impossibility,6
route,1
chlorine,3
damage,7
lizard,3
ball,4
drug,6
explanation,2
dove,7
context,1
church,5
trust,7
vision,6
sugar,5
pile,1
law,5
salad,5
skunk,6
danger,7
manner,2
laundry,3
character,5
accumulation,2
identity,4
misery,7
pimple,7
tallness,1
requirement,2
jewel,7
arrow,3
obstruction,7
electricity,4
mother,7
university,6
unit,1
apology,5
opponent,5
significance,6
wish,6
line,1
situation,2
fact,1
pill,4
autumn,5
play,6
crocodile,7
impairment,7
parish,2
message,2
gorilla,4
tendency,1
wage,3
complication,7
sister,7
comprehension,6
inch,1
itch,6
car,3
willingness,6
radio,2
integrity,7
money,5
smell,3
pond,2
grasshopper,2
hospital,5
unity,7
christmas,7
reputation,5
coffee,6
love,7
admiration,7
acre,1
banana,2
clearance,2
artist,7
ring,4
cow,2
self,3
debt,7
lip,1
thing,1
conference,2
iron,3
thorn,7
exception,2
tragedy,7
season,2
door,1
specimen,2
instructor,5
figure,2
location,1
prediction,2
replacement,2
pretense,7
freedom,7
macaroni,2
water,5
master,5
pigeon,3
event,2
presence,2
mattress,5
responsibility,5
bandit,7
ownership,3
