word,rating
candidate,1
irrigation,1
democracy,1
snow,2
announcement,1
neighborhood,3
music,1
crown,1
identity,1
midnight,1
hurt,1
adventurer,1
comparison,2
arrow,1
method,1
segment,6
disappointment,1
specialist,1
majority,7
lily,1
rainbow,1
iron,1
relief,1
bolt,1
riot,1
stride,4
hope,1
shortness,7
ally,1
economy,4
ditch,5
stimulus,1
justification,1
pie,1
clearance,6
sight,1
ambulance,1
blood,2
pile,7
limitation,6
abundance,7
outcome,1
regulation,1
cake,1
macaroni,1
twig,5
cognition,1
beast,1
grammar,1
duty,1
standard,4
talent,1
roof,2
lens,2
student,1
worry,1
instinct,1
guess,1
second,1
nation,5
uniform,1
cranberry,1
route,4
ignition,1
occupation,1
separation,3
linen,1
view,4
speech,1
obstruction,3
soul,1
grandmother,1
dove,1
sofa,2
regret,1
suit,1
frustration,1
disaster,1
skin,3
football,1
appeal,1
integrity,1
adversity,1
memory,1
skull,2
station,1
fate,1
consequence,1
attempt,1
raspberry,1
university,3
cloth,3
cup,5
context,4
poetry,1
candy,1
mileage,7
liar,1
trust,1
oven,3
key,1
traveler,1
mustard,1
admiration,1
sadness,1
accumulation,7
conscience,1
rabbit,1
fireplace,3
bridge,4
measure,6
costume,1
intention,1
menu,1
deduction,5
window,3
loafer,1
butter,2
convergence,1
fight,1
winter,1
verse,3
advice,1
form,5
immortality,1
engagement,1
mind,1
trumpet,1
margin,6
puddle,6
amplitude,7
orchid,1
scene,3
reflex,1
interior,4
empire,6
insight,1
aspect,1
denial,1
grasshopper,1
stapler,1
tallness,7
cause,1
article,1
opposition,1
introduction,1
retention,4
pretense,1
capacity,7
pigeon,1
silence,1
boy,1
mastery,1
definition,1
grief,1
replacement,1
quality,2
skill,1
affection,1
thorn,1
reality,1
banana,1
leader,1
danger,1
self,1
edge,4
lunch,1
laughter,1
myth,1
pawn,1
reputation,1
dozen,7
dagger,1
donor,1
duel,1
arc,5
temple,3
shame,1
victim,1
deceit,1
dad,1
paradigm,1
proof,1
charity,2
vocabulary,4
brother,1
pillow,2
propeller,2
significance,1
rule,1
friendship,1
weight,7
suspect,1
marriage,1
episode,4
determination,1
photo,1
landscape,4
shape,6
rhyme,1
situation,3
love,1
synagogue,2
moral,1
object,3
opinion,1
miracle,1
beaver,1
march,1
fat,4
income,7
requirement,1
sanctuary,3
lobster,1
palace,6
bank,1
pig,1
moonlight,1
coffee,1
core,4
competence,1
wood,2
salary,7
cow,1
protection,1
woman,1
brain,2
television,1
justice,1
brawl,1
unity,1
nose,2
wave,4
mankind,4
interruption,1
bottle,5
spelling,1
lizard,1
foundation,3
hurricane,4
professor,1
institute,3
sugar,2
helplessness,1
purpose,1
lane,4
territory,6
contract,1
coffin,3
bird,1
physics,1
proportion,7
line,5
salad,1
consistency,1
development,3
holiday,1
exclusion,1
event,1
jewel,1
promotion,1
acre,7
pest,1
availability,3
gender,1
fantasy,1
shock,1
performance,1
phenomenon,1
uncertainty,1
weather,1
reinforcement,3
time,1
necessity,1
towel,2
saloon,2
permission,1
category,3
bandit,1
doctor,1
diet,2
tide,4
heresy,1
length,7
policeman,1
magic,1
apple,1
unit,6
queen,1
mystery,1
emergence,1
republic,1
contempt,1
law,1
baby,1
starch,2
radio,1
kitten,1
description,1
eagle,1
preference,1
theory,1
variety,4
group,5
alley,5
burner,1
material,2
darkness,3
mile,7
toilet,2
medicine,3
security,1
lemon,1
bed,3
distance,7
file,1
kite,1
fear,1
suggestion,1
robin,1
ocean,6
cat,1
germ,5
art,1
eight,7
individual,1
nurse,1
correspondent,1
claim,1
butterfly,1
duck,1
lamb,1
horse,1
mansion,6
real,1
missile,1
effect,1
truth,1
incentive,1
border,5
diamond,1
beauty,1
guide,1
drum,1
logic,1
assumption,1
infection,3
lock,1
explanation,1
thing,3
benefactor,1
bag,5
reason,1
fog,4
establishment,1
gesture,1
vapor,2
increase,7
mercy,1
tendency,1
destiny,1
figure,6
pyramid,4
translation,1
autumn,1
entrance,3
atrocity,1
lamp,1
squeak,1
risk,3
occasion,1
road,4
ignorance,1
difference,4
mosquito,5
street,4
boredom,1
peace,1
grass,2
location,3
knife,1
calculation,3
opportunity,1
season,1
wolf,1
neck,2
extent,7
typewriter,1
shark,5
reduction,7
branch,3
empty,6
heart,2
chicken,1
malice,1
zoo,3
beetle,1
band,1
lisp,1
interaction,1
owner,1
cowardice,1
corporation,4
incident,1
parish,4
site,4
identification,1
bracelet,2
mud,2
christmas,1
evidence,1
produce,3
park,4
anxiety,1
cucumber,3
coupon,1
dentist,1
lettuce,1
prop,2
guilt,1
leopard,1
imagination,1
ankle,2
conference,3
impairment,3
lip,2
tension,3
father,1
pill,3
duration,7
teacher,1
faith,1
handkerchief,2
microscope,4
eyeball,2
construction,3
camera,1
want,6
boat,3
animal,1
future,1
alphabet,1
onion,1
ambition,1
degree,7
sword,1
church,3
exception,1
supply,7
accident,1
wage,7
calendar,1
laundry,3
industry,4
manner,1
hazard,1
peach,1
philosophy,1
behavior,1
misery,1
response,1
fallacy,1
specimen,3
state,5
thought,1
belief,1
ballot,1
opponent,1
show,1
independence,1
temperature,7
blade,3
satisfaction,1
corn,2
alligator,1
literature,3
metaphor,1
youth,1
bullet,3
charter,1
car,3
mold,1
principle,1
circumstance,1
property,4
wish,1
conclusion,1
cocktail,1
division,5
mountain,6
volcano,4
item,4
stupidity,1
steam,2
anger,1
writing,1
leadership,1
rent,7
stranger,1
magnitude,7
hospital,3
river,4
photograph,1
opera,1
name,1
flask,5
appointment,1
rocket,3
escape,1
distraction,1
city,6
meeting,1
latch,1
nerve,1
robbery,1
instance,1
lesson,1
paragraph,3
vision,1
frog,1
sole,2
jacket,2
tradition,1
past,1
sister,1
payment,7
gun,1
size,7
curfew,1
food,2
tragedy,1
legality,1
hotel,3
mother,1
outfit,1
diversity,4
example,1
girl,1
issue,1
despair,1
three,7
job,1
waste,3
prediction,1
tree,3
selection,3
responsibility,1
skunk,1
psalm,1
presence,1
resort,3
month,1
effort,1
knowledge,1
tip,2
lake,4
ring,2
possibility,1
comprehension,1
injury,1
attention,1
door,3
confidence,1
refrigerator,3
value,4
math,5
chocolate,2
chair,2
clean,1
apology,1
acquisition,3
scent,1
irony,1
expression,1
enemy,1
mattress,3
necklace,2
potato,1
truck,3
factory,3
jerk,1
tune,1
island,4
combination,3
underworld,1
idiom,1
lightning,1
drama,1
bubble,3
honesty,1
sandal,1
murder,1
drug,2
ownership,1
willingness,1
body,3
visitor,1
boulder,6
preparation,1
cliff,4
production,4
sneeze,1
origin,1
message,1
itch,1
topic,3
wallet,2
cottage,5
lion,1
advantage,1
water,2
awareness,1
pimple,5
dimension,7
sow,1
sedative,3
character,1
kindness,1
deputy,1
rebel,1
beverage,2
revenge,1
odor,1
poll,1
hat,2
chipmunk,5
ceremony,1
summer,1
spider,1
decision,1
composer,1
safety,1
volume,7
scholar,1
consideration,1
crisis,1
hierarchy,3
impossibility,1
personality,1
fact,1
assault,1
assistance,1
brevity,7
puppy,5
accomplishment,1
boundary,7
betrayal,1
smell,1
result,1
chief,1
story,1
amount,7
coincidence,1
forest,6
attitude,1
shirt,2
damage,4
tongue,2
genuine,1
clothing,3
moment,1
corpse,2
volt,7
inch,7
child,1
bell,2
fountain,3
loan,7
chance,1
tomato,1
gorilla,5
chlorine,2
improvement,3
ability,1
electricity,1
information,3
bet,7
arrangement,1
tool,1
number,7
addition,7
tennis,1
freedom,1
design,1
atom,6
instructor,1
shrimp,5
crocodile,1
fifteen,7
bedroom,3
flavor,1
brute,1
member,1
entree,1
witness,1
intelligence,1
hatred,1
fabric,2
dynasty,1
ball,3
inn,2
artist,1
importance,3
punishment,1
uncle,1
dilemma,1
snake,4
idea,1
stick,3
caterpillar,1
ceiling,3
spirit,1
wisdom,1
hog,1
circuit,4
crime,1
subtraction,7
recognition,1
square,6
money,7
helmet,2
envy,1
debt,7
distribution,4
pool,3
sky,4
originality,1
thief,1
record,1
play,1
disagreement,1
newspaper,2
perception,1
recital,1
heap,7
tax,7
master,1
pond,5
peacemaker,1
annoyance,1
orchestra,3
elephant,6
equality,4
desk,2
fisherman,1
disgust,1
complication,1
hobby,1
criticism,1
riddle,1
error,1
