word,rating
ability,4
abundance,2
accident,3
accomplishment,4
accumulation,1
acquisition,2
acre,1
addition,1
admiration,6
advantage,4
adventurer,3
adversity,5
advice,6
affection,7
alley,1
alligator,1
ally,7
alphabet,1
ambition,3
ambulance,1
amount,1
amplitude,1
anger,6
animal,1
ankle,1
announcement,4
annoyance,6
anxiety,4
apology,7
appeal,4
apple,1
appointment,5
arc,1
arrangement,5
arrow,1
art,3
article,1
artist,3
aspect,1
assault,4
assistance,6
assumption,4
atom,1
atrocity,4
attempt,1
attention,7
attitude,5
autumn,1
availability,4
awareness,3
baby,6
bag,1
ball,1
ballot,2
banana,1
band,4
bandit,3
bank,1
beast,1
beauty,3
beaver,1
bed,1
bedroom,1
beetle,1
behavior,6
belief,4
bell,1
benefactor,7
bet,4
betrayal,7
beverage,1
bird,1
blade,1
blood,1
boat,1
body,1
bolt,1
border,1
boredom,4
bottle,1
boulder,1
boundary,5
boy,6
bracelet,1
brain,1
branch,1
brawl,4
brevity,1
bridge,4
brother,7
brute,3
bubble,1
bullet,1
burner,1
butter,1
butterfly,1
cake,3
calculation,1
calendar,1
camera,1
candidate,3
candy,1
capacity,1
car,1
cat,1
category,1
caterpillar,1
cause,1
ceiling,1
ceremony,5
chair,1
chance,2
character,6
charity,6
charter,1
chicken,1
chief,6
child,7
chipmunk,1
chlorine,1
chocolate,1
christmas,5
church,4
circuit,1
circumstance,1
city,1
claim,2
clean,1
clearance,1
cliff,1
cloth,1
clothing,1
cocktail,1
coffee,1
coffin,1
cognition,1
coincidence,2
combination,1
comparison,2
competence,4
complication,2
composer,3
comprehension,2
conclusion,1
conference,5
confidence,5
conscience,5
consequence,2
consideration,7
consistency,5
construction,1
contempt,7
context,1
contract,6
convergence,2
core,1
corn,1
corporation,2
corpse,1
correspondent,4
costume,1
cottage,1
coupon,1
cow,1
cowardice,4
cranberry,1
crime,3
crisis,4
criticism,6
crocodile,1
crown,1
cucumber,1
cup,1
curfew,1
dad,7
dagger,1
damage,1
danger,2
darkness,1
debt,4
deceit,7
decision,4
deduction,1
definition,1
degree,1
democracy,3
denial,4
dentist,3
deputy,5
description,1
design,1
desk,1
despair,3
destiny,2
determination,3
development,2
diamond,1
diet,1
difference,3
dilemma,2
dimension,1
disagreement,7
disappointment,6
disaster,2
disgust,5
distance,5
distraction,2
distribution,1
ditch,1
diversity,4
division,2
doctor,3
donor,6
door,1
dove,2
dozen,1
drama,5
drug,1
drum,1
duck,1
duel,5
duration,1
duty,6
dynasty,5
eagle,1
economy,1
edge,1
effect,1
effort,2
eight,1
electricity,1
elephant,1
emergence,1
empire,2
empty,1
enemy,7
engagement,7
entrance,1
entree,1
envy,6
episode,1
equality,6
error,2
escape,2
establishment,2
event,2
evidence,1
example,1
exception,1
exclusion,5
explanation,2
expression,6
extent,1
eyeball,1
fabric,1
fact,1
factory,1
faith,6
fallacy,1
fantasy,2
fat,1
fate,2
father,7
fear,4
fifteen,1
fight,6
figure,3
file,1
fireplace,1
fisherman,3
flask,1
flavor,1
fog,1
food,1
football,1
forest,1
form,1
foundation,1
fountain,1
freedom,2
friendship,7
frog,1
frustration,5
future,2
gender,4
genuine,6
germ,1
gesture,5
girl,6
gorilla,1
grammar,1
grandmother,7
grass,1
grasshopper,1
grief,6
group,6
guess,2
guide,6
guilt,6
gun,1
handkerchief,1
hat,1
hatred,7
hazard,1
heap,1
heart,6
helmet,1
helplessness,5
heresy,2
hierarchy,5
hobby,2
hog,1
holiday,5
honesty,7
hope,5
horse,1
hospital,4
hotel,1
hurricane,1
hurt,6
idea,1
identification,3
identity,5
idiom,1
ignition,1
ignorance,3
imagination,1
immortality,1
impairment,1
importance,2
impossibility,1
improvement,2
incentive,2
inch,1
incident,2
income,1
increase,1
independence,4
individual,3
