word,rating
candidate,1
irrigation,5
democracy,1
snow,2
announcement,1
neighborhood,7
music,1
crown,2
identity,1
midnight,1
hurt,1
adventurer,5
comparison,1
arrow,6
method,1
segment,5
disappointment,1
specialist,1
majority,1
lily,1
rainbow,2
iron,1
relief,1
bolt,4
riot,2
stride,6
hope,1
shortness,4
ally,1
economy,1
ditch,7
stimulus,1
justification,1
pie,1
clearance,6
sight,4
ambulance,3
blood,1
pile,6
limitation,1
abundance,1
outcome,1
regulation,1
cake,1
macaroni,1
twig,1
cognition,1
beast,1
grammar,1
duty,1
standard,1
talent,1
roof,7
lens,1
student,1
worry,1
instinct,1
guess,1
second,1
nation,7
uniform,1
cranberry,1
route,7
ignition,1
occupation,5
separation,5
linen,1
view,5
speech,1
obstruction,6
soul,1
grandmother,1
dove,1
sofa,2
regret,1
suit,1
frustration,1
disaster,2
skin,1
football,1
appeal,1
integrity,1
adversity,1
memory,1
skull,1
station,7
fate,1
consequence,1
attempt,1
raspberry,1
university,7
cloth,1
cup,1
context,3
poetry,1
candy,1
mileage,7
liar,1
trust,1
oven,2
key,1
traveler,5
mustard,1
admiration,1
sadness,1
accumulation,4
conscience,1
rabbit,1
fireplace,7
bridge,7
measure,4
costume,1
intention,1
menu,1
deduction,1
window,5
loafer,1
butter,1
convergence,7
fight,2
winter,1
verse,1
advice,1
form,4
immortality,1
engagement,1
mind,1
trumpet,1
margin,7
puddle,7
amplitude,4
orchid,1
scene,7
reflex,1
interior,7
empire,7
insight,1
aspect,1
denial,1
grasshopper,1
stapler,1
tallness,6
cause,1
article,1
opposition,4
introduction,1
retention,1
pretense,1
capacity,5
pigeon,1
silence,1
boy,1
mastery,1
definition,1
grief,1
replacement,1
quality,1
skill,1
affection,1
thorn,1
reality,1
banana,1
leader,1
danger,1
self,1
edge,7
lunch,1
laughter,1
myth,1
pawn,3
reputation,1
dozen,1
dagger,1
donor,1
duel,2
arc,7
temple,7
shame,1
victim,1
deceit,1
dad,1
paradigm,1
proof,1
charity,1
vocabulary,1
brother,1
pillow,1
propeller,5
significance,1
rule,1
friendship,1
weight,3
suspect,1
marriage,1
episode,1
determination,1
photo,3
landscape,7
shape,6
rhyme,1
situation,3
love,1
synagogue,7
moral,1
object,2
opinion,1
miracle,1
beaver,1
march,6
fat,1
income,1
requirement,1
sanctuary,7
lobster,1
palace,7
bank,6
pig,1
moonlight,1
coffee,1
core,7
competence,1
wood,1
salary,1
cow,1
protection,1
woman,1
brain,1
television,1
justice,1
brawl,2
unity,1
nose,1
wave,4
mankind,1
interruption,1
bottle,1
spelling,1
lizard,1
foundation,5
hurricane,2
professor,1
institute,4
sugar,1
helplessness,1
purpose,1
lane,7
territory,7
contract,1
coffin,1
bird,1
physics,1
proportion,4
line,6
salad,1
consistency,1
development,1
holiday,1
exclusion,1
event,2
jewel,1
promotion,3
acre,7
pest,1
availability,1
gender,1
fantasy,1
shock,1
performance,1
phenomenon,1
uncertainty,1
weather,1
reinforcement,1
time,1
necessity,1
towel,1
saloon,7
permission,1
category,1
bandit,1
doctor,1
diet,1
tide,5
heresy,1
length,7
policeman,1
magic,1
apple,1
unit,1
queen,1
mystery,1
emergence,4
republic,1
contempt,1
law,1
baby,1
starch,1
radio,1
kitten,1
description,1
eagle,1
preference,1
theory,1
variety,1
group,2
alley,7
burner,1
material,1
darkness,1
mile,7
toilet,6
medicine,1
security,1
lemon,1
bed,2
distance,7
file,3
kite,2
fear,1
suggestion,1
robin,1
ocean,7
cat,1
germ,1
art,1
eight,1
individual,1
nurse,1
correspondent,1
claim,1
butterfly,1
duck,1
lamb,1
horse,1
mansion,7
real,1
missile,6
effect,1
truth,1
incentive,1
border,7
diamond,1
beauty,1
guide,5
drum,1
logic,1
assumption,1
infection,1
lock,1
explanation,1
thing,1
benefactor,1
bag,1
reason,1
fog,2
establishment,4
gesture,4
vapor,1
increase,3
mercy,1
tendency,1
destiny,1
figure,4
pyramid,6
translation,1
autumn,1
entrance,7
atrocity,1
lamp,1
squeak,1
risk,1
occasion,1
road,7
ignorance,1
difference,1
mosquito,1
street,7
boredom,1
peace,1
grass,1
location,7
knife,1
calculation,1
opportunity,1
season,1
wolf,1
neck,1
extent,5
typewriter,1
shark,1
reduction,3
branch,5
empty,5
heart,1
chicken,1
malice,1
zoo,7
beetle,1
band,1
lisp,1
interaction,1
owner,1
cowardice,1
corporation,1
incident,2
parish,7
site,7
identification,1
bracelet,1
mud,1
christmas,1
evidence,1
produce,1
park,7
anxiety,1
cucumber,1
coupon,1
dentist,1
lettuce,1
prop,1
guilt,1
leopard,1
imagination,1
ankle,1
conference,2
impairment,1
lip,1
tension,3
father,1
pill,1
duration,1
teacher,1
faith,1
handkerchief,1
microscope,1
eyeball,1
construction,4
camera,1
want,1
boat,3
animal,1
future,1
alphabet,1
onion,1
ambition,1
degree,4
sword,1
church,7
exception,1
supply,1
accident,2
wage,1
calendar,1
laundry,1
industry,1
manner,1
hazard,1
peach,1
philosophy,1
behavior,1
misery,1
response,1
fallacy,1
specimen,1
state,7
thought,1
belief,1
ballot,1
opponent,1
show,1
independence,1
temperature,1
blade,1
satisfaction,1
corn,1
alligator,1
literature,1
metaphor,1
youth,1
bullet,5
charter,1
car,3
mold,4
principle,1
circumstance,1
property,5
wish,1
conclusion,1
cocktail,1
division,4
mountain,7
volcano,7
item,1
stupidity,1
steam,1
anger,1
writing,1
leadership,1
rent,1
stranger,1
magnitude,6
hospital,7
river,7
photograph,3
opera,1
name,1
flask,1
appointment,1
rocket,5
escape,5
distraction,1
city,7
meeting,2
latch,1
nerve,1
robbery,2
instance,1
lesson,1
paragraph,1
vision,1
frog,1
sole,5
jacket,1
tradition,1
past,1
sister,1
payment,1
gun,1
size,7
curfew,1
food,1
tragedy,1
legality,1
hotel,7
mother,1
outfit,1
diversity,1
example,1
girl,1
issue,1
despair,1
three,1
job,1
waste,1
prediction,1
tree,1
selection,1
responsibility,1
skunk,1
psalm,1
presence,4
resort,7
month,1
effort,1
knowledge,1
tip,6
lake,7
ring,4
possibility,1
comprehension,1
injury,1
attention,1
door,6
confidence,1
refrigerator,1
value,1
math,1
chocolate,1
chair,2
clean,1
apology,1
acquisition,1
scent,1
irony,1
expression,1
enemy,1
mattress,1
necklace,1
potato,1
truck,3
factory,7
jerk,4
tune,1
island,7
combination,1
underworld,6
idiom,1
lightning,1
drama,1
bubble,1
honesty,1
sandal,1
murder,2
drug,1
ownership,1
willingness,1
body,1
visitor,3
boulder,2
preparation,1
cliff,7
production,1
sneeze,1
origin,7
message,1
itch,1
topic,1
wallet,1
cottage,7
lion,1
advantage,1
water,1
awareness,1
pimple,1
dimension,7
sow,1
sedative,1
character,1
kindness,1
deputy,1
rebel,1
beverage,1
revenge,1
odor,1
poll,1
hat,1
chipmunk,1
ceremony,1
summer,1
spider,1
decision,1
composer,1
safety,1
volume,7
scholar,1
consideration,1
crisis,1
hierarchy,5
impossibility,1
personality,1
