word,rating
admiration,1
robbery,1
peach,6
property,2
liar,1
figure,5
pie,6
lily,5
marriage,1
banana,6
tongue,7
steam,7
form,5
visitor,1
impossibility,1
situation,1
interaction,1
hog,5
vapor,7
acquisition,1
brawl,3
establishment,2
instructor,1
bird,5
opera,1
logic,1
fate,1
grammar,1
laughter,1
ignition,2
location,1
magnitude,2
soul,1
empty,4
rabbit,6
stimulus,1
rule,1
advice,1
queen,1
girl,4
decision,1
safety,1
hatred,1
confidence,1
boy,4
rent,1
crisis,1
extent,1
orchid,5
stranger,1
lock,6
betrayal,1
photo,4
macaroni,6
majority,1
electricity,3
fat,6
inn,3
road,6
capacity,2
view,1
personality,1
dove,5
brute,3
ambulance,4
pig,5
boundary,3
idea,1
baby,5
weather,5
vocabulary,1
flavor,1
toilet,5
show,1
murder,1
teacher,1
genuine,1
rainbow,1
foundation,4
fifteen,1
pond,6
acre,1
intention,1
skull,6
assistance,1
adversity,1
evidence,2
bag,6
square,6
menu,4
individual,4
punishment,1
reality,1
production,1
witness,1
dimension,2
advantage,1
hierarchy,1
crocodile,6
volume,3
degree,1
damage,4
rhyme,1
idiom,1
bottle,6
fisherman,1
mustard,6
behavior,1
body,7
faith,1
winter,6
purpose,1
determination,1
cloth,7
meeting,1
dagger,6
frustration,1
fog,6
philosophy,1
standard,1
eyeball,5
annoyance,1
democracy,1
cranberry,6
sword,6
loan,1
chicken,6
tide,5
law,1
cup,6
sofa,6
originality,1
weight,7
roof,4
candidate,1
job,1
subtraction,1
robin,5
necklace,6
ballot,4
memory,1
station,3
chair,6
refrigerator,6
result,1
thief,1
pimple,6
skunk,5
reputation,1
accident,1
method,1
parish,1
eight,1
justification,1
animal,5
sole,6
play,2
tendency,1
chipmunk,5
shirt,6
reinforcement,2
corporation,1
pawn,5
volt,1
money,5
cognition,1
talent,1
alligator,6
republic,1
orchestra,3
dad,4
door,6
beverage,6
suit,6
grief,1
misery,1
margin,2
response,1
site,2
ball,7
car,6
mile,1
season,1
disagreement,1
ability,1
tradition,1
speech,1
recital,1
requirement,1
theory,1
opinion,1
sadness,1
security,1
month,1
lake,6
band,5
stick,7
retention,1
revenge,1
atom,1
permission,1
frog,6
sneeze,2
ownership,1
trust,1
reduction,1
cow,5
character,1
accomplishment,1
policeman,1
increase,1
sandal,6
independence,1
window,5
wood,7
duel,1
christmas,1
bridge,5
deduction,1
territory,1
comprehension,1
equality,1
irrigation,1
bolt,6
moment,1
beast,5
bell,6
division,1
information,1
palace,3
crime,1
chlorine,4
river,6
paradigm,1
separation,1
state,1
cake,6
potato,6
lemon,6
mercy,1
suggestion,1
writing,1
bedroom,3
literature,1
heap,4
city,1
duration,1
fight,3
time,1
gun,6
smell,1
appeal,1
clean,5
perception,1
diet,1
stupidity,1
envy,1
owner,1
sky,1
ceremony,1
sow,5
helplessness,1
article,2
necessity,1
key,6
length,2
drug,5
belief,1
lamp,5
gorilla,6
onion,6
intelligence,1
bubble,6
effort,1
produce,5
rocket,5
lunch,1
topic,1
uncertainty,1
twig,7
puppy,6
ring,6
germ,1
file,5
conscience,1
economy,1
past,1
street,6
lettuce,6
translation,1
spirit,1
regret,1
story,1
mattress,6
preparation,1
traveler,1
gesture,2
comparison,1
newspaper,4
mileage,1
object,7
mosquito,5
heart,6
identity,1
nerve,5
consistency,4
sight,1
candy,6
radio,5
stride,2
protection,3
fallacy,1
linen,7
instinct,1
expression,1
raspberry,6
pretense,1
victim,1
father,4
opponent,1
beaver,5
lamb,6
arrangement,1
desk,6
ally,1
danger,1
message,1
preference,1
appointment,1
camera,5
music,1
brevity,1
destiny,1
propeller,5
anxiety,1
wolf,5
microscope,5
lobster,6
significance,1
improvement,1
occasion,1
freedom,1
kitten,6
shrimp,6
water,7
contempt,1
convergence,1
uniform,6
unity,1
hotel,3
peacemaker,1
wish,1
grandmother,4
possibility,1
episode,1
duty,1
horse,5
wave,5
metaphor,1
institute,2
contract,2
photograph,4
deputy,1
eagle,5
boulder,6
hurt,7
description,1
hurricane,5
reflex,1
flask,5
thorn,7
elephant,6
skin,7
doctor,1
specimen,4
professor,1
selection,1
bracelet,6
member,1
size,2
verse,1
core,4
friendship,1
honesty,1
proportion,1
correspondent,1
dozen,1
truck,5
fireplace,6
bank,4
autumn,1
iron,7
guilt,1
self,1
mansion,3
salad,6
nation,1
coupon,4
distribution,1
principle,1
mud,7
coffee,6
scholar,1
boredom,1
amount,1
cocktail,6
knife,7
injury,6
attitude,1
jewel,6
miracle,1
riddle,1
scene,1
puddle,6
mastery,1
skill,1
odor,1
truth,1
edge,6
woman,4
bullet,6
conclusion,1
name,1
abundance,1
entree,6
food,7
ambition,1
charity,1
sugar,6
fantasy,1
integrity,1
diversity,1
stapler,5
magic,1
announcement,1
wisdom,1
calculation,1
butter,7
ditch,6
coincidence,1
prop,5
tragedy,1
latch,6
artist,1
charter,1
diamond,6
drum,5
origin,1
material,7
crown,6
mold,5
mother,4
lizard,6
alphabet,1
apology,1
hat,6
cat,6
paragraph,1
instance,1
border,3
neighborhood,1
outfit,6
tallness,2
fact,1
introduction,1
anger,1
beetle,6
wallet,6
opposition,1
claim,1
complication,1
empire,1
pill,6
second,1
costume,6
relief,3
effect,1
poetry,1
construction,4
measure,3
competence,1
infection,1
emergence,1
handkerchief,6
hazard,3
hospital,3
duck,5
silence,1
darkness,1
master,1
cliff,6
corn,6
resort,2
error,1
grasshopper,5
lip,7
variety,1
incident,1
incentive,1
brain,6
number,1
summer,6
tool,7
supply,3
risk,1
consideration,1
disgust,1
branch,6
blood,6
tension,4
chocolate,7
corpse,6
unit,2
exception,1
guess,1
brother,4
moral,1
circumstance,1
quality,3
accumulation,4
lane,4
nose,6
assumption,1
snake,6
peace,1
ocean,6
blade,7
university,2
psalm,1
moonlight,1
route,1
interruption,1
thing,7
cucumber,6
pest,4
clothing,7
ceiling,4
future,1
shame,1
leopard,6
outcome,1
oven,6
three,1
satisfaction,1
kindness,1
laundry,6
neck,6
value,1
student,1
coffin,5
love,1
design,2
physics,1
group,1
shock,7
clearance,2
factory,3
tennis,1
lisp,1
midnight,1
cause,1
income,1
pyramid,5
volcano,6
tree,6
waste,4
medicine,5
chance,1
conference,1
entrance,4
combination,2
loafer,6
exclusion,1
television,5
jerk,3
example,1
attention,1
