word,rating
ability,1
abundance,1
accident,1
accomplishment,1
accumulation,1
acquisition,1
acre,1
addition,1
admiration,1
advantage,1
adventurer,1
adversity,1
advice,1
affection,1
alley,3
alligator,2
ally,1
alphabet,1
ambition,1
ambulance,2
amount,1
amplitude,1
anger,1
animal,3
ankle,1
announcement,1
annoyance,1
anxiety,1
apology,1
appeal,1
apple,7
appointment,1
arc,1
arrangement,1
arrow,1
art,1
article,1
artist,1
aspect,1
assault,1
assistance,1
assumption,1
atom,1
atrocity,1
attempt,1
attention,1
attitude,1
autumn,5
availability,1
awareness,1
baby,5
bag,1
ball,1
ballot,1
banana,7
band,1
bandit,1
bank,1
beast,4
beauty,1
beaver,2
bed,3
bedroom,3
beetle,2
behavior,1
belief,1
bell,1
benefactor,1
bet,1
betrayal,1
beverage,7
bird,2
blade,1
blood,6
boat,3
body,4
bolt,1
border,1
boredom,1
bottle,1
boulder,1
boundary,1
boy,1
bracelet,1
brain,1
branch,3
brawl,1
brevity,1
bridge,1
brother,1
brute,3
bubble,1
bullet,1
burner,3
butter,7
butterfly,2
cake,7
calculation,1
calendar,1
camera,1
candidate,1
candy,7
capacity,1
car,4
cat,3
category,1
caterpillar,2
cause,1
ceiling,1
ceremony,1
chair,1
chance,1
character,1
charity,1
charter,1
chicken,6
chief,1
child,2
chipmunk,2
chlorine,6
chocolate,7
christmas,6
church,4
circuit,1
circumstance,1
city,4
claim,1
clean,4
clearance,1
cliff,1
cloth,3
clothing,3
cocktail,7
coffee,7
coffin,4
cognition,1
coincidence,1
combination,1
comparison,1
competence,1
complication,1
composer,1
comprehension,1
conclusion,1
conference,1
confidence,1
conscience,1
consequence,1
consideration,1
consistency,1
construction,3
contempt,1
context,1
contract,1
convergence,1
core,1
corn,7
corporation,1
corpse,6
correspondent,1
costume,3
cottage,4
coupon,1
cow,4
cowardice,1
cranberry,7
crime,1
crisis,1
criticism,1
crocodile,2
crown,1
cucumber,6
cup,1
curfew,1
dad,1
dagger,1
damage,1
danger,1
darkness,1
debt,1
deceit,1
decision,1
deduction,1
definition,1
degree,1
democracy,1
denial,1
dentist,5
deputy,1
description,1
design,1
desk,1
despair,1
destiny,1
determination,1
development,1
diamond,1
diet,5
difference,1
dilemma,1
dimension,1
disagreement,1
disappointment,1
disaster,1
disgust,5
distance,1
distraction,1
distribution,1
ditch,4
diversity,1
division,1
doctor,4
donor,1
door,1
dove,2
dozen,1
drama,1
drug,5
drum,1
duck,5
duel,1
duration,1
duty,1
dynasty,1
eagle,2
economy,1
edge,1
effect,1
effort,1
eight,1
electricity,1
elephant,2
emergence,1
empire,1
empty,1
enemy,1
engagement,1
entrance,1
entree,7
envy,1
episode,1
equality,1
error,1
escape,1
establishment,1
event,1
evidence,1
example,1
exception,1
exclusion,1
explanation,1
expression,1
extent,1
eyeball,1
fabric,3
fact,1
factory,4
faith,1
fallacy,1
fantasy,1
fat,5
fate,1
father,1
fear,1
fifteen,1
fight,1
figure,1
file,1
fireplace,6
fisherman,4
flask,1
flavor,7
fog,4
food,7
football,1
forest,6
form,1
foundation,1
fountain,3
freedom,1
friendship,1
frog,2
frustration,1
future,1
gender,1
genuine,1
germ,1
gesture,1
girl,1
gorilla,2
grammar,1
grandmother,1
grass,6
grasshopper,2
grief,1
group,1
guess,1
guide,1
guilt,1
gun,3
handkerchief,3
hat,1
hatred,1
hazard,1
heap,1
heart,1
helmet,3
helplessness,1
heresy,1
hierarchy,1
hobby,1
hog,4
holiday,4
honesty,1
hope,1
horse,4
hospital,5
hotel,4
hurricane,3
hurt,1
idea,1
identification,1
identity,1
idiom,1
ignition,3
ignorance,1
imagination,1
immortality,1
impairment,1
importance,1
impossibility,1
improvement,1
incentive,1
inch,1
incident,1
income,1
increase,1
independence,1
individual,1
industry,3
infection,5
information,1
injury,3
inn,4
insight,1
instance,1
instinct,1
institute,1
instructor,1
integrity,1
intelligence,1
intention,1
interaction,1
interior,3
interruption,1
introduction,1
iron,3
irony,1
irrigation,3
island,4
issue,1
itch,1
item,1
jacket,3
jerk,1
jewel,1
job,1
justice,1
justification,1
key,1
kindness,1
kite,1
kitten,4
knife,1
knowledge,1
lake,4
lamb,6
lamp,1
landscape,4
lane,1
latch,1
laughter,1
laundry,5
law,1
leader,1
leadership,1
legality,1
lemon,7
length,1
lens,1
leopard,2
lesson,1
lettuce,6
liar,1
lightning,4
lily,6
limitation,1
line,1
linen,5
lion,2
lip,1
lisp,1
literature,1
lizard,2
loafer,3
loan,1
lobster,7
location,1
lock,1
logic,1
love,1
lunch,7
