word,rating
admiration,2
robbery,3
peach,1
property,2
liar,2
figure,5
pie,1
lily,1
marriage,3
banana,1
tongue,1
steam,2
form,5
visitor,2
impossibility,2
situation,4
interaction,5
hog,1
vapor,2
acquisition,4
brawl,3
establishment,4
instructor,2
bird,1
opera,3
logic,5
fate,5
grammar,5
laughter,2
ignition,3
location,4
magnitude,6
soul,1
empty,1
rabbit,1
stimulus,5
rule,6
advice,3
queen,1
girl,1
decision,5
safety,3
hatred,1
confidence,4
boy,1
rent,2
crisis,5
extent,7
orchid,1
stranger,1
lock,1
betrayal,3
photo,2
macaroni,1
majority,2
electricity,2
fat,1
inn,1
road,2
capacity,5
view,3
personality,4
dove,1
brute,1
ambulance,1
pig,1
boundary,2
idea,3
baby,1
weather,4
vocabulary,4
flavor,1
toilet,1
show,6
murder,3
teacher,2
genuine,2
rainbow,1
foundation,4
fifteen,6
pond,1
acre,1
intention,4
skull,1
assistance,3
adversity,4
evidence,4
bag,1
square,1
menu,1
individual,2
punishment,3
reality,4
production,6
witness,3
dimension,7
advantage,4
hierarchy,7
crocodile,1
volume,6
degree,7
damage,4
rhyme,4
idiom,1
bottle,1
fisherman,1
mustard,1
behavior,5
body,1
faith,2
winter,7
purpose,5
determination,5
cloth,1
meeting,6
dagger,1
frustration,2
fog,2
philosophy,4
standard,6
eyeball,1
annoyance,2
democracy,4
cranberry,1
sword,1
loan,2
chicken,1
tide,6
law,2
cup,1
sofa,1
originality,2
weight,4
roof,1
candidate,3
job,5
subtraction,6
robin,1
necklace,1
ballot,3
memory,5
station,4
chair,1
refrigerator,1
result,5
thief,1
pimple,1
skunk,1
reputation,4
accident,5
method,6
parish,2
eight,6
justification,4
animal,1
sole,1
play,3
tendency,5
chipmunk,1
shirt,1
reinforcement,5
corporation,3
pawn,1
volt,2
money,2
cognition,5
talent,4
alligator,1
republic,4
orchestra,1
dad,1
door,1
beverage,1
suit,1
grief,1
misery,1
margin,4
response,5
site,3
ball,1
car,1
mile,6
season,7
disagreement,2
ability,4
tradition,5
speech,5
recital,6
requirement,5
theory,4
opinion,4
sadness,1
security,4
month,7
lake,1
band,1
stick,1
retention,6
revenge,2
atom,1
permission,2
frog,1
sneeze,2
ownership,4
trust,2
reduction,6
cow,1
character,5
accomplishment,5
policeman,1
increase,6
sandal,1
independence,4
window,1
wood,1
duel,3
christmas,7
bridge,1
deduction,5
territory,3
comprehension,5
equality,4
irrigation,4
bolt,1
moment,7
beast,1
bell,1
division,6
information,4
palace,1
crime,2
chlorine,1
river,1
paradigm,4
separation,5
state,4
cake,1
potato,1
lemon,1
mercy,1
suggestion,3
writing,5
bedroom,1
literature,4
heap,1
city,4
duration,7
fight,5
time,7
gun,1
smell,3
appeal,3
clean,2
perception,5
diet,4
stupidity,1
envy,1
owner,1
sky,2
ceremony,5
sow,3
helplessness,1
article,2
necessity,2
key,1
length,7
drug,3
belief,3
lamp,1
gorilla,1
onion,1
intelligence,4
bubble,3
effort,5
produce,6
rocket,1
lunch,4
topic,2
uncertainty,3
twig,1
puppy,1
ring,1
germ,1
file,1
conscience,2
economy,5
past,7
street,1
lettuce,1
translation,5
spirit,1
regret,4
story,6
mattress,1
preparation,5
traveler,2
gesture,3
comparison,4
newspaper,1
mileage,6
object,1
mosquito,1
heart,1
identity,4
nerve,1
consistency,6
sight,2
candy,1
radio,1
stride,5
protection,4
fallacy,1
linen,1
instinct,1
expression,3
raspberry,1
pretense,3
victim,1
father,1
opponent,1
beaver,1
lamb,1
arrangement,6
desk,1
ally,1
danger,3
message,2
preference,3
appointment,7
camera,1
music,6
brevity,7
destiny,5
propeller,1
anxiety,3
wolf,1
microscope,1
lobster,1
significance,4
improvement,6
occasion,6
freedom,3
kitten,1
shrimp,1
water,1
contempt,1
convergence,5
uniform,1
unity,2
hotel,1
peacemaker,1
wish,1
grandmother,1
possibility,3
episode,7
duty,3
horse,1
wave,4
metaphor,1
institute,3
contract,3
photograph,3
deputy,1
eagle,1
boulder,1
hurt,3
description,4
hurricane,5
reflex,3
flask,1
thorn,1
elephant,1
skin,1
doctor,1
specimen,1
professor,1
selection,5
bracelet,1
member,1
size,4
verse,4
core,1
friendship,4
honesty,1
proportion,5
correspondent,1
dozen,1
truck,1
fireplace,1
bank,1
autumn,7
iron,1
guilt,1
self,4
mansion,1
salad,1
nation,4
coupon,1
distribution,5
principle,1
mud,1
coffee,1
scholar,1
boredom,3
amount,1
cocktail,1
knife,1
injury,3
attitude,3
jewel,1
miracle,3
riddle,1
scene,4
puddle,1
mastery,5
skill,4
odor,1
truth,1
edge,1
woman,1
bullet,1
conclusion,6
name,1
abundance,1
entree,1
food,1
ambition,4
charity,3
sugar,1
fantasy,1
integrity,3
diversity,1
stapler,1
magic,1
announcement,3
wisdom,4
calculation,5
butter,1
ditch,1
coincidence,3
prop,1
tragedy,5
latch,1
artist,1
charter,1
diamond,1
drum,1
origin,6
material,1
crown,1
mold,1
mother,1
lizard,1
alphabet,7
apology,3
hat,1
cat,1
paragraph,4
instance,4
border,1
neighborhood,1
outfit,1
tallness,1
fact,1
introduction,6
anger,1
beetle,1
wallet,1
opposition,3
claim,2
complication,4
empire,4
pill,1
second,7
costume,1
relief,3
effect,5
poetry,4
construction,6
measure,6
competence,4
infection,5
emergence,5
handkerchief,1
hazard,1
hospital,1
duck,1
silence,4
darkness,4
master,1
cliff,1
corn,1
resort,1
error,3
grasshopper,1
lip,1
variety,1
incident,5
incentive,2
brain,2
number,7
summer,7
tool,1
supply,3
risk,2
consideration,4
disgust,1
branch,1
blood,1
tension,3
chocolate,1
corpse,1
unit,6
exception,2
guess,2
brother,1
moral,1
circumstance,4
quality,1
accumulation,6
lane,1
nose,1
assumption,2
snake,1
peace,3
ocean,1
blade,1
university,1
psalm,1
moonlight,1
route,5
interruption,5
thing,1
cucumber,1
pest,1
clothing,1
ceiling,1
future,7
shame,1
leopard,1
outcome,5
oven,1
three,6
satisfaction,1
kindness,1
laundry,1
neck,1
value,3
student,1
coffin,1
love,1
design,5
physics,2
group,1
shock,4
clearance,3
factory,1
tennis,1
lisp,1
midnight,7
cause,5
income,4
pyramid,1
volcano,1
tree,1
waste,1
medicine,1
chance,2
conference,5
entrance,1
combination,2
loafer,1
exclusion,2
television,1
jerk,2
example,2
attention,3
promotion,5
itch,3
definition,2
criticism,3
manner,2
caterpillar,1
recognition,5
insight,3
shape,1
obstruction,1
pigeon,1
willingness,1
park,1
curfew,7
boat,1
availability,3
line,5
ignorance,1
landscape,1
butterfly,1
saloon,1
snow,1
myth,2
alley,1
child,1
legality,2
kite,1
sedative,1
occupation,5
tip,1
bet,3
burner,1
missile,1
replacement,1
sister,1
awareness,4
temperature,4
chief,1
poll,3
record,4
industry,4
bandit,1
lesson,4
lightning,3
affection,1
malice,1
cottage,1
grass,1
drama,5
jacket,1
guide,2
deceit,3
item,1
phenomenon,5
despair,1
opportunity,4
distraction,3
uncle,1
typewriter,1
dentist,1
distance,6
context,3
enemy,1
squeak,1
calendar,7
explanation,5
immortality,6
irony,1
assault,3
real,1
zoo,1
pillow,1
presence,3
heresy,1
interior,1
want,1
mystery,4
apple,1
ankle,1
beauty,1
reason,2
holiday,7
underworld,1
disaster,5
adventurer,1
forest,1
regulation,6
specialist,1
shark,1
composer,1
consequence,5
church,1
vision,4
amplitude,2
justice,1
engagement,5
synagogue,1
performance,6
trumpet,1
riot,4
worry,3
sanctuary,1
math,4
imagination,1
mountain,1
issue,4
knowledge,4
fountain,1
circuit,1
mankind,3
debt,3
limitation,2
pile,3
tax,2
inch,6
lion,1
helmet,1
denial,3
scent,1
identification,5
impairment,3
cowardice,1
atrocity,3
starch,1
temple,1
island,1
spider,1
rebel,1
salary,4
march,5
dynasty,7
importance,3
prediction,6
lens,1
hope,1
leadership,4
difference,1
leader,1
tune,1
disappointment,1
proof,2
segment,6
development,7
towel,1
fear,1
tomato,1
category,5
football,1
event,7
pool,1
payment,3
dilemma,4
attempt,3
benefactor,1
suspect,1
hobby,1
art,1
thought,3
youth,7
addition,6
bed,1
gender,1
mind,4
arrow,1
donor,1
shortness,6
escape,3
arc,1
spelling,5
wage,4
responsibility,4
nurse,1
fabric,1
aspect,1
