word,rating
line,2
skill,1
nose,2
knowledge,1
information,1
rainbow,7
ownership,1
faith,1
affection,1
zoo,3
correspondent,1
rebel,1
moonlight,4
photo,5
opportunity,1
anger,4
coupon,2
adventurer,1
fabric,6
itch,1
character,1
cat,3
crisis,1
danger,4
sneeze,1
identification,1
writing,2
behavior,1
tendency,1
burner,3
baby,2
variety,2
mansion,2
uncle,1
macaroni,5
prediction,1
mud,5
engagement,1
square,2
odor,1
window,2
route,1
tide,2
location,1
resort,2
destiny,1
preference,1
helmet,3
occasion,1
outcome,1
unity,1
deduction,1
fate,1
safety,3
cottage,2
irony,1
fear,2
horse,3
onion,4
peace,3
cake,5
opinion,1
bandit,1
imagination,2
tradition,1
belief,1
method,1
menu,2
measure,1
importance,1
propeller,2
park,5
development,1
escape,1
kitten,3
volcano,5
consistency,1
diamond,4
promotion,1
pillow,2
confidence,1
literature,1
incentive,1
ally,1
donor,1
magic,3
arrangement,1
boulder,3
produce,6
independence,1
autumn,7
honesty,1
island,4
love,4
poll,1
entrance,1
pest,1
shortness,1
suspect,1
example,1
cowardice,3
alley,2
opera,2
thief,1
factory,2
charter,1
lobster,6
peacemaker,1
combination,1
liar,1
degree,1
size,1
duck,4
fisherman,1
heresy,1
significance,1
vocabulary,1
guess,1
murder,3
bridge,2
boy,2
microscope,2
lisp,1
university,2
lily,6
fight,2
opposition,1
ditch,3
preparation,1
chicken,4
sow,2
salad,6
betrayal,1
mercy,1
street,2
dimension,1
calendar,2
income,1
fog,4
originality,1
curfew,1
weather,3
music,2
willingness,1
rent,1
bed,2
underworld,2
wish,1
starch,2
wallet,2
volume,1
grief,2
elephant,4
explanation,1
miracle,2
idiom,1
episode,1
announcement,1
past,1
station,2
riot,2
soul,2
effect,1
selection,1
bullet,2
stick,3
proportion,1
property,1
memory,2
contract,1
intention,1
lens,2
assumption,1
recognition,1
youth,2
silence,1
cloth,6
performance,2
recital,1
master,1
salary,1
ankle,2
mother,1
foundation,2
story,1
cucumber,6
availability,1
nurse,3
metaphor,1
grass,7
brother,1
handkerchief,3
comprehension,1
banana,7
television,4
snow,6
amount,1
suit,3
neck,2
clearance,1
standard,1
legality,1
convergence,1
art,6
trumpet,4
diet,2
institute,1
appeal,1
costume,5
prop,2
proof,1
oven,2
candy,6
contempt,1
ceremony,2
eyeball,3
dentist,2
suggestion,1
beauty,3
waste,2
chocolate,6
shirt,5
cause,1
integrity,1
hog,3
nation,2
lamb,4
conscience,1
chlorine,2
extent,1
drama,2
anxiety,1
design,4
record,2
cranberry,7
money,4
mustard,7
calculation,1
protection,1
leadership,1
adversity,1
skin,3
snake,4
mold,4
effort,1
increase,1
subtraction,1
duration,1
description,1
member,1
dynasty,1
revenge,2
production,1
skull,4
mile,1
necessity,1
ambition,1
branch,4
child,2
enemy,1
identity,1
potato,5
professor,1
mosquito,2
doctor,2
artist,5
girl,2
crocodile,4
job,1
debt,1
missile,2
palace,3
tension,1
food,5
issue,1
church,2
assistance,1
supply,1
mankind,1
stranger,1
composer,1
idea,1
appointment,1
decision,1
drum,2
chance,1
hierarchy,1
manner,1
spirit,2
bolt,2
hatred,2
show,3
conclusion,1
pig,5
lion,5
retention,1
interaction,1
tax,1
midnight,5
bracelet,4
specialist,1
risk,1
physics,1
roof,2
frog,6
grandmother,1
body,2
circuit,2
dad,1
bet,1
camera,3
impairment,1
site,1
animal,3
equality,1
poetry,1
boredom,2
response,1
coffee,6
want,1
nerve,1
corn,6
play,2
trust,1
orchestra,2
wisdom,1
inch,1
duty,1
industry,2
limitation,1
hurt,2
capacity,1
car,4
ocean,6
injury,3
radio,2
misery,2
butter,6
chipmunk,4
reflex,1
incident,1
father,1
hospital,2
unit,1
origin,1
translation,1
envy,4
mystery,2
entree,4
reality,1
principle,1
holiday,4
logic,1
arrow,2
sedative,2
kite,5
guide,1
arc,2
boundary,1
forest,6
uniform,4
blood,7
paradigm,1
alligator,6
clothing,4
message,1
mileage,1
rule,1
insight,1
medicine,3
dove,7
aspect,1
hope,1
moral,1
acquisition,1
hat,4
object,1
sadness,3
sofa,3
quality,1
leader,1
tragedy,2
corporation,1
disaster,2
state,1
second,1
rhyme,1
uncertainty,1
time,1
brute,1
gender,1
assault,1
door,4
requirement,1
beverage,4
majority,1
circumstance,1
policeman,5
beetle,5
accumulation,1
bell,5
stride,1
lizard,6
addition,1
fallacy,1
summer,6
city,4
group,1
bubble,4
exception,1
puddle,4
lock,5
presence,1
jacket,4
