word,rating
admiration,1
robbery,3
peach,1
property,1
liar,1
figure,2
pie,1
lily,1
marriage,1
banana,1
tongue,5
steam,1
form,1
visitor,2
impossibility,1
situation,1
interaction,3
hog,1
vapor,1
acquisition,1
brawl,6
establishment,1
instructor,2
bird,1
opera,2
logic,1
fate,1
grammar,1
laughter,5
ignition,2
location,1
magnitude,1
soul,1
empty,1
rabbit,1
stimulus,1
rule,1
advice,1
queen,1
girl,1
decision,2
safety,1
hatred,1
confidence,1
boy,1
rent,1
crisis,1
extent,1
orchid,1
stranger,1
lock,3
betrayal,1
photo,1
macaroni,1
majority,1
electricity,1
fat,2
inn,1
road,1
capacity,1
view,2
personality,1
dove,1
brute,1
ambulance,1
pig,1
boundary,1
idea,1
baby,1
weather,1
vocabulary,1
flavor,1
toilet,3
show,3
murder,4
teacher,1
genuine,1
rainbow,1
foundation,1
fifteen,1
pond,1
acre,1
intention,2
skull,2
assistance,3
adversity,1
evidence,1
bag,2
square,1
menu,1
individual,1
punishment,2
reality,1
production,3
witness,2
dimension,1
advantage,1
hierarchy,1
crocodile,1
volume,1
degree,1
damage,2
rhyme,1
idiom,1
bottle,2
fisherman,3
mustard,1
behavior,5
body,6
faith,1
winter,1
purpose,2
determination,2
cloth,2
meeting,3
dagger,4
frustration,1
fog,1
philosophy,1
standard,1
eyeball,3
annoyance,1
democracy,1
cranberry,1
sword,4
loan,1
chicken,1
tide,1
law,1
cup,2
sofa,1
originality,1
weight,3
roof,1
candidate,1
job,3
subtraction,2
robin,1
necklace,2
ballot,2
memory,1
station,1
chair,1
refrigerator,1
result,1
thief,2
pimple,1
skunk,1
reputation,1
accident,2
method,1
parish,1
eight,1
justification,1
animal,1
sole,4
play,6
tendency,1
chipmunk,1
shirt,2
reinforcement,1
corporation,1
pawn,2
volt,1
money,1
cognition,1
talent,1
alligator,1
republic,1
orchestra,1
dad,1
door,3
beverage,1
suit,2
grief,1
misery,1
margin,1
response,4
site,1
ball,4
car,4
mile,2
season,1
disagreement,2
ability,2
tradition,1
speech,5
recital,4
requirement,1
theory,1
opinion,1
sadness,1
security,1
month,1
lake,1
band,1
stick,3
retention,1
revenge,2
atom,1
permission,1
frog,1
sneeze,6
ownership,1
trust,1
reduction,1
cow,1
character,1
accomplishment,2
policeman,1
increase,1
sandal,3
independence,1
window,1
wood,1
duel,6
christmas,1
bridge,1
deduction,2
territory,1
comprehension,1
equality,1
irrigation,2
bolt,4
moment,1
beast,1
bell,2
division,1
information,1
palace,1
crime,3
chlorine,1
river,1
paradigm,1
separation,3
state,1
cake,1
potato,1
lemon,1
mercy,1
suggestion,2
writing,6
bedroom,1
literature,1
heap,1
city,1
duration,1
fight,7
time,1
gun,4
smell,3
appeal,2
clean,5
perception,2
diet,3
stupidity,1
envy,1
owner,1
sky,1
ceremony,2
sow,5
helplessness,1
article,1
necessity,1
key,3
length,1
drug,1
belief,1
lamp,1
gorilla,1
onion,1
intelligence,1
bubble,1
effort,5
produce,4
rocket,1
lunch,2
topic,1
uncertainty,1
twig,1
puppy,1
ring,3
germ,1
file,3
conscience,1
economy,1
past,1
street,1
lettuce,1
translation,2
spirit,1
regret,1
story,1
mattress,1
preparation,3
traveler,2
gesture,7
comparison,2
newspaper,1
mileage,1
object,1
mosquito,1
heart,4
identity,1
nerve,3
consistency,1
sight,2
candy,1
radio,1
stride,7
protection,2
fallacy,1
linen,1
instinct,3
expression,5
raspberry,1
pretense,2
victim,1
father,1
opponent,1
beaver,1
lamb,1
arrangement,3
desk,1
ally,1
danger,1
message,2
preference,1
appointment,1
camera,2
music,2
brevity,1
