word,rating
coffin,6
month,1
leader,4
duty,4
incident,3
pill,3
pawn,2
mosquito,5
orchid,5
parish,2
lettuce,1
wallet,2
example,1
payment,3
separation,6
ocean,6
perception,2
key,2
contempt,7
road,2
bell,2
competence,5
hog,3
principle,4
philosophy,3
regret,7
moonlight,6
butter,2
accident,6
bandit,5
guilt,7
specimen,2
flask,2
subtraction,1
zoo,4
nerve,4
adventurer,5
fantasy,6
object,1
contract,3
art,6
personality,4
grandmother,7
behavior,2
helmet,3
midnight,4
helplessness,7
fountain,5
loan,5
permission,3
worry,6
mountain,6
calculation,1
laughter,7
play,6
inn,4
costume,4
heart,6
theory,2
visitor,3
idea,4
announcement,3
income,5
arrow,2
irrigation,1
abundance,6
wage,4
uncertainty,5
horse,5
cat,6
guide,4
distribution,1
drum,3
fate,5
tongue,2
moment,3
opportunity,6
itch,4
difference,1
cause,2
leopard,4
infection,6
territory,2
dimension,1
fog,3
fireplace,6
time,4
teacher,5
occasion,3
occupation,2
core,2
silence,5
vocabulary,2
ankle,1
riot,6
skull,5
bed,6
variety,4
file,1
consideration,4
rainbow,7
measure,1
sugar,5
envy,6
baby,7
linen,2
enemy,7
three,1
mile,1
opinion,3
food,6
impairment,6
beauty,7
performance,4
ambulance,6
punishment,6
starch,1
salary,5
selection,2
significance,4
corpse,7
metaphor,2
cup,1
job,4
response,1
description,1
tradition,5
rule,3
hurricane,7
assumption,2
economy,3
degree,2
appeal,3
lion,5
skunk,5
stranger,4
march,2
proof,2
member,2
eagle,5
suit,2
shape,1
disaster,7
clothing,2
uncle,5
produce,1
unit,1
importance,4
accomplishment,6
empty,5
awareness,5
capacity,2
neck,1
standard,2
ambition,5
propeller,2
cake,6
evidence,3
tennis,4
physics,2
honesty,6
odor,4
landscape,5
lamp,2
circuit,1
injury,6
gorilla,3
master,4
university,5
pigeon,2
hospital,5
shirt,1
bank,3
camera,4
sanctuary,6
pest,5
comparison,2
kindness,7
category,1
recognition,5
obstruction,5
rocket,4
ball,4
circumstance,2
mold,4
writing,4
banana,4
idiom,2
marriage,6
cloth,1
pile,2
comprehension,4
branch,2
edge,2
incentive,5
expression,4
combination,2
jewel,6
rabbit,5
origin,2
requirement,2
mankind,5
microscope,2
view,5
professor,4
typewriter,2
ceiling,1
purpose,5
ditch,4
wave,4
policeman,4
season,4
guess,2
summer,7
margin,1
complication,5
establishment,2
betrayal,7
towel,1
math,3
hat,1
fabric,1
name,2
refrigerator,2
segment,1
conference,3
tendency,2
specialist,4
drama,4
boulder,2
property,3
division,2
site,1
fallacy,4
meeting,3
coupon,4
television,4
mastery,6
identification,2
promotion,6
moral,5
correspondent,2
individual,2
brawl,6
soul,6
retention,2
dagger,5
instance,1
impossibility,5
lightning,5
pig,3
quality,5
corn,2
bullet,6
truth,7
state,1
assault,7
entrance,2
amount,1
friendship,7
macaroni,4
topic,1
border,2
clearance,4
determination,6
route,2
puddle,2
thing,1
arc,1
sky,6
tree,6
student,4
tip,4
presence,4
self,4
autumn,6
love,7
peace,7
episode,2
conscience,5
sight,4
length,1
caterpillar,4
tool,2
body,4
latch,1
cow,3
spirit,6
roof,2
charter,2
reputation,5
lesson,3
fisherman,3
tallness,2
dozen,1
boredom,6
salad,4
magic,6
acre,1
palace,6
ring,5
stride,4
money,6
butterfly,6
equality,7
anger,7
pretense,5
justice,7
unity,6
engagement,6
industry,3
sister,6
calendar,2
attempt,2
mystery,5
criticism,5
phenomenon,3
beast,5
river,6
alley,3
chance,5
atrocity,7
laundry,2
uniform,2
translation,2
entree,4
riddle,4
father,6
outfit,4
blood,6
danger,7
fifteen,1
beverage,4
heap,2
liar,7
mind,5
pond,5
shortness,2
tune,4
boundary,2
thorn,5
mileage,2
vapor,2
toilet,2
sneeze,3
synagogue,3
rhyme,4
gesture,3
island,6
leadership,6
disgust,7
democracy,6
shrimp,3
woman,5
sword,4
majority,2
shock,6
ability,5
lane,2
responsibility,5
alligator,5
supply,2
child,7
crown,5
anxiety,7
intelligence,6
kitten,7
holiday,7
waste,6
mud,4
factory,2
opposition,5
winter,5
grammar,2
peacemaker,6
hatred,7
reduction,2
stupidity,7
belief,5
missile,6
instructor,4
assistance,5
jacket,2
park,6
genuine,6
law,3
republic,3
denial,6
puppy,7
story,5
consistency,5
acquisition,2
stapler,1
event,2
duel,5
claim,2
reality,3
hierarchy,3
victim,7
mustard,2
ceremony,5
character,5
skin,2
poll,2
nation,3
drug,5
spider,5
lily,6
bet,3
owner,2
manner,2
amplitude,1
cowardice,7
nose,1
darkness,5
ignition,2
inch,1
scholar,5
fat,5
empire,3
brother,6
beetle,3
reason,5
charity,7
bolt,2
definition,1
crime,7
flavor,4
pie,6
speech,3
lamb,6
miracle,7
decision,4
line,1
bird,5
opera,4
grief,7
bridge,2
despair,7
handkerchief,2
lobster,4
mother,7
limitation,5
traveler,4
underworld,6
disappointment,7
iron,2
fact,2
development,4
photograph,5
artist,6
explanation,2
freedom,7
preparation,3
raspberry,5
gender,2
want,3
lisp,4
loafer,4
intention,3
twig,1
photo,4
effort,4
tomato,2
record,2
bubble,5
future,5
instinct,3
necklace,5
hope,7
attitude,4
pimple,5
possibility,5
lock,2
music,7
window,2
sow,2
ignorance,6
regulation,3
knowledge,6
shame,7
apple,5
car,3
shark,5
lemon,3
steam,2
number,1
hotel,4
proportion,1
duration,1
diversity,5
safety,6
benefactor,6
band,4
dynasty,3
show,4
football,5
germ,5
reflex,2
brevity,2
heresy,5
weather,2
coffee,6
result,2
lens,2
atom,2
skill,5
method,2
desk,2
cottage,6
rebel,4
apology,5
witness,3
verse,4
boat,5
myth,3
wisdom,7
smell,3
jerk,6
eight,1
cranberry,4
medicine,5
diamond,6
corporation,3
emergence,3
church,5
disagreement,5
pool,5
snake,5
conclusion,2
robin,5
interruption,5
volume,1
introduction,2
dove,6
risk,5
affection,7
alphabet,2
construction,2
irony,3
duck,4
cliff,4
resort,6
hazard,6
murder,7
neighborhood,5
foundation,3
frog,3
recital,4
design,3
onion,2
beaver,3
newspaper,2
fight,6
independence,7
diet,4
protection,6
elephant,5
cognition,2
convergence,2
insight,6
error,5
deputy,2
volt,2
chipmunk,5
effect,2
context,1
stick,1
interior,2
burner,2
bag,1
opponent,5
tragedy,7
production,2
revenge,7
sedative,3
thief,6
potato,2
memory,5
animal,5
damage,6
boy,5
truck,2
reinforcement,3
literature,5
wish,6
material,1
donor,6
eyeball,2
originality,6
robbery,7
bottle,1
lunch,5
cucumber,2
queen,5
necessity,3
extent,1
group,2
immortality,6
street,2
distance,2
temperature,1
snow,6
doctor,5
chief,3
real,2
knife,5
electricity,2
size,1
appointment,3
interaction,3
aspect,1
trust,7
sandal,2
identity,3
logic,3
coincidence,3
attention,3
stimulus,2
malice,7
past,3
bedroom,6
talent,6
distraction,5
peach,5
addition,1
door,1
station,2
ally,6
scene,2
hurt,7
relief,7
saloon,3
water,6
consequence,5
frustration,7
ownership,3
grass,5
value,5
availability,2
temple,5
lip,2
message,2
confidence,7
paragraph,1
christmas,7
suggestion,3
dad,7
crisis,7
location,1
girl,5
chicken,3
hobby,5
dentist,5
preference,2
oven,2
prediction,2
second,1
brute,6
forest,6
wood,2
misery,7
radio,4
volcano,5
candidate,3
item,1
arrangement,2
escape,6
lizard,3
magnitude,2
wolf,5
satisfaction,7
thought,3
kite,5
imagination,7
paradigm,2
form,1
outcome,3
square,1
chair,1
ballot,3
orchestra,6
composer,5
menu,4
clean,6
accumulation,2
willingness,5
grasshopper,3
blade,3
debt,7
information,3
adversity,6
tension,6
issue,3
improvement,6
curfew,5
cocktail,5
destiny,5
sofa,5
chocolate,7
institute,2
integrity,7
gun,6
candy,6
advantage,5
deceit,7
psalm,5
article,2
lake,6
suspect,5
chlorine,2
nurse,6
exception,2
advice,5
mattress,5
spelling,2
justification,3
annoyance,6
vision,6
sole,1
brain,3
tide,3
bracelet,5
pillow,6
security,6
tax,5
prop,1
mercy,7
faith,7
legality,3
exclusion,6
scent,5
pyramid,4
crocodile,5
increase,3
city,3
weight,3
replacement,2
poetry,6
trumpet,5
mansion,6
rent,5
dilemma,5
sadness,7
squeak,2
fear,7
deduction,2
youth,6
figure,1
admiration,7
situation,2
