word,rating
candidate,1
irrigation,2
democracy,1
snow,2
announcement,1
neighborhood,7
music,1
crown,3
identity,1
midnight,1
hurt,1
adventurer,3
comparison,1
arrow,7
method,1
segment,4
disappointment,1
specialist,1
majority,1
lily,1
rainbow,4
iron,1
relief,2
bolt,2
riot,2
stride,4
hope,1
shortness,3
ally,1
economy,1
ditch,6
stimulus,1
justification,1
pie,1
clearance,5
sight,3
ambulance,3
blood,1
pile,5
limitation,3
abundance,1
outcome,1
regulation,1
cake,1
macaroni,1
twig,1
cognition,1
beast,1
grammar,1
duty,1
standard,1
talent,1
roof,7
lens,2
student,1
worry,1
instinct,1
guess,1
second,1
nation,6
uniform,1
cranberry,1
route,7
ignition,1
occupation,3
separation,4
linen,1
view,5
speech,1
obstruction,5
soul,1
grandmother,1
dove,1
sofa,4
regret,1
suit,1
frustration,1
disaster,2
skin,3
football,2
appeal,1
integrity,1
adversity,1
memory,1
skull,1
station,7
fate,1
consequence,1
attempt,1
raspberry,1
university,7
cloth,1
cup,1
context,4
poetry,1
candy,1
mileage,6
liar,1
trust,1
oven,4
key,1
traveler,4
mustard,1
admiration,1
sadness,1
accumulation,3
conscience,1
rabbit,1
fireplace,7
bridge,7
measure,3
costume,1
intention,1
menu,1
deduction,1
window,6
loafer,1
butter,1
convergence,6
fight,2
winter,1
verse,1
advice,1
form,3
immortality,1
engagement,1
mind,1
trumpet,1
margin,7
puddle,6
amplitude,3
orchid,1
scene,6
reflex,1
interior,7
empire,6
insight,1
aspect,3
denial,1
grasshopper,1
stapler,1
tallness,4
cause,1
article,1
opposition,4
introduction,1
retention,1
pretense,1
capacity,4
pigeon,1
silence,1
boy,1
mastery,1
definition,1
grief,1
replacement,4
quality,1
skill,1
affection,1
thorn,1
reality,1
banana,1
leader,1
danger,1
self,1
edge,7
lunch,1
laughter,1
myth,1
pawn,3
reputation,1
dozen,1
dagger,1
donor,1
duel,2
arc,5
temple,7
shame,1
victim,1
deceit,1
dad,1
paradigm,1
proof,1
charity,1
vocabulary,1
brother,1
pillow,1
propeller,2
significance,1
rule,1
friendship,1
weight,1
suspect,1
marriage,1
episode,1
determination,1
photo,2
landscape,7
shape,3
rhyme,1
situation,5
love,1
synagogue,7
moral,1
object,3
opinion,1
miracle,1
beaver,1
march,5
fat,1
income,1
requirement,1
sanctuary,7
lobster,1
palace,7
bank,7
pig,1
moonlight,2
coffee,1
core,7
competence,1
wood,1
salary,1
cow,1
protection,1
woman,1
brain,3
television,1
justice,1
brawl,2
unity,1
nose,3
wave,4
mankind,1
interruption,1
bottle,1
spelling,1
lizard,1
foundation,6
hurricane,3
professor,1
institute,7
sugar,1
helplessness,1
purpose,1
lane,7
territory,7
contract,1
coffin,5
bird,1
physics,1
proportion,3
line,6
salad,1
consistency,1
development,1
holiday,2
exclusion,1
event,1
jewel,1
promotion,4
acre,6
pest,1
availability,1
gender,1
fantasy,1
shock,1
performance,1
phenomenon,1
uncertainty,1
weather,1
reinforcement,1
time,1
necessity,1
towel,1
saloon,7
permission,1
category,1
bandit,1
doctor,1
diet,1
tide,4
heresy,1
length,4
policeman,1
magic,1
apple,1
unit,3
queen,1
mystery,1
emergence,4
republic,6
contempt,1
law,1
baby,1
starch,1
radio,1
kitten,1
description,1
eagle,1
preference,1
theory,1
variety,1
group,3
alley,7
burner,4
material,1
darkness,1
mile,6
toilet,6
medicine,1
security,1
lemon,1
bed,6
distance,7
file,1
kite,3
fear,1
suggestion,1
robin,1
ocean,7
cat,1
germ,1
art,1
eight,1
individual,1
nurse,1
correspondent,1
claim,1
butterfly,1
duck,1
lamb,1
horse,1
mansion,7
real,1
missile,5
effect,1
truth,1
incentive,1
border,7
diamond,1
beauty,1
guide,4
drum,1
logic,1
assumption,1
infection,1
lock,1
explanation,1
thing,2
benefactor,1
bag,1
reason,1
fog,3
establishment,5
gesture,3
vapor,1
increase,1
mercy,1
tendency,4
destiny,1
figure,2
pyramid,6
translation,1
autumn,1
entrance,7
atrocity,1
lamp,2
squeak,1
risk,1
occasion,2
road,7
ignorance,1
difference,1
mosquito,1
street,7
boredom,1
peace,1
grass,3
location,7
knife,2
calculation,1
opportunity,1
season,1
wolf,1
neck,4
extent,5
typewriter,2
shark,1
reduction,2
branch,4
empty,4
heart,4
chicken,1
malice,1
zoo,7
beetle,1
band,2
lisp,1
interaction,1
owner,1
cowardice,1
corporation,3
incident,2
parish,6
site,7
identification,1
bracelet,2
mud,3
christmas,2
evidence,1
produce,1
park,7
anxiety,1
cucumber,1
coupon,1
dentist,3
lettuce,1
prop,2
guilt,1
leopard,1
imagination,1
ankle,4
conference,4
impairment,1
lip,4
tension,1
father,1
pill,2
duration,1
teacher,2
faith,1
handkerchief,2
microscope,2
eyeball,4
construction,3
camera,2
want,1
boat,4
animal,1
future,2
alphabet,1
onion,1
ambition,1
degree,3
sword,2
church,7
exception,1
supply,1
accident,2
wage,1
calendar,2
laundry,3
industry,3
manner,1
hazard,2
peach,1
philosophy,1
behavior,1
misery,1
response,1
fallacy,1
specimen,2
state,5
thought,1
belief,1
ballot,1
opponent,3
show,3
independence,1
temperature,1
blade,2
satisfaction,1
corn,1
alligator,1
literature,1
metaphor,1
youth,1
bullet,4
charter,1
car,4
mold,1
principle,1
circumstance,1
property,6
wish,1
conclusion,3
cocktail,1
division,3
mountain,7
volcano,7
item,1
stupidity,1
steam,2
anger,1
writing,2
leadership,1
rent,3
stranger,1
magnitude,4
hospital,7
river,7
photograph,2
opera,3
name,1
flask,2
appointment,3
rocket,5
escape,5
distraction,1
city,7
meeting,4
latch,4
nerve,2
robbery,2
instance,2
lesson,2
paragraph,3
vision,2
frog,1
sole,5
jacket,2
tradition,1
past,2
sister,1
payment,1
gun,2
size,4
curfew,2
food,1
tragedy,1
legality,1
hotel,7
mother,1
outfit,2
diversity,1
example,1
girl,1
issue,1
despair,1
three,1
job,2
waste,1
prediction,1
tree,4
selection,1
responsibility,1
skunk,1
psalm,1
presence,5
resort,7
month,1
effort,1
knowledge,1
tip,5
lake,7
ring,2
possibility,1
comprehension,1
injury,2
attention,1
door,6
confidence,1
refrigerator,5
value,1
math,1
chocolate,1
chair,5
clean,1
apology,1
acquisition,1
scent,1
irony,1
expression,1
enemy,1
mattress,3
necklace,2
potato,1
truck,4
factory,7
jerk,3
tune,1
island,7
combination,1
underworld,7
idiom,1
lightning,4
drama,2
bubble,2
honesty,1
sandal,2
murder,2
drug,1
ownership,1
willingness,1
body,4
visitor,3
boulder,3
preparation,1
cliff,7
production,1
sneeze,1
origin,6
message,1
itch,2
topic,1
wallet,3
cottage,7
lion,1
advantage,3
water,3
awareness,1
pimple,3
dimension,6
sow,1
sedative,2
character,1
kindness,1
deputy,3
rebel,2
beverage,1
revenge,1
odor,1
poll,1
hat,2
chipmunk,1
ceremony,3
summer,2
spider,1
decision,1
composer,1
safety,1
volume,4
scholar,1
consideration,1
crisis,1
hierarchy,5
impossibility,1
personality,1
fact,1
assault,2
assistance,1
brevity,1
puppy,1
accomplishment,1
boundary,6
betrayal,1
smell,1
result,1
chief,4
story,1
amount,1
coincidence,1
forest,7
attitude,1
shirt,2
damage,1
tongue,4
genuine,1
clothing,2
moment,2
corpse,2
volt,1
inch,5
child,1
bell,2
fountain,6
loan,1
chance,1
tomato,1
gorilla,1
chlorine,1
improvement,1
ability,1
electricity,1
information,1
bet,1
arrangement,4
tool,2
number,1
addition,2
tennis,3
freedom,1
design,2
atom,2
instructor,2
shrimp,1
crocodile,1
fifteen,1
bedroom,7
flavor,1
brute,1
member,2
entree,1
witness,2
intelligence,1
hatred,1
fabric,1
dynasty,1
ball,2
inn,7
artist,1
importance,1
punishment,1
uncle,1
dilemma,1
snake,1
idea,1
stick,2
caterpillar,1
ceiling,6
spirit,1
wisdom,1
hog,1
circuit,5
crime,2
subtraction,1
recognition,1
square,5
money,1
helmet,2
envy,1
debt,1
distribution,4
pool,6
sky,6
originality,1
thief,2
record,2
play,3
disagreement,1
newspaper,2
perception,1
recital,3
heap,4
tax,1
master,2
pond,7
peacemaker,1
annoyance,1
orchestra,3
elephant,1
equality,1
desk,5
fisherman,2
disgust,1
complication,1
hobby,1
criticism,1
riddle,1
error,1
