word,rating
suit,6
performance,1
cognition,1
hat,7
disappointment,1
city,2
independence,1
hotel,2
guilt,1
bubble,6
marriage,1
neighborhood,2
adversity,1
crown,6
fisherman,3
peach,7
lion,4
vapor,5
fantasy,1
advice,1
metaphor,1
blade,7
arc,3
lamp,6
square,4
accident,2
attitude,1
material,5
outcome,1
error,1
puddle,7
comparison,1
regulation,1
cowardice,1
engagement,1
site,2
professor,2
mosquito,5
mold,6
irony,1
contempt,1
purpose,1
knife,7
opportunity,1
curfew,1
despair,1
anxiety,2
cloth,7
truck,5
stride,4
three,1
mind,1
sword,7
spider,5
baby,6
inn,2
bullet,6
trumpet,6
costume,6
leopard,4
diversity,1
river,5
duty,1
math,1
bell,6
ceiling,4
blood,7
landscape,2
photograph,5
consideration,1
chief,2
witness,2
insight,1
fear,2
bird,4
butter,7
equality,1
perception,2
availability,1
weather,4
hierarchy,1
toilet,6
principle,1
propeller,6
future,1
riddle,1
promotion,1
annoyance,1
advantage,1
spelling,1
key,7
typewriter,6
sight,2
occasion,1
gun,6
odor,2
ambulance,4
past,1
lane,3
decision,1
volt,2
band,3
ocean,5
sedative,4
rabbit,6
opposition,1
clean,3
boy,4
riot,2
nerve,3
confidence,1
frustration,1
specialist,2
recognition,1
kitten,7
pawn,6
selection,1
mile,1
genuine,1
beetle,6
job,1
towel,7
issue,1
dynasty,1
sandal,7
establishment,1
dagger,7
neck,7
stapler,7
fight,4
lightning,3
lunch,5
second,1
child,5
exclusion,1
description,1
art,2
suggestion,1
development,1
magnitude,1
institute,1
sow,5
alley,3
time,1
honesty,1
produce,5
arrangement,1
bag,7
intention,1
group,2
body,7
rebel,2
midnight,1
drama,1
distraction,1
bracelet,7
proportion,1
horse,6
crime,1
core,4
personality,1
park,3
disaster,1
cocktail,6
suspect,2
philosophy,1
literature,2
limitation,1
magic,1
conscience,1
teacher,2
destiny,1
murder,2
assistance,1
escape,2
affection,2
ability,1
cake,7
football,7
brain,4
psalm,2
fountain,5
imagination,1
state,1
majority,1
tool,7
incentive,1
stranger,3
interaction,2
enemy,2
stick,7
leader,2
competence,1
bedroom,4
cottage,3
pest,4
subtraction,1
lake,5
jacket,7
volume,2
spirit,1
orchestra,2
improvement,1
darkness,3
chicken,6
mileage,1
steam,6
thought,1
criticism,1
reality,1
segment,2
robin,5
student,2
dozen,1
diet,2
rent,1
charity,1
security,1
helplessness,1
sadness,1
sole,7
apple,7
file,6
proof,2
island,3
reflex,4
intelligence,1
accomplishment,1
lettuce,7
physics,1
vocabulary,1
saloon,3
disagreement,1
revenge,1
protection,2
visitor,3
alphabet,2
brevity,1
synagogue,3
wolf,5
shrimp,6
duration,1
lamb,6
circuit,4
cup,7
conclusion,1
want,1
preference,1
grammar,1
reinforcement,2
idiom,1
forest,4
worry,1
branch,6
orchid,6
oven,6
effect,1
salary,1
atom,1
variety,1
beauty,1
assumption,1
republic,1
object,6
belief,1
combination,1
guide,2
factory,3
real,1
effort,2
chocolate,7
flavor,2
composer,2
cucumber,7
hobby,1
empire,1
topic,1
pool,5
ally,2
mercy,1
scent,2
beaver,5
theory,1
drum,7
opinion,1
border,2
nose,7
safety,1
appeal,1
correspondent,2
number,1
tree,6
traveler,3
television,6
refrigerator,7
disgust,2
crisis,1
cause,1
lobster,6
shark,5
temperature,7
satisfaction,1
ditch,4
shame,1
flask,7
supply,2
menu,6
calculation,1
outfit,6
deputy,2
miracle,1
increase,1
lemon,7
attention,1
month,1
rule,2
snow,7
coupon,6
tension,4
phenomenon,1
