word,rating
candidate,1
irrigation,3
democracy,1
snow,3
announcement,1
neighborhood,2
music,1
crown,2
identity,1
midnight,1
hurt,1
adventurer,1
comparison,1
arrow,2
method,1
segment,1
disappointment,1
specialist,1
majority,1
lily,6
rainbow,1
iron,4
relief,1
bolt,2
riot,1
stride,1
hope,1
shortness,1
ally,1
economy,1
ditch,3
stimulus,1
justification,1
pie,7
clearance,1
sight,1
ambulance,3
blood,5
pile,1
limitation,1
abundance,1
outcome,1
regulation,1
cake,7
macaroni,7
twig,3
cognition,1
beast,3
grammar,1
duty,1
standard,1
talent,1
roof,2
lens,1
student,1
worry,1
instinct,1
guess,1
second,1
nation,1
uniform,2
cranberry,7
route,1
ignition,4
occupation,1
separation,1
linen,4
view,1
speech,1
obstruction,1
soul,1
grandmother,3
dove,2
sofa,2
regret,1
suit,2
frustration,1
disaster,1
skin,4
football,3
appeal,1
integrity,1
adversity,1
memory,1
skull,2
station,3
fate,1
consequence,1
attempt,1
raspberry,7
university,1
cloth,2
cup,2
context,1
poetry,1
candy,7
mileage,1
liar,1
trust,1
oven,5
key,2
traveler,1
mustard,7
admiration,1
sadness,1
accumulation,1
conscience,1
rabbit,3
fireplace,6
bridge,2
measure,1
costume,2
intention,1
menu,3
deduction,1
window,1
loafer,3
butter,7
convergence,1
fight,3
winter,4
verse,1
advice,1
form,1
immortality,1
engagement,1
mind,1
trumpet,2
margin,1
puddle,3
amplitude,1
orchid,6
scene,1
reflex,1
interior,1
empire,1
insight,1
aspect,1
denial,1
grasshopper,2
stapler,2
tallness,1
cause,1
article,1
opposition,1
introduction,1
retention,1
pretense,1
capacity,1
pigeon,2
silence,1
boy,1
mastery,1
definition,1
grief,1
replacement,1
quality,1
skill,1
affection,1
thorn,2
reality,1
banana,7
leader,1
danger,1
self,1
edge,1
lunch,6
laughter,1
myth,1
pawn,2
reputation,1
dozen,1
dagger,2
donor,1
duel,1
arc,1
temple,4
shame,1
victim,1
deceit,1
dad,1
paradigm,1
proof,1
charity,1
vocabulary,1
brother,1
pillow,3
propeller,2
significance,1
rule,1
friendship,1
weight,1
suspect,1
marriage,1
episode,1
determination,1
photo,2
landscape,4
shape,1
rhyme,1
situation,1
love,1
synagogue,4
moral,1
object,1
opinion,1
miracle,1
beaver,3
march,1
fat,5
income,1
requirement,1
sanctuary,4
lobster,7
palace,3
bank,2
pig,4
moonlight,1
coffee,7
core,3
competence,1
wood,5
salary,1
cow,4
protection,1
woman,2
brain,3
television,2
justice,1
brawl,3
unity,1
nose,5
wave,4
mankind,1
interruption,1
bottle,2
spelling,1
lizard,2
foundation,3
hurricane,3
professor,1
institute,1
sugar,7
helplessness,1
purpose,1
lane,2
territory,1
contract,2
coffin,3
bird,2
physics,1
proportion,1
line,1
salad,7
consistency,2
development,1
holiday,4
exclusion,1
event,1
jewel,1
promotion,1
acre,3
pest,3
availability,1
gender,1
fantasy,1
shock,1
performance,1
phenomenon,1
uncertainty,1
weather,4
reinforcement,1
time,1
necessity,1
towel,3
saloon,5
permission,1
category,1
bandit,1
doctor,3
diet,5
tide,4
heresy,1
length,1
policeman,1
magic,1
apple,7
unit,1
queen,1
mystery,1
emergence,1
republic,1
contempt,1
law,1
baby,5
starch,4
radio,2
kitten,3
description,1
eagle,2
preference,1
theory,1
variety,1
group,1
alley,4
burner,4
material,2
darkness,1
mile,1
toilet,5
medicine,6
security,1
lemon,7
bed,3
distance,1
file,2
kite,1
fear,2
suggestion,1
robin,2
ocean,5
cat,3
germ,3
art,4
eight,1
individual,1
nurse,3
correspondent,1
claim,1
butterfly,2
duck,4
lamb,5
horse,5
mansion,3
real,1
missile,2
effect,1
truth,1
incentive,1
border,1
diamond,1
beauty,1
guide,1
drum,2
logic,1
assumption,1
infection,4
lock,2
explanation,1
thing,1
benefactor,1
bag,2
reason,1
fog,3
establishment,1
gesture,1
vapor,4
increase,1
mercy,1
tendency,1
destiny,1
figure,1
pyramid,2
translation,1
autumn,5
entrance,1
atrocity,1
lamp,3
squeak,1
risk,1
occasion,1
road,3
ignorance,1
