word,rating
truth,2
legality,2
drug,1
stranger,1
band,1
hotel,1
material,1
lesson,5
victim,1
extent,4
burner,1
suggestion,2
dagger,1
site,1
consequence,5
thing,1
degree,4
unity,2
duty,2
combination,4
guess,1
tool,1
incentive,2
anger,1
manner,3
satisfaction,1
supply,2
bag,1
paragraph,5
neighborhood,1
trust,1
philosophy,2
route,5
father,1
wolf,1
vocabulary,2
incident,6
teacher,1
contract,4
factory,1
rabbit,1
reality,2
territory,1
chief,4
salary,5
outcome,6
past,7
assumption,1
institute,1
chicken,1
street,1
willingness,1
reinforcement,3
crocodile,1
diet,4
bet,2
entree,5
fog,1
rule,4
example,2
moment,7
uncle,1
deputy,4
cow,1
result,6
coincidence,6
thorn,1
fat,1
occasion,6
mile,3
advantage,2
rent,5
time,7
spirit,1
corporation,1
helmet,1
composer,1
distance,3
engagement,5
duel,3
gender,1
individual,1
specialist,1
mankind,1
sky,1
gesture,2
cliff,1
line,5
tree,1
promotion,5
donor,1
acquisition,3
leader,4
replacement,5
flask,1
obstruction,2
pest,1
confidence,1
episode,7
show,5
hurricane,4
eight,5
calendar,7
bank,1
meeting,6
necklace,1
opposition,2
miracle,3
peach,1
christmas,7
vision,1
tension,2
odor,1
inch,2
perception,2
appointment,7
cocktail,1
blade,1
truck,1
peacemaker,1
marriage,4
chair,1
cranberry,1
payment,4
belief,1
microscope,1
significance,2
speech,5
cause,5
loan,4
entrance,2
lock,1
tennis,3
bed,1
retention,4
skunk,1
silence,4
coffee,1
scholar,1
holiday,7
paradigm,4
river,1
limitation,2
volt,1
description,2
bird,1
diversity,2
salad,1
trumpet,1
child,1
march,7
stride,4
apology,2
boulder,1
fallacy,1
shortness,5
knowledge,1
kite,1
diamond,1
starch,1
hat,1
pimple,1
advice,2
costume,1
mileage,4
exception,2
mud,1
skin,1
brevity,7
blood,1
record,5
puppy,1
heap,2
lobster,1
robbery,3
spelling,5
stapler,1
fabric,1
vapor,1
poll,3
road,1
handkerchief,1
stick,1
hospital,1
job,4
grammar,5
radio,1
irrigation,3
genuine,1
location,1
personality,1
waste,3
darkness,1
island,1
guilt,1
pie,1
difference,2
mastery,2
bullet,1
insight,1
metaphor,1
lunch,6
faith,1
midnight,7
typewriter,1
bolt,1
wood,1
disappointment,1
ignition,4
quality,1
conclusion,6
ballot,1
bracelet,1
propeller,1
hierarchy,7
escape,3
definition,2
grasshopper,1
identity,1
skull,1
preference,2
temple,1
nose,1
interruption,6
item,3
mold,1
disagreement,2
zoo,1
cucumber,1
mother,1
crime,2
electricity,1
friendship,4
sight,1
sister,1
value,1
atrocity,2
ignorance,1
establishment,3
sow,1
charity,1
shame,1
woman,1
tradition,6
arc,2
refrigerator,1
sedative,1
safety,1
murder,2
fantasy,1
mustard,1
grandmother,1
liar,1
coupon,1
nation,1
animal,1
knife,1
reason,2
intention,2
honesty,1
uniform,1
protection,1
pool,1
addition,4
story,6
awareness,1
adventurer,1
fireplace,1
state,2
frog,1
performance,5
squeak,1
mansion,1
station,1
emergence,5
edge,1
division,4
issue,2
betrayal,2
linen,1
potato,1
grass,1
roof,1
kitten,1
punishment,3
bottle,1
sandal,1
number,6
irony,1
riddle,2
pretense,1
consideration,2
category,5
lisp,1
chance,3
queen,4
origin,6
brute,1
calculation,3
jerk,1
adversity,2
logic,5
majority,2
claim,2
selection,4
flavor,1
measure,4
ceiling,1
oven,1
apple,1
independence,2
affection,1
hurt,1
loafer,1
underworld,1
improvement,4
tip,1
method,6
view,1
name,1
translation,3
member,1
lake,1
macaroni,1
corpse,1
intelligence,1
alley,1
rainbow,1
love,1
beetle,1
ally,1
leopard,1
injury,2
uncertainty,2
justification,2
tendency,4
attitude,1
context,3
lemon,1
twig,1
aspect,2
door,1
menu,5
impairment,2
pond,1
water,1
capacity,2
self,1
figure,2
snow,1
moral,1
duck,1
cake,1
dentist,1
riot,3
risk,3
clothing,1
attempt,2
destiny,6
margin,2
brain,1
design,4
rhyme,4
exclusion,2
brawl,2
youth,7
prop,1
situation,3
peace,2
resort,1
explanation,2
effect,6
presence,2
gun,1
effort,2
disaster,3
park,1
horse,1
television,1
imagination,1
thought,1
sole,1
candy,1
unit,4
heart,1
damage,2
real,1
complication,2
comparison,3
germ,1
poetry,2
car,1
hope,1
tomato,1
writing,3
fight,2
arrangement,7
jewel,1
ditch,1
theory,2
debt,4
tide,6
stupidity,1
criticism,2
city,1
recital,5
mind,1
eyeball,1
lettuce,1
opportunity,5
corn,1
football,2
worry,1
beauty,1
phenomenon,3
talent,1
property,1
interior,1
revenge,2
convergence,4
appeal,2
impossibility,1
bandit,1
sugar,1
possibility,2
