word,rating
lake,6
ambition,6
chance,5
individual,4
apology,5
opponent,3
boredom,2
cowardice,1
beetle,3
silence,5
bet,3
animal,5
coupon,4
faith,7
liar,1
lip,4
tongue,4
originality,6
ankle,3
potato,4
accumulation,4
outfit,4
chair,4
cognition,5
station,4
disaster,1
real,5
dilemma,2
scene,4
ally,6
ownership,5
theory,4
reinforcement,5
puppy,7
guide,6
damage,2
circumstance,4
state,4
response,4
key,5
boat,5
degree,5
crown,5
myth,4
blood,3
deduction,4
forest,6
latch,3
tune,6
show,5
interior,4
starch,3
mankind,5
infection,1
fabric,4
wood,5
tragedy,1
germ,2
iron,4
spider,3
calendar,4
affection,7
photograph,6
territory,4
incident,3
vapor,3
dentist,3
sword,3
flavor,6
clean,7
consistency,5
appeal,6
identification,4
fact,5
route,4
linen,5
macaroni,5
skin,4
stride,5
writing,6
roof,4
menu,4
division,3
value,6
suit,4
lamp,4
personality,5
contract,4
cloth,4
amount,3
intention,5
magic,7
confidence,7
duration,3
sandal,4
thing,3
mattress,5
addition,4
newspaper,4
opposition,2
leopard,4
pigeon,3
clearance,4
opinion,4
play,7
heart,7
irrigation,4
clothing,5
distance,3
fate,4
calculation,4
number,4
wisdom,7
vocabulary,5
talent,7
character,6
nose,3
salad,5
tree,6
risk,3
definition,4
ditch,2
hobby,6
adversity,2
inn,5
butter,5
pyramid,5
tomato,5
riot,1
independence,7
itch,2
temple,6
teacher,6
brain,6
occupation,4
ignition,3
suspect,2
costume,5
door,4
necessity,4
equality,7
orchid,6
bag,3
dove,7
chlorine,3
reflex,4
conference,4
result,5
helmet,4
beauty,7
shortness,3
verse,6
exception,4
bird,6
circuit,4
queen,6
charter,5
principle,6
music,7
want,4
relief,7
moral,6
jerk,1
metaphor,5
scent,6
girl,6
tradition,5
development,6
crisis,1
bubble,6
camera,5
pond,5
decision,5
job,4
frustration,1
error,2
student,5
reputation,5
fear,1
tool,4
shrimp,4
refrigerator,4
empty,2
kindness,7
impairment,1
wish,6
alligator,3
moment,5
injury,1
master,5
file,3
factory,3
body,5
weight,3
tide,5
lemon,4
television,4
coffin,1
admiration,7
tip,4
complication,2
shock,2
past,4
park,6
line,3
nerve,3
income,5
specialist,5
lesson,4
cause,4
squeak,3
insight,7
hotel,5
peacemaker,7
law,5
conscience,7
misery,1
dimension,4
pill,3
alley,3
banana,5
pest,1
debt,2
march,4
justice,7
sanctuary,7
meeting,4
cucumber,5
expression,5
opera,6
significance,6
intelligence,7
object,3
tallness,4
grasshopper,4
purpose,6
mosquito,1
assault,1
pillow,6
anxiety,1
hope,7
fountain,6
benefactor,7
love,7
drum,5
stimulus,4
beverage,5
mountain,7
capacity,5
awareness,6
danger,1
raspberry,6
reality,5
acquisition,4
snow,6
appointment,4
ocean,7
wave,6
composer,6
guilt,1
payment,3
jacket,4
city,5
lamb,6
retention,4
requirement,4
miracle,7
segment,3
oven,4
kitten,7
trust,7
flask,4
preparation,5
imagination,7
bridge,5
towel,4
coincidence,5
context,4
hospital,3
article,4
mercy,7
rabbit,6
spirit,7
rebel,4
interruption,2
design,6
criticism,2
duty,5
fog,4
peach,6
professor,5
friendship,7
cup,4
length,3
form,4
lunch,5
square,4
empire,3
pimple,1
shirt,4
pile,3
abundance,6
visitor,5
responsibility,6
location,4
corporation,3
literature,6
laundry,3
landscape,6
eagle,6
presence,5
tendency,4
construction,4
regulation,3
rocket,6
church,6
doctor,6
topic,4
midnight,5
conclusion,5
neck,3
car,4
fat,2
volume,4
story,6
physics,5
security,6
hog,2
name,4
lens,4
cow,4
chipmunk,6
christmas,7
possibility,6
suggestion,5
fallacy,2
robbery,1
assistance,6
distribution,3
skill,6
stranger,3
record,4
instructor,5
mold,1
occasion,4
hurricane,1
medicine,4
cocktail,5
institute,4
pig,3
guess,4
uncle,5
owner,4
hazard,1
desk,4
apple,6
pie,6
convergence,4
ability,6
democracy,7
grief,1
bed,6
fantasy,7
bolt,3
material,3
issue,3
rent,3
belief,6
rhyme,5
hat,4
variety,5
consideration,5
wage,3
arrow,4
identity,5
advice,5
corpse,1
contempt,1
message,4
math,4
paradigm,5
lightning,5
necklace,5
idea,6
assumption,4
future,6
bracelet,5
despair,1
stupidity,1
skunk,2
cat,6
size,3
method,4
pawn,3
laughter,7
cottage,6
ambulance,3
puddle,3
industry,4
effect,4
crocodile,3
proof,5
waste,1
immortality,6
economy,3
property,4
chocolate,7
scholar,6
incentive,5
coffee,6
tension,2
consequence,4
lobster,5
opportunity,7
uncertainty,2
volt,3
cake,7
justification,4
self,5
safety,7
fireplace,7
grammar,4
leader,5
establishment,4
irony,4
poll,3
fisherman,4
season,5
lane,4
odor,3
event,4
thief,1
saloon,4
extent,3
introduction,4
caterpillar,4
grandmother,7
entree,5
category,3
idiom,4
arc,4
winter,5
explanation,5
moonlight,7
figure,4
shark,2
hurt,1
member,4
riddle,4
adventurer,6
worry,1
accident,1
rainbow,7
emergence,4
mud,2
comprehension,6
lily,6
edge,3
behavior,4
stick,3
mustard,4
helplessness,1
zoo,4
loafer,2
perception,5
protection,6
hatred,1
typewriter,5
effort,5
soul,7
boulder,4
candidate,4
window,5
snake,2
art,7
promotion,6
cliff,5
item,3
sedative,3
lettuce,5
supply,4
spelling,4
logic,6
majority,4
denial,2
weather,4
malice,1
street,4
month,4
betrayal,1
exclusion,2
advantage,5
holiday,7
twig,4
competence,6
duck,5
mystery,6
temperature,3
water,6
impossibility,2
truck,4
toilet,2
reduction,3
foundation,5
handkerchief,4
time,4
wallet,4
steam,4
gender,4
bottle,4
dagger,2
university,6
orchestra,6
eight,4
onion,4
disagreement,2
ignorance,1
witness,4
cranberry,5
produce,4
kite,6
grass,6
preference,5
radio,5
leadership,6
microscope,5
prediction,4
donor,6
sofa,6
sister,7
entrance,4
deputy,4
woman,6
trumpet,5
acre,4
heap,3
magnitude,4
republic,5
manner,4
poetry,7
mastery,7
willingness,6
memory,5
tennis,6
hierarchy,3
