word,rating
line,3
skill,2
nose,2
knowledge,3
information,3
rainbow,2
ownership,3
faith,2
affection,2
zoo,4
correspondent,2
rebel,2
moonlight,2
photo,2
opportunity,3
anger,2
coupon,3
adventurer,2
fabric,3
itch,2
character,2
cat,2
crisis,3
danger,3
sneeze,2
identification,2
writing,2
behavior,2
tendency,2
burner,2
baby,2
variety,4
mansion,5
uncle,2
macaroni,3
prediction,2
mud,3
engagement,2
square,4
odor,2
window,3
route,4
tide,4
location,4
resort,4
destiny,3
preference,2
helmet,2
occasion,3
outcome,3
unity,3
deduction,2
fate,3
safety,2
cottage,4
irony,2
fear,2
horse,3
onion,2
peace,3
cake,3
opinion,2
bandit,2
imagination,2
tradition,3
belief,2
method,2
menu,3
measure,6
importance,5
propeller,2
park,4
development,4
escape,3
kitten,2
volcano,5
consistency,3
diamond,2
promotion,3
pillow,2
confidence,2
literature,3
incentive,2
ally,2
donor,2
magic,2
arrangement,3
boulder,5
produce,4
independence,3
autumn,3
honesty,2
island,5
love,2
poll,3
entrance,3
pest,2
shortness,6
suspect,2
example,2
cowardice,2
alley,3
opera,3
thief,2
factory,5
charter,3
lobster,2
peacemaker,2
combination,4
liar,2
degree,5
size,7
duck,2
fisherman,2
heresy,2
significance,5
vocabulary,3
guess,2
murder,2
bridge,4
boy,2
microscope,2
lisp,2
university,5
lily,2
fight,3
opposition,3
ditch,3
preparation,3
chicken,2
sow,2
salad,3
betrayal,2
mercy,2
street,4
dimension,7
calendar,3
income,5
fog,3
originality,2
curfew,3
weather,3
music,2
willingness,2
rent,3
bed,3
underworld,5
wish,2
starch,2
wallet,2
volume,7
grief,2
elephant,6
explanation,2
miracle,2
idiom,2
episode,3
announcement,2
past,4
station,4
riot,5
soul,2
effect,3
selection,3
bullet,2
stick,2
proportion,7
property,5
memory,3
contract,3
intention,2
lens,2
assumption,2
recognition,2
youth,3
silence,2
cloth,2
performance,3
recital,3
master,3
salary,4
ankle,2
mother,2
foundation,4
story,3
cucumber,2
availability,4
nurse,2
metaphor,2
grass,3
brother,2
handkerchief,2
comprehension,2
banana,2
television,3
snow,3
amount,7
suit,2
neck,2
clearance,4
standard,3
legality,2
convergence,4
art,2
trumpet,2
diet,3
institute,4
appeal,2
costume,2
prop,2
proof,2
oven,3
candy,2
contempt,2
ceremony,3
eyeball,2
dentist,2
suggestion,2
beauty,2
waste,4
chocolate,2
shirt,2
cause,3
integrity,2
hog,3
nation,6
lamb,2
conscience,2
chlorine,2
extent,7
drama,3
anxiety,2
design,3
record,3
cranberry,2
money,5
mustard,2
calculation,3
protection,3
leadership,4
adversity,3
skin,2
snake,2
mold,3
effort,3
increase,6
subtraction,5
duration,6
description,3
member,2
dynasty,5
revenge,2
production,5
skull,2
mile,7
necessity,3
ambition,3
branch,3
child,2
enemy,3
identity,2
potato,2
professor,2
mosquito,2
doctor,2
artist,2
girl,2
crocodile,4
job,3
debt,4
missile,4
palace,6
tension,3
food,3
issue,3
church,4
assistance,3
supply,5
mankind,6
stranger,2
composer,2
idea,2
appointment,2
decision,2
drum,2
chance,3
hierarchy,5
manner,2
spirit,2
bolt,2
hatred,2
show,3
conclusion,3
pig,2
lion,3
retention,3
interaction,3
tax,4
midnight,3
bracelet,2
specialist,2
risk,3
physics,3
roof,3
frog,2
grandmother,2
body,4
circuit,3
dad,2
bet,2
camera,2
impairment,3
site,4
animal,3
equality,3
poetry,2
boredom,2
response,2
coffee,2
want,3
nerve,2
corn,3
play,3
trust,2
orchestra,4
wisdom,2
inch,6
duty,3
industry,6
limitation,5
hurt,2
capacity,7
car,3
ocean,7
injury,2
radio,2
misery,3
butter,2
chipmunk,2
reflex,2
incident,3
father,2
hospital,4
unit,5
origin,3
translation,3
envy,2
mystery,3
entree,3
reality,5
principle,3
holiday,3
logic,2
arrow,2
sedative,2
kite,2
guide,2
arc,4
boundary,6
forest,6
uniform,3
blood,3
paradigm,3
alligator,4
clothing,3
message,2
mileage,6
rule,3
insight,2
medicine,3
dove,2
aspect,3
hope,2
moral,2
acquisition,4
hat,2
object,3
sadness,2
sofa,3
quality,3
leader,3
tragedy,4
corporation,6
disaster,5
state,6
second,3
rhyme,2
uncertainty,3
time,6
brute,3
gender,2
assault,3
door,3
requirement,3
beverage,3
majority,6
circumstance,4
policeman,2
beetle,2
accumulation,6
bell,2
stride,3
lizard,2
addition,5
fallacy,2
summer,4
city,6
group,5
bubble,2
exception,2
puddle,3
lock,2
presence,3
jacket,2
lake,6
introduction,3
water,5
payment,4
diversity,5
regret,2
distraction,3
football,3
figure,4
eagle,3
stupidity,2
vapor,3
psalm,2
accident,3
pyramid,5
consideration,3
distance,7
refrigerator,4
brawl,3
orchid,2
ball,3
topic,3
situation,4
peach,2
flavor,2
genuine,2
hurricane,6
bird,2
ballot,2
reinforcement,3
duel,3
parish,4
edge,4
sole,2
malice,2
winter,4
caterpillar,2
tip,2
teacher,2
scent,2
towel,2
sky,7
obstruction,4
dagger,2
wave,4
satisfaction,3
irrigation,4
reputation,3
division,6
crime,3
fact,2
electricity,3
verse,2
pie,2
complication,4
coffin,3
hobby,2
loan,4
pretense,2
territory,7
knife,2
desk,3
economy,6
saloon,4
ambulance,3
benefactor,2
event,3
dozen,6
replacement,3
photograph,2
pawn,2
woman,2
pond,4
owner,2
tree,4
determination,3
context,4
grasshopper,2
guilt,2
attempt,2
month,5
traveler,2
marriage,4
dilemma,3
bedroom,4
jerk,2
math,3
freedom,5
inn,3
three,4
acre,7
band,3
eight,5
lane,4
