word,rating
coffin,2
month,1
leader,1
duty,1
incident,1
pill,1
pawn,2
mosquito,1
orchid,1
parish,4
lettuce,1
wallet,1
example,1
payment,1
separation,2
ocean,5
perception,1
key,2
contempt,1
road,7
bell,1
competence,1
hog,1
principle,1
philosophy,1
regret,1
moonlight,2
butter,1
accident,1
bandit,1
guilt,1
specimen,1
flask,2
subtraction,1
zoo,6
nerve,1
adventurer,2
fantasy,1
object,2
contract,1
art,1
personality,1
grandmother,1
behavior,1
helmet,1
midnight,2
helplessness,1
fountain,5
loan,1
permission,1
worry,1
mountain,7
calculation,1
laughter,1
play,1
inn,6
costume,1
heart,1
theory,1
visitor,2
idea,1
announcement,1
income,1
arrow,5
irrigation,2
abundance,1
wage,1
uncertainty,1
horse,1
cat,1
guide,2
distribution,2
drum,1
fate,1
tongue,1
moment,2
opportunity,1
itch,1
difference,1
cause,1
leopard,1
infection,1
territory,7
dimension,6
fog,1
fireplace,5
time,2
teacher,1
occasion,1
occupation,1
core,4
silence,1
vocabulary,1
ankle,2
riot,1
skull,1
bed,5
variety,1
file,2
consideration,1
rainbow,2
measure,2
sugar,1
envy,1
baby,1
linen,1
enemy,1
three,1
mile,7
opinion,1
food,1
impairment,1
beauty,1
performance,1
ambulance,3
punishment,1
starch,1
salary,1
selection,1
significance,1
corpse,1
metaphor,1
cup,2
job,1
response,1
description,1
tradition,1
rule,1
hurricane,2
assumption,1
economy,1
degree,3
appeal,1
lion,1
skunk,1
stranger,1
march,3
proof,1
member,1
eagle,1
suit,1
shape,5
disaster,1
clothing,1
uncle,1
produce,1
unit,3
importance,1
accomplishment,1
empty,4
awareness,1
capacity,2
neck,2
standard,2
ambition,1
propeller,2
cake,1
evidence,1
tennis,1
physics,1
honesty,1
odor,1
landscape,7
lamp,2
circuit,5
injury,1
gorilla,1
master,1
university,6
pigeon,1
hospital,7
shirt,1
bank,7
camera,1
sanctuary,6
pest,1
comparison,1
kindness,1
category,2
recognition,1
obstruction,5
rocket,4
ball,2
circumstance,2
mold,2
writing,1
banana,1
idiom,1
marriage,1
cloth,1
pile,4
comprehension,1
branch,4
edge,7
incentive,1
expression,1
combination,2
jewel,1
rabbit,1
origin,5
requirement,1
mankind,1
microscope,1
view,6
professor,1
typewriter,1
ceiling,6
purpose,1
ditch,7
wave,4
policeman,1
season,2
guess,1
summer,1
margin,7
complication,1
establishment,5
betrayal,1
towel,1
math,1
hat,1
fabric,1
name,1
refrigerator,2
segment,5
conference,5
tendency,1
specialist,1
drama,1
boulder,5
property,6
division,5
site,7
fallacy,1
meeting,5
coupon,1
television,1
mastery,1
identification,1
promotion,1
moral,1
correspondent,1
individual,1
brawl,1
soul,1
retention,1
dagger,1
instance,2
impossibility,1
lightning,1
pig,1
quality,1
corn,1
bullet,3
truth,1
state,5
assault,1
entrance,7
amount,2
friendship,1
macaroni,1
topic,1
border,7
clearance,5
determination,1
route,7
puddle,6
thing,1
arc,6
sky,6
tree,4
student,1
tip,4
presence,4
self,1
autumn,1
love,1
peace,1
episode,1
conscience,1
sight,3
length,6
caterpillar,1
tool,1
body,3
latch,4
cow,1
spirit,1
roof,7
charter,2
reputation,1
lesson,1
fisherman,1
tallness,6
dozen,1
boredom,1
salad,1
magic,1
acre,7
palace,7
ring,4
stride,4
money,1
butterfly,1
equality,1
anger,1
pretense,1
justice,1
unity,2
engagement,1
industry,1
sister,1
calendar,1
attempt,1
mystery,1
criticism,1
phenomenon,1
beast,1
river,7
alley,7
chance,1
atrocity,1
laundry,2
uniform,1
translation,1
entree,2
riddle,1
father,1
outfit,1
blood,1
danger,1
fifteen,1
beverage,1
heap,5
liar,1
mind,1
pond,7
shortness,5
tune,1
boundary,7
thorn,2
mileage,6
vapor,2
toilet,6
sneeze,1
synagogue,7
rhyme,1
gesture,1
island,7
leadership,1
disgust,1
democracy,1
shrimp,1
woman,1
sword,1
majority,1
shock,1
ability,1
lane,7
responsibility,1
alligator,1
supply,1
child,1
crown,2
anxiety,1
intelligence,1
kitten,1
holiday,2
waste,2
mud,3
factory,6
opposition,3
winter,1
grammar,1
peacemaker,1
hatred,1
reduction,2
stupidity,1
belief,1
missile,4
instructor,1
assistance,1
jacket,1
park,7
genuine,1
law,1
republic,5
denial,1
puppy,1
story,1
consistency,1
acquisition,1
stapler,1
event,2
duel,2
claim,1
reality,1
hierarchy,5
victim,1
mustard,1
ceremony,2
character,1
skin,1
poll,1
nation,5
drug,1
spider,1
lily,1
bet,1
owner,1
manner,1
amplitude,5
cowardice,1
nose,2
darkness,2
ignition,2
inch,7
scholar,1
fat,1
empire,6
brother,1
beetle,1
reason,1
charity,1
bolt,3
definition,1
crime,1
flavor,1
pie,1
speech,1
lamb,1
miracle,1
decision,1
line,7
bird,1
opera,5
grief,1
bridge,7
despair,1
handkerchief,1
lobster,1
mother,1
limitation,5
traveler,3
underworld,7
disappointment,1
iron,1
fact,1
development,1
photograph,1
artist,1
explanation,1
freedom,1
preparation,1
raspberry,1
gender,1
want,1
lisp,1
loafer,1
intention,1
twig,3
photo,1
effort,1
tomato,1
record,1
bubble,2
future,2
instinct,1
necklace,1
hope,1
attitude,1
pimple,2
possibility,1
lock,4
music,1
window,6
sow,1
ignorance,1
regulation,1
knowledge,1
shame,1
apple,1
car,4
shark,1
lemon,1
steam,1
number,2
hotel,7
proportion,5
duration,2
diversity,1
safety,1
benefactor,1
band,2
dynasty,5
show,2
football,2
germ,1
reflex,1
brevity,1
heresy,1
weather,1
coffee,1
result,1
lens,2
atom,2
skill,1
method,1
desk,6
cottage,7
rebel,1
apology,1
witness,1
verse,1
boat,6
myth,1
wisdom,1
smell,1
jerk,1
eight,1
cranberry,1
medicine,1
diamond,1
corporation,5
emergence,2
church,7
disagreement,1
pool,7
snake,1
conclusion,2
robin,1
interruption,2
volume,3
introduction,2
dove,1
risk,1
affection,1
alphabet,1
construction,5
irony,1
duck,1
cliff,7
