word,rating
coffin,6
month,1
leader,2
duty,1
incident,2
pill,6
pawn,5
mosquito,6
orchid,5
parish,1
lettuce,7
wallet,6
example,1
payment,2
separation,2
ocean,5
perception,1
key,7
contempt,1
road,5
bell,5
competence,1
hog,6
principle,1
philosophy,1
regret,1
moonlight,3
butter,7
accident,3
bandit,4
guilt,1
specimen,5
flask,6
subtraction,1
zoo,4
nerve,5
adventurer,3
fantasy,2
object,6
contract,3
art,4
personality,1
grandmother,6
behavior,1
helmet,7
midnight,2
helplessness,2
fountain,4
loan,2
permission,1
worry,1
mountain,5
calculation,1
laughter,3
play,3
inn,4
costume,6
heart,6
theory,1
visitor,3
idea,1
announcement,1
income,1
arrow,6
irrigation,3
abundance,2
wage,2
uncertainty,1
horse,7
cat,7
guide,2
distribution,2
drum,6
fate,1
tongue,7
moment,1
opportunity,1
itch,7
difference,1
cause,1
leopard,7
infection,4
territory,3
dimension,3
fog,4
fireplace,6
time,1
teacher,3
occasion,1
occupation,1
core,5
silence,2
vocabulary,1
ankle,7
riot,4
skull,7
bed,7
variety,2
file,5
consideration,1
rainbow,3
measure,4
sugar,7
envy,1
baby,7
linen,7
enemy,3
three,1
mile,3
opinion,1
food,7
impairment,3
beauty,3
performance,2
ambulance,5
punishment,3
starch,6
salary,2
selection,2
significance,1
corpse,7
metaphor,1
cup,7
job,2
response,1
description,1
tradition,1
rule,2
hurricane,5
assumption,1
economy,1
degree,2
appeal,1
lion,7
skunk,6
stranger,3
march,3
proof,3
member,3
eagle,6
suit,7
shape,7
disaster,3
clothing,7
uncle,5
produce,6
unit,4
importance,1
accomplishment,1
empty,5
awareness,1
capacity,2
neck,7
standard,3
ambition,1
propeller,6
cake,7
evidence,2
tennis,6
physics,2
honesty,1
odor,6
landscape,4
lamp,6
circuit,5
injury,6
gorilla,7
master,3
university,3
pigeon,6
hospital,4
shirt,7
bank,4
camera,6
sanctuary,3
pest,5
comparison,1
kindness,2
category,1
recognition,1
obstruction,5
rocket,6
ball,7
circumstance,1
mold,7
writing,5
banana,7
idiom,1
marriage,3
cloth,7
pile,6
comprehension,1
branch,6
edge,6
incentive,1
expression,2
combination,3
jewel,7
rabbit,7
origin,1
requirement,1
mankind,2
microscope,6
view,3
professor,3
typewriter,6
ceiling,6
purpose,1
ditch,6
wave,6
policeman,4
season,2
guess,1
summer,4
margin,4
complication,2
establishment,2
betrayal,2
towel,7
math,2
hat,7
fabric,7
name,1
refrigerator,7
segment,5
conference,2
tendency,1
specialist,2
drama,2
boulder,7
property,4
division,3
site,4
fallacy,1
meeting,3
coupon,5
television,5
mastery,2
identification,1
promotion,1
moral,1
correspondent,2
individual,3
brawl,6
soul,2
retention,1
dagger,7
instance,1
impossibility,1
lightning,5
pig,7
quality,2
corn,7
bullet,7
truth,1
state,2
assault,6
entrance,4
amount,2
friendship,2
macaroni,7
topic,1
border,4
clearance,3
determination,1
route,3
puddle,7
thing,5
arc,5
sky,3
tree,7
student,3
tip,5
presence,2
self,2
autumn,3
love,3
peace,2
episode,1
conscience,1
sight,3
length,5
caterpillar,7
tool,7
body,7
latch,7
cow,7
spirit,1
roof,6
charter,3
reputation,1
lesson,2
fisherman,3
tallness,4
dozen,2
boredom,2
salad,7
magic,2
acre,4
palace,5
ring,7
stride,5
money,6
butterfly,7
equality,1
anger,3
pretense,1
justice,1
unity,2
engagement,2
industry,2
sister,4
calendar,5
attempt,2
mystery,1
criticism,1
phenomenon,2
beast,6
river,5
alley,4
chance,1
atrocity,3
laundry,6
uniform,7
translation,1
entree,6
riddle,2
father,4
outfit,7
blood,7
danger,3
fifteen,1
beverage,6
heap,6
liar,2
mind,1
pond,6
shortness,4
tune,3
boundary,4
thorn,7
mileage,3
vapor,5
toilet,7
sneeze,6
synagogue,4
rhyme,2
gesture,5
island,5
leadership,1
disgust,3
democracy,1
shrimp,7
woman,4
sword,7
majority,1
shock,5
ability,1
lane,4
responsibility,1
alligator,7
supply,4
child,5
crown,7
anxiety,3
intelligence,1
kitten,7
holiday,3
waste,5
mud,7
factory,5
opposition,2
winter,4
grammar,1
peacemaker,2
hatred,2
reduction,3
stupidity,1
belief,1
missile,6
instructor,3
assistance,2
jacket,7
park,4
genuine,2
law,2
republic,2
denial,1
puppy,7
story,2
consistency,2
acquisition,2
stapler,7
event,2
duel,6
claim,2
reality,3
hierarchy,2
victim,3
mustard,7
ceremony,3
character,2
skin,7
poll,3
nation,2
drug,6
spider,7
lily,7
bet,2
owner,3
manner,2
amplitude,3
cowardice,2
nose,7
darkness,4
ignition,6
inch,5
scholar,3
fat,7
empire,3
brother,4
beetle,7
reason,1
charity,2
bolt,7
definition,1
crime,3
flavor,6
pie,7
speech,3
lamb,7
miracle,2
decision,1
line,6
bird,7
opera,4
grief,3
bridge,6
despair,2
handkerchief,7
lobster,7
mother,4
limitation,2
traveler,3
underworld,3
disappointment,2
iron,7
fact,1
development,2
photograph,5
artist,3
explanation,1
freedom,2
preparation,2
raspberry,7
gender,2
want,2
lisp,3
loafer,5
intention,1
twig,7
photo,5
effort,4
tomato,7
record,5
bubble,7
future,1
instinct,2
necklace,7
hope,1
attitude,1
pimple,7
possibility,1
lock,7
music,4
window,6
sow,6
ignorance,1
regulation,2
knowledge,1
shame,2
apple,7
car,7
shark,7
lemon,7
steam,7
number,2
hotel,5
proportion,3
duration,2
diversity,1
safety,2
benefactor,2
band,5
dynasty,2
show,3
football,7
germ,6
reflex,5
brevity,2
heresy,1
weather,4
coffee,7
result,2
lens,6
atom,5
skill,3
method,2
desk,7
cottage,6
rebel,3
apology,1
witness,3
verse,2
boat,7
myth,1
wisdom,1
smell,7
jerk,5
eight,1
cranberry,7
medicine,6
diamond,7
corporation,2
emergence,2
church,5
disagreement,2
pool,6
snake,7
conclusion,1
robin,7
interruption,2
volume,5
introduction,1
dove,7
risk,3
affection,3
alphabet,3
construction,6
irony,1
duck,7
cliff,6
resort,4
hazard,4
murder,5
neighborhood,4
foundation,5
frog,7
recital,3
design,5
onion,7
beaver,7
newspaper,6
fight,6
independence,2
diet,4
protection,3
elephant,7
cognition,1
convergence,2
insight,1
error,2
deputy,3
volt,5
chipmunk,7
effect,2
context,1
stick,7
interior,5
burner,7
bag,7
opponent,4
tragedy,3
production,4
revenge,3
sedative,5
thief,4
potato,7
memory,1
animal,7
damage,5
boy,5
truck,7
reinforcement,3
literature,3
wish,1
material,7
donor,3
eyeball,7
originality,1
robbery,4
bottle,7
lunch,7
cucumber,7
queen,5
necessity,2
extent,3
group,3
immortality,1
street,5
distance,4
temperature,7
snow,7
doctor,4
chief,3
real,3
knife,7
electricity,6
size,6
appointment,2
interaction,2
aspect,2
trust,2
sandal,7
identity,1
logic,1
coincidence,1
attention,1
stimulus,4
malice,2
past,2
bedroom,6
talent,2
distraction,2
peach,7
addition,2
door,7
station,5
ally,3
scene,4
hurt,7
relief,4
saloon,5
water,7
consequence,2
frustration,3
ownership,2
grass,7
value,2
availability,2
temple,5
lip,7
message,2
confidence,2
paragraph,4
christmas,4
suggestion,1
dad,5
crisis,3
location,4
girl,5
chicken,7
hobby,3
dentist,5
preference,1
oven,7
prediction,1
second,2
brute,6
forest,6
wood,7
misery,3
radio,6
volcano,6
candidate,3
item,6
arrangement,4
escape,4
lizard,7
magnitude,4
wolf,7
satisfaction,3
thought,1
kite,6
imagination,1
paradigm,1
form,7
outcome,2
square,6
chair,7
ballot,5
orchestra,5
composer,3
menu,5
clean,5
accumulation,4
willingness,1
grasshopper,7
blade,7
debt,2
information,1
adversity,2
tension,5
issue,2
improvement,2
curfew,3
cocktail,7
destiny,1
sofa,7
chocolate,7
institute,4
integrity,1
gun,7
candy,7
advantage,2
deceit,2
psalm,2
article,5
lake,6
suspect,3
chlorine,6
nurse,4
exception,1
advice,1
mattress,7
spelling,2
justification,1
annoyance,3
vision,2
sole,7
brain,7
tide,6
bracelet,7
pillow,7
security,3
tax,2
prop,7
mercy,2
faith,1
legality,1
exclusion,2
scent,7
pyramid,6
crocodile,7
increase,3
city,5
weight,7
replacement,4
poetry,2
trumpet,7
mansion,6
rent,3
dilemma,2
sadness,3
squeak,6
fear,4
deduction,1
youth,4
figure,5
admiration,2
situation,1
