word,rating
corporation,1
deputy,2
brawl,6
church,5
uncle,3
moral,1
faith,1
mountain,2
shirt,1
duel,5
hospital,4
lip,3
love,2
material,1
ambulance,7
enemy,2
event,3
honesty,1
tennis,5
missile,6
origin,1
waste,1
route,1
university,3
limitation,1
poetry,6
artist,2
instructor,4
salary,1
arrangement,2
personality,1
opposition,2
pretense,1
rent,1
possibility,1
ignition,5
circumstance,1
justification,3
gesture,1
lobster,1
insight,1
selection,1
accumulation,1
student,3
topic,2
philosophy,1
gorilla,5
myth,2
misery,3
truth,1
member,1
purpose,1
temperature,1
station,4
marriage,3
outcome,1
cliff,2
puddle,4
lens,1
skin,1
complication,1
peace,2
mustard,1
beverage,1
beaver,4
consistency,1
television,6
logic,1
chief,2
brain,1
cocktail,3
danger,4
pest,3
truck,6
mercy,2
metaphor,2
intelligence,1
damage,4
explanation,4
banana,1
beast,5
oven,3
body,1
holiday,3
theory,1
rocket,7
addition,1
integrity,1
pawn,1
form,1
supply,1
attention,2
hope,1
circuit,2
annoyance,3
memory,2
stimulus,2
proof,1
empty,1
rainbow,1
charter,1
mystery,2
desk,1
music,7
hat,1
length,1
stupidity,1
donor,1
thorn,1
cottage,1
mud,3
crocodile,3
atrocity,3
teacher,4
group,4
establishment,1
zoo,5
meeting,4
site,1
horse,5
interruption,5
dentist,5
originality,1
orchestra,7
christmas,5
ceiling,1
denial,3
want,1
expression,3
shock,4
idiom,4
toilet,5
animal,5
typewriter,7
legality,1
fountain,5
subtraction,1
victim,4
unit,1
requirement,1
car,6
security,2
preparation,1
season,1
sword,5
brevity,1
future,1
menu,1
helplessness,2
woman,3
rhyme,6
cow,5
duration,1
ballot,1
cat,5
hierarchy,1
incident,2
capacity,1
blade,2
grass,2
miracle,2
autumn,3
introduction,3
chlorine,1
jerk,2
outfit,1
frog,6
attempt,1
assault,5
ceremony,4
leader,3
fisherman,2
willingness,1
grammar,2
talent,2
criticism,4
appointment,2
river,5
clearance,1
ditch,1
phenomenon,1
island,2
permission,2
flask,2
tax,1
loafer,1
calculation,1
identity,1
starch,1
fat,1
ankle,1
development,1
tool,4
ownership,1
abundance,1
visitor,3
doctor,3
laundry,4
importance,1
inch,1
cranberry,1
arc,1
girl,3
chair,2
destiny,1
magic,3
square,1
saloon,5
jewel,1
eight,2
cake,1
lily,1
second,3
wave,5
ignorance,1
laughter,7
engagement,2
boat,4
debt,1
impossibility,1
conference,4
speech,7
blood,1
opponent,2
caterpillar,1
revenge,2
wood,2
grasshopper,5
definition,2
mattress,2
ocean,6
leadership,2
bell,7
grief,4
result,1
tendency,1
combination,1
measure,1
policeman,4
anxiety,3
shape,1
sneeze,7
raspberry,4
dagger,2
linen,1
factory,6
irrigation,3
volt,3
comparison,1
paradigm,1
odor,1
lock,4
dilemma,1
lightning,6
bet,3
acquisition,1
rabbit,1
potato,1
summer,3
ring,6
skill,1
construction,6
determination,1
volcano,6
episode,3
key,4
skull,1
stapler,5
witness,4
appeal,3
vocabulary,4
protection,1
reality,1
cloth,2
money,4
friendship,2
context,1
crime,4
writing,3
frustration,4
hog,5
window,3
mankind,1
suggestion,3
reflex,1
cowardice,1
behavior,1
scholar,2
